;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;933;161;685;28;9;564;13,74;9,94;0;9,27;0,41;0;7,47;00:05:46;0,04;0,99;3,02;1;60,43;73,44;0;3,56;11,33;0,44;0;0,44;554,26;72,57;0;
BELLODI ;921;159;691;28;13;585;13,6;10,2;0;9,58;0,68;0;7,53;00:05:46;0,07;1,04;3,08;1,46;63,53;75,05;0;4;10;0;0;0;520,38;74,96;0;
CETER;916;159;651;24;4;541;13,26;7,94;0;7,51;0,06;0;2,42;00:05:46;0,01;0,82;2,63;0,46;59,03;71,13;0;2;12;1;0;1;590,15;70,42;0;
COTALI;946;163;702;28;5;563;13,78;9,03;0;7,99;0,21;0;5,79;00:05:47;0,02;0,84;2,96;0,51;59,45;74,15;0;1;11;0;0;0;658,81;71,15;0;
IOTTI;926;160;667;32;5;603;13,44;8,37;0;9,66;0;0;2,1;00:05:46;0;1,04;3,5;0,58;65,07;71,99;0;8;13;0;0;0;449,55;74,65;0;
MURONI;943;163;688;27;8;559;13,77;8,92;0;8,09;0,28;0;2,01;00:05:46;0,03;0,86;2,9;0,81;59,3;72,92;0;4;12;0;0;0;633,9;70,97;0;
OGUNSEYE;908;157;650;30;18;515;13,77;13,06;0;11,68;0,76;0;19,09;00:05:46;0,08;1,29;3,35;1,98;56,68;71,63;0;4;10;1;0;1;546,15;71,45;0;
PENNINGTON;938;162;682;30;14;532;14,08;12,39;0;10,09;1,67;0;10,6;00:05:47;0,18;1,08;3,24;1,45;56,76;72,76;0;2;14;2;0;2;625,12;71,12;0;
RAGATZU;960;166;735;26;10;627;14,21;10,46;0;9,7;0,08;0;10,48;00:05:46;0,01;1,01;2,73;1,08;65,28;76,57;0;2;9;0;0;0;387,8;76,96;0;
VALLOCCHIA;940;163;703;27;6;552;13,75;9,1;0;9,17;0;0;7,23;00:05:46;0;0,98;2,83;0,69;58,74;74,76;0;5;11;0;0;0;576,48;71,49;0;
