;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;917;190;746;31;13;633;16,37;11,41;34,84;10,26;1,01;0;21,76;00:04:49;0,11;1,12;3,32;1,4;68,97;81,32;0,06;4,94;11,65;1,18;0,35;1,18;250,61;79,96;0;
BELLODI ;915;190;760;27;10;669;16,18;10,23;34,2;9,4;0,25;0;13,59;00:04:49;0,03;1,03;2,98;1,11;73,09;83,03;0;8;12;0;0;0;229,07;82,69;0;
BIANCU;915;189;724;28;9;622;16,09;10,26;31,9;11,18;0,23;0;14,57;00:04:51;0,03;1,22;3,05;0,94;68,07;79,14;0;8;10;2;0;2;254,15;78,42;0;
CALIGARA;909;188;747;28;11;652;15,94;9,71;8,15;10,2;0,37;0;12,3;00:04:50;0,04;1,12;3,12;1,24;71,7;82,16;0;7;11;0;0;0;295,36;81,6;0;
CETER;926;191;739;32;10;615;16,39;10,76;15,62;9,13;0,69;0;24,39;00:04:50;0,07;0,99;3,5;1,07;66,37;79,78;0;3;12;0;0;0;297,58;77,62;0;
COTALI;982;202;841;30;14;747;17,28;10,54;72,08;11,79;1,87;0;16,81;00:04:51;0,19;1,2;3,03;1,46;76,06;85,64;0;4;11;3;1;3;188,72;84,78;0;
CUSUMANO;907;188;742;28;15;601;16,4;12,97;14,93;11,26;1,43;0;24,58;00:04:50;0,16;1,24;3,07;1,69;66,27;81,76;0;3;10;3;0;3;337,32;78,59;0;
IOTTI;918;190;737;31;15;632;16,35;11,02;31,25;9,23;1,32;0;19,65;00:04:49;0,14;1;3,36;1,61;68,77;80,21;0;6;11;0;1;0;269,64;79,17;0;
MURONI;916;190;747;26;11;613;16,18;10,1;0;8,94;0,25;0;9,87;00:04:49;0,03;0,98;2,89;1,2;66,95;81,56;0;4;12;1;0;1;320,55;78,17;0;
OGUNSEYE;867;180;701;34;14;567;15,72;12,8;12,08;12,53;0,38;0;28,63;00:04:49;0,04;1,44;3,92;1,61;65,35;80,81;0;2;11;0;0;0;218,77;78,2;0;
PENNINGTON;995;206;829;42;18;676;18,15;13,81;125,58;11,23;1,17;0;49,57;00:04:49;0,12;1,13;4,23;1,81;67,94;83,36;0;6;12;2;1;2;156,94;80,35;0;
PINNA S.;909;188;743;27;12;639;16,12;10,53;36,75;8,97;0,34;0;18,59;00:04:49;0,04;0,99;3;1,34;70,25;81,76;0;4;14;1;0;1;276,61;80,56;0;
PIREDDA;855;177;691;31;23;567;15,76;14,84;4,08;10,2;4,02;0;24,23;00:04:49;0,47;1,19;3,65;2,72;66,34;80,79;0;7;12;4;0;4;281,18;79,53;0;
PISANO;864;179;695;27;6;594;15,23;9,89;6,09;5,99;0;0;10,04;00:04:49;0;0,69;3,14;0,66;68,73;80,45;0;0;9;0;0;0;256,78;79,09;0;
PITZALIS;919;190;719;29;8;616;16,33;10,74;15,39;10,53;1,09;0;18,98;00:04:49;0,12;1,15;3,16;0,83;66,99;78,17;0;5;13;2;0;2;299,81;78,02;0;
RAGATZU;949;197;763;29;12;681;16,86;10,76;53,57;6,38;1,74;0;15,4;00:04:49;0,18;0,67;3,05;1,25;71,74;80,41;1;3;11;1;2;1;179,39;81,12;0;
TETTEH;851;176;664;29;14;576;15,16;11,11;0;10,88;1,03;0;15,29;00:04:49;0,12;1,28;3,37;1,7;67,75;78,07;0;3;12;1;0;1;253,31;78,68;0;
VALLOCCHIA;991;205;847;40;16;695;18,1;13,88;130,63;16,53;1;0;53,36;00:04:49;0,1;1,67;3,99;1,61;70,1;85,4;0;11;15;0;1;0;145,24;82,65;0;
