;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1408;55;82;116;103;260;5,44;26,72;0,12;44,9;38;0;23,8;00:25:24;2,68;3,18;8,22;7,27;18,24;5,65;13,29;13;46,71;46,24;0;46,24;65,69;33,62;0;
BELLODI ;1696;70;151;127;122;353;6,87;27,1;0;47,67;52,51;0;27,17;00:24:17;3,1;2,81;7,5;7,2;20,84;8,9;22;14;61;56;0;56;116,83;36,36;0;
BIANCU;1366;52;51;120;103;229;5,09;26,88;0;47,19;36,04;0;17,03;00:26:20;2,64;3,45;8,78;7,51;16,79;3,74;12;9;45;48;0;48;50,52;32,13;0;
CALIGARA;1614;61;79;140;125;368;6,18;30,27;0;64,53;52,68;0;32,98;00:26:20;3,26;4;8,67;7,73;22,8;4,9;28;16;61;69;0;69;66,1;40,81;0;
CETER;1191;45;34;86;74;173;4,29;22,63;0;34,65;23,15;0;11,6;00:26:20;1,94;2,91;7,25;6,2;14,53;2,85;6;13;34;30;0;30;33,9;28,12;0;
COTALI;1425;55;142;116;112;311;5,43;28,25;0;51;43,43;0;27,63;00:26:03;3,05;3,58;8,14;7,83;21,83;9,98;14;19;49;53;0;53;117,3;38,01;0;
CUSUMANO;1464;57;90;140;124;270;5,77;30,43;0;51,29;44,68;0;31,53;00:25:37;3,05;3,5;9,6;8,48;18,45;6,13;14;11;46;51;0;51;89,72;35,06;0;
IOTTI;1591;60;201;121;110;329;5,92;26,62;2;41,24;45,08;0;53,37;00:26:20;2,83;2,59;7,59;6,9;20,71;12,61;12;12;44;38;0;38;117,49;35,97;0;
MURONI;1352;53;44;113;85;209;5,15;25,93;0;44,33;31,85;0;13,93;00:25:35;2,36;3,28;8,34;6,27;15,48;3,23;14;17;55;38;0;38;43,67;30,52;0;
OGUNSEYE;1209;51;30;100;86;195;4,91;24,02;0;37,71;24,93;0;11,79;00:23:40;2,06;3,12;8,28;7,12;16,14;2,51;7;4;36;35;0;35;30,4;30,17;0;
PENNINGTON;1591;62;95;121;113;322;6,05;25,66;0;47,28;36,28;0;26,72;00:25:35;2,28;2,97;7,59;7,08;20,25;6;10;13;51;49;0;49;86,07;36,23;0;
PINNA S.;1404;57;108;110;100;296;5,55;26,35;0;41,2;35,91;0;18,08;00:24:43;2,56;2,93;7,82;7,09;21,11;7,69;15;13;49;50;0;50;97,44;36,53;0;
PIREDDA;1534;60;57;167;142;293;6,15;32,96;0;66,8;46,35;0;29,93;00:25:40;3,02;4,36;10,86;9,27;19,1;3,71;10;17;60;59;0;59;54,63;37,62;0;
PISANO;1263;49;47;77;64;155;4,61;21,51;0;32,15;26,71;0;16,79;00:25:46;2,11;2,54;6,12;5,1;12,26;3,7;8;9;26;34;0;34;28,74;24,68;0;
PITZALIS;1312;55;98;109;106;262;5,47;28,98;0;41,17;42,9;0;32,32;00:23:55;3,27;3,14;8,28;8,06;19,98;7,5;21;12;38;44;0;44;60,32;35,86;0;
RAGATZU;1153;45;45;91;75;175;4,29;23,08;0;28,56;30,32;0;12,32;00:25:35;2,63;2,48;7,9;6,5;15,2;3,91;12;11;37;32;0;32;37,51;28,43;0;
TETTEH;1478;58;19;104;88;210;5,49;22,65;0;36,7;27,43;0;8,9;00:25:32;1,86;2,48;7,02;5,96;14,21;1,3;7;12;37;42;0;42;15,16;27,79;0;
VALLOCCHIA;1291;53;96;131;122;267;5,34;31,12;0;49,86;45,78;0;32,58;00:24:32;3,55;3,86;10,12;9,44;20,67;7,45;14;19;65;58;0;58;70,99;37,33;0;
