;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1221;33;44;74;57;144;3,03;18,03;0,98;30,3;17,59;0;14,4;00:37:01;1,39;2,42;5,97;4,51;10,98;3,18;5,65;9,29;32,88;24,59;0;24,59;34,8;22,19;0;
BELLODI ;995;27;0;51;41;59;2,4;15,34;0;19,62;13,71;0;0,77;00:37:01;1,38;1,97;5,17;4,17;5,91;0;6;5;21;18;0;18;0;13,12;0;
BIANCU;1521;41;60;104;84;221;3,83;20,43;0;40,55;21,84;0;20,91;00:37:01;1,44;2,67;6,85;5,54;14,51;3,95;4;16;41;33;0;33;50,03;27,93;0;
CETER;969;26;0;45;30;44;2,28;12,48;0;17,84;7,89;0;1,69;00:37:01;0,81;1,84;4,65;3,09;4,54;0;1;1;19;10;0;10;0;10,72;0;
COTALI;1530;41;109;81;66;215;3,74;16,92;5,42;28,03;17,51;0;21,84;00:37:01;1,14;1,83;5,31;4,3;14,03;7,1;4;7;33;24;0;24;84,98;25,9;0;
CUSUMANO;888;24;0;56;40;56;2,16;16,53;0;17,8;10,79;0;2,69;00:37:01;1,21;2;6,27;4,51;6,27;0;0;1;19;13;0;13;0;14,48;0;
GEMMI;1681;45;72;103;82;246;4,2;19,43;0;41,62;27,6;0;18,83;00:37:01;1,64;2,48;6,1;4,85;14,63;4,3;15;15;52;47;0;47;67,68;27,84;0;
IOTTI;963;26;12;65;42;83;2,39;18,93;0;26,92;13,33;0;7,72;00:37:01;1,38;2,8;6,72;4,32;8,67;1,25;4;9;39;19;0;19;12,05;20,25;0;
MAFFEI;1490;40;87;119;97;231;3,88;24,42;8,48;55,45;37,85;0;38,2;00:37:01;2,54;3,72;7,96;6,51;15,48;5,83;7;16;39;40;0;40;65,57;30,62;0;
MURONI;1459;39;46;79;50;170;3,55;16,55;0;34,92;13,17;0;14,17;00:37:01;0,9;2,39;5,42;3,42;11,69;3,13;4;12;41;21;0;21;45,73;23,68;0;
OGUNSEYE;863;23;0;49;31;56;2,09;15,61;0;22,04;7,76;0;3,79;00:37:01;0,9;2,55;5,66;3,61;6,45;0;1;4;31;17;0;17;0;15,24;0;
PENNINGTON;1113;30;25;73;54;124;2,8;20,52;0;28,19;16,43;0;11,55;00:37:01;1,48;2,53;6,6;4,87;11,12;2,27;7;12;37;25;0;25;20,09;23,51;0;
PERALTA;1500;41;79;84;67;217;3,72;18,65;0;34,82;21,31;0;23,48;00:37:01;1,42;2,32;5,61;4,45;14,49;5,24;10;11;33;30;0;30;69,16;27,54;0;
PINNA S.;1079;29;58;55;45;125;2,62;16,04;0;19,62;15,41;0;12,31;00:37:01;1,43;1,82;5,13;4,18;11,56;5,37;7;4;24;19;0;19;36,3;21,77;0;
PISANO;981;27;48;56;41;115;2,41;17,5;0;21,83;15,17;0;15,78;00:37:01;1,55;2,22;5,69;4,15;11,76;4,91;5;7;21;17;0;17;23,07;23,21;0;
PITZALIS;1552;42;64;98;77;194;3,87;19,39;2,74;41,13;22,6;0;20,86;00:37:01;1,46;2,65;6,33;4,98;12,5;4,13;7;14;39;33;0;33;34,88;24,78;0;
SENESI;852;23;6;28;21;30;1,97;10,41;0;11,36;5,56;0;3,09;00:37:01;0,65;1,33;3,26;2,42;3,53;0,68;3;1;13;5;0;5;5,16;9,11;0;
VALLOCCHIA;1318;36;78;116;97;257;3,51;27,45;0;53,29;31,2;0;27,2;00:37:01;2,37;4,04;8,78;7,36;19,47;5,88;11;23;57;47;0;47;76,93;37,49;0;
