;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1969;85;148;155;140;426;8,37;26,64;5,47;58,35;47,21;0;43,25;00:23:02;2,4;2,97;7,88;7,1;21,55;7,49;17,5;16,1;55,8;61,2;0,1;61,2;113,04;38,41;0;
BIANCU;1969;81;173;158;151;437;8,08;28,36;8,12;57,64;51,26;0;37,7;00:24:13;2,6;2,93;8,04;7,68;22,18;8,8;27;15;60;74;0;74;138,27;39,05;0;
CUSUMANO;2132;88;115;159;148;451;8,61;26,31;0;56,19;51,98;0;36,61;00:24:13;2,44;2,64;7,48;6,92;21,17;5,38;22;9;47;66;0;66;90,37;37,85;0;
GEMMI;2258;93;138;176;169;552;9,19;27,37;0;62;59,25;0;31,24;00:24:13;2,62;2,75;7,78;7,48;24,43;6,12;24;19;76;73;0;73;127,33;41,32;0;
MAFFEI;1913;79;100;174;151;400;7,85;28,39;0;65,34;49,55;0;39,85;00:24:13;2,59;3,42;9,08;7,9;20,9;5,24;17;10;55;71;0;71;83,66;38,85;0;
PERALTA;1152;93;52;87;70;250;9,01;25,26;0;35,06;23,69;0;19,38;00:12:23;2,06;3,04;7,55;6,08;21,69;4,49;6;13;36;35;0;35;49,51;38,89;0;
PINNA S.;1980;82;86;142;121;337;7,84;23,96;7,53;51,65;37,39;0;35,41;00:24:13;1,89;2,61;7,15;6,13;17,04;4,32;8;12;45;48;0;48;67,31;32,31;0;
PISANO;2062;85;175;145;123;389;8,16;23,89;21,43;60,71;44,8;0;60,46;00:24:13;2,17;2,94;7,04;5,97;18,85;8,5;18;21;49;46;1;46;100,91;34,38;0;
PITZALIS;1984;82;183;167;149;446;8,15;28,66;0;65,18;53,42;0;49,4;00:24:13;2,69;3,29;8,44;7,51;22,47;9,23;17;18;64;65;0;65;139,06;39,86;0;
RAGATZU;1995;82;155;171;158;426;8,15;27,84;0;66,33;51,05;0;54,66;00:24:13;2,56;3,32;8,57;7,9;21,36;7,78;21;23;64;79;0;79;129,43;39,15;0;
SENESI;2242;93;304;169;156;571;9,01;25,72;17,62;63,44;49,75;0;67,75;00:24:13;2,22;2,83;7,55;6,97;25,48;13,54;15;21;62;55;0;55;204,5;42,7;0;
