;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1747;82;18;124;57;300;7,5;17,93;0;49,26;10,48;0;7,81;00:21:15;0,59;2,82;7,12;3,24;17,14;1;2;16,94;70,44;19,5;0;19,5;17,76;31,71;0;
BELLODI ;1895;90;86;129;75;454;8,38;20,25;0;50,66;15,94;0;12,12;00:21:03;0,84;2,67;6,8;3,94;23,98;4,53;4;15;66;27;0;27;84,75;40,33;0;
BIANCU;1695;80;18;143;61;345;7,41;19,23;0;54,21;9,14;0;4,58;00:21:06;0,54;3,2;8,41;3,62;20,34;1,05;2;16;78;12;0;12;17,78;36,1;0;
CETER;1728;82;36;129;53;332;7,48;18;0;51,53;8,99;0;8,14;00:21:06;0,52;2,98;7,47;3,08;19,19;2,06;2;22;81;15;0;15;35,52;35,01;0;
CUSUMANO;1606;75;32;124;77;332;7,06;21,92;0;48,85;12,39;0;9,8;00:21:27;0,77;3,04;7,75;4,77;20,7;2,01;3;10;73;28;0;28;32,22;37,48;0;
DALLA BERNARDINA ;1852;88;20;116;79;287;8,08;18,95;0;42,84;19,96;0;9,23;00:21:06;1,08;2,31;6,25;4,28;15,49;1,08;5;9;55;32;0;32;19,95;28,15;0;
GEMMI;1772;84;0;110;57;265;7,56;16,27;0;38,83;12,34;0;1,65;00:21:06;0,7;2,19;6,23;3,22;14,95;0;3;12;55;23;0;23;0;27,27;0;
IOTTI;1723;82;3;112;44;237;7,33;16,01;0;45,92;10,78;0;6,83;00:21:06;0,63;2,66;6,48;2,58;13,76;0,18;1;24;71;16;0;16;3,13;26,69;0;
MAFFEI;1694;82;16;139;54;348;7,63;20,06;0;59,9;8,33;0;11,28;00:20:37;0,49;3,54;8,23;3,18;20,53;0,94;0;27;74;14;0;14;15,93;38,3;0;
MURONI;1860;87;39;131;54;291;7,97;18,33;0;58,25;11,9;0;13,96;00:21:21;0,64;3,13;7,06;2,88;15,63;2,12;4;24;81;22;0;22;38,88;30,83;0;
OGUNSEYE;1651;79;19;110;31;211;7;15,07;0;45,15;5,94;0;7,21;00:21:00;0,36;2,74;6,64;1,91;12,81;1,12;0;14;54;6;0;6;18,51;25,44;0;
PENNINGTON;1709;78;6;101;48;246;7,03;16,47;0;41,43;7,23;0;7,57;00:21:55;0,42;2,42;5,92;2,8;14,41;0,36;2;13;60;8;0;8;6,17;27,19;0;
PERALTA;1847;88;0;119;51;290;7,86;16,12;0;45,89;7,74;0;4,87;00:21:06;0,42;2,48;6,43;2,75;15,68;0;1;13;68;15;0;15;0;29,15;0;
PINNA S.;1635;78;4;98;45;173;6,93;15,33;0;34,36;8,54;0;5,09;00:21:03;0,52;2,1;6,02;2,74;10,58;0,23;0;11;45;10;0;10;3,69;21,49;0;
PISANO;1802;86;7;149;76;350;7,95;19,96;0;62,02;15,34;0;12,77;00:21:03;0,85;3,44;8,27;4,24;19,44;0,38;3;20;84;37;0;37;6,92;35,64;0;
PITZALIS;1788;84;11;135;56;327;7,64;17,94;0;50,21;7,74;0;8,71;00:21:21;0,43;2,81;7,52;3,1;18,31;0,62;1;12;67;14;0;14;11,12;33,85;0;
RAGATZU;1791;82;23;151;64;405;7,59;20,02;0;67,62;8,43;0;12,62;00:21:55;0,47;3,78;8,44;3,57;22,62;1,28;2;36;95;25;0;25;22,88;40,99;0;
SENESI;1800;84;0;119;63;226;7,61;16,65;0;43,97;13,99;0;1,18;00:21:21;0,78;2,44;6,64;3,48;12,57;0;2;9;78;30;0;30;0;23,95;0;
VALLOCCHIA;1597;73;2;120;36;281;6,56;16,22;0;45,13;4,02;0;2,92;00:21:55;0,25;2,83;7,54;2,25;17,56;0,14;1;18;83;17;0;17;2,29;32,86;0;
