;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1559;66;96;115;97;278;6,34;23,12;4,76;44,34;31,7;0;27,49;00:23:32;1,95;2,81;7,26;6,05;16,43;5,56;10,78;12,06;42,61;41,78;0,06;41,78;70,89;30,43;0;
BELLODI ;1752;75;76;110;92;283;7,02;21,07;0;38,2;32,83;0;23,6;00:23:22;1,87;2,18;6,28;5,25;16,14;4,35;9;6;35;40;0;40;51,98;29,65;0;
BIANCU;1621;69;78;134;110;254;6,64;24,69;6,66;47,29;38,68;0;41,11;00:23:33;2,39;2,92;8,28;6,77;15,68;4,8;12;9;47;42;0;42;60,57;30,72;0;
CETER;1590;68;157;138;110;327;6,71;26,72;9,8;59,87;41,14;0;40,82;00:23:13;2,59;3,77;8,7;6,89;20,6;9,86;14;24;52;44;0;44;90,07;36,87;0;
CUSUMANO;813;33;9;55;42;56;3,01;18,49;0;19,34;10,43;0;2,16;00:24:44;1,28;2,38;6,81;5,15;6,85;1,12;2;4;26;15;0;15;9,07;15,2;0;
DALLA BERNARDINA ;854;36;4;61;45;56;3,35;19,34;0;22,48;13,53;0;4,59;00:23:33;1,58;2,63;7,15;5,31;6,52;0,49;3;8;28;16;0;16;4,16;15,48;0;
GEMMI;1960;83;185;144;145;486;8,15;26,56;0;58,62;52,84;0;33,57;00:23:33;2,7;2,99;7,37;7,42;24,82;9,44;13;18;57;71;0;71;159,12;41,04;0;
IOTTI;1735;70;25;133;99;254;6,6;22,16;0;48,35;26,75;0;17,47;00:24:52;1,54;2,79;7,67;5,73;14,64;1,43;11;8;46;39;0;39;20,17;28,31;0;
MAFFEI;1644;71;131;143;123;343;6,97;27,4;13,35;60,53;45,15;0;42,4;00:23:15;2,75;3,68;8,72;7,46;20,88;7,99;17;13;50;59;0;59;82,6;37,48;0;
MURONI;2003;86;73;137;124;427;8,27;24,65;0;49,75;39,69;0;19,23;00:23:22;1,98;2,48;6,85;6,18;21,31;3,62;18;16;61;60;0;60;72,59;37,54;0;
OGUNSEYE;1606;69;171;120;111;320;6,65;25,07;38,83;47,19;38,63;0;53,21;00:23:22;2,41;2,94;7,49;6,93;19,95;10,64;11;13;38;44;1;44;77,57;35,73;0;
PENNINGTON;1863;80;121;112;111;352;7,53;22;0;39,91;32,76;0;17,77;00:23:22;1,76;2,14;6,02;5,94;18,92;6,49;13;12;40;44;0;44;100,9;32,92;0;
PERALTA;2033;88;136;136;109;410;8,34;23,11;0;49,55;37,89;0;28,92;00:23:13;1,86;2,44;6,69;5,36;20,18;6,67;14;10;42;48;0;48;115,51;35,87;0;
PINNA S.;629;27;1;28;23;27;2,39;15;0;12,56;5,88;0;3,85;00:23:22;0,94;2;4,4;3,58;4,29;0,22;2;5;15;12;0;12;1,36;11,87;0;
PISANO;1417;61;38;103;82;169;5,73;22,12;0;40,15;24,6;0;23,03;00:23:22;1,74;2,83;7,27;5,8;11,93;2,65;7;9;35;34;0;34;35,29;25,07;0;
PITZALIS;1401;60;21;102;80;156;5,61;20,93;0;36,16;23,57;0;9,06;00:23:22;1,68;2,58;7,27;5,72;11,1;1,5;5;5;35;25;0;25;21,02;22,32;0;
RAGATZU;1787;76;201;143;122;382;7,52;27,13;16,32;57,68;38,24;0;46,4;00:23:22;2,14;3,23;7,98;6,85;21,37;11,27;21;14;54;60;0;60;115,51;37,43;0;
SENESI;1607;69;129;114;95;309;6,56;23,23;0,74;46,6;31,85;0;40,15;00:23:22;1,98;2,9;7,08;5,91;19,25;8,01;10;15;44;42;0;42;107,44;35,77;0;
VALLOCCHIA;1750;75;177;151;118;388;7,35;26,82;0;63,98;36,06;0;47,53;00:23:22;2,06;3,66;8,63;6,76;22,16;10,1;12;28;62;57;0;57;151,11;39,7;0;
