;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;7122;77;855;416;348;1618;7,19;20,04;104,6;154,52;107,55;0;151,8;01:32:06;1,51;2,17;5,83;4,88;22,63;12,02;31,55;39;145,55;138,64;3,36;138,64;534,65;37,01;0;
CALIGARA;4030;91;529;238;192;1057;8,56;20,95;108,72;88,02;61,16;0;107,13;00:44:03;1,52;2,18;5,92;4,77;26,23;13,13;15;22;82;82;3;82;317,39;42,37;0;
CETER;6503;68;883;418;322;1416;6,34;20,34;145,51;155,95;96,21;0;203,65;01:35:33;1,48;2,4;6,42;4,95;21,78;13,58;19;42;150;114;4;114;458,24;36,87;0;
CUSUMANO;7578;77;849;505;401;1735;7,24;21,65;78,93;169,24;110,35;0;140,47;01:38:35;1,46;2,23;6,67;5,29;22,89;11,2;32;40;166;160;4;160;578,8;38,23;0;
DALLA BERNARDINA ;7488;76;741;453;392;1684;7,13;20,63;66,41;176,37;114,46;0;117,2;01:38:02;1,53;2,36;6,05;5,23;22,49;9,89;29;36;152;172;3;172;554,4;37,15;0;
GEMMI;7687;78;703;439;393;1707;7,31;20,41;52,83;181,04;141;0;92,7;01:38:02;1,83;2,36;5,71;5,11;22,2;9,15;57;48;189;189;1;189;594,02;35,92;0;
MAFFEI;7301;76;1037;554;477;1845;7,39;24,92;215,02;211,49;154,77;0;260,52;01:35:33;2,12;2,9;7,58;6,54;25,28;14,21;43;51;194;176;6;176;531,09;41,83;0;
PENNINGTON;7183;75;691;293;261;1405;6,71;15,92;41,62;99,63;74,61;0;82,68;01:35:59;1,04;1,39;4,08;3,63;19,56;9,62;20;17;101;91;2;91;458,06;31,49;0;
PERALTA;8292;87;929;426;344;1868;7,93;18,04;58,97;148,69;96,17;0;118,47;01:35:33;1,16;1,79;5,14;4,15;22,52;11,2;29;42;143;131;2;131;580,27;36,11;0;
PISANO;7875;80;1160;473;394;1925;7,47;20,61;212,39;184,05;115,73;0;211,8;01:38:22;1,47;2,34;6,01;5;24,45;14,74;36;59;167;165;7;165;689,3;39,26;0;
PITZALIS;7812;80;1059;502;416;1846;7,54;21,99;75,6;188,53;147,78;0;212,17;01:37:52;1,89;2,41;6,43;5,33;23,62;13,56;50;45;167;165;2;165;663,87;39,2;0;
SENESI;6588;69;827;275;234;1306;6,16;15,37;94,6;96,68;70,77;0;123,02;01:35:32;1,07;1,47;4,18;3,55;19,82;12,56;17;27;90;80;3;80;455,7;31,42;0;
