;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1979;57;232;113;93;409;5,23;18,88;13;40,37;27,38;0;38,46;00:34:54;1,35;2,01;5,64;4,63;19,89;10,97;7;11,18;40,47;30,41;0,24;30,41;158,13;33,16;0;
BELLODI ;1870;54;67;74;56;241;4,72;13,4;0;27,87;11,59;0;11,97;00:34:47;0,62;1,49;3,94;3,02;12,9;3,6;6;5;28;23;0;23;50,8;23,39;0;
BIANCU;2036;59;334;147;136;528;5,71;24,69;33,98;50,07;46,48;0;76,43;00:34:22;2,28;2,46;7,22;6,68;25,91;16,4;10;11;50;39;1;39;198,99;41,96;0;
CETER;1894;54;283;128;91;427;5,06;19,98;0;44,29;21,66;0;41,4;00:34:47;1,14;2,34;6,77;4,81;22,56;14,94;4;14;44;23;0;23;217,08;38,19;0;
CUSUMANO;1411;41;11;62;43;134;3,56;13,32;0;21,6;9,07;0;1,31;00:34:47;0,64;1,53;4,4;3,07;9,48;0,75;0;9;32;14;0;14;10,58;18,06;0;
DALLA BERNARDINA ;2054;57;71;109;80;282;5,16;16,48;0;41,04;20,29;0;13,93;00:35:51;0,99;2;5,29;3,92;13,72;3,46;5;10;46;23;0;23;60,05;24,84;0;
GEMMI;1970;57;175;105;88;397;5,25;18,25;0;37,91;25,28;0;21,17;00:34:22;1,28;1,92;5,33;4,46;20,15;8,91;9;11;47;41;0;41;161,13;32,98;0;
IOTTI;1725;50;68;72;62;236;4,43;15,32;18,76;21,6;12,37;0;9,94;00:34:47;0,72;1,25;4,19;3,62;13,71;3,94;1;5;26;15;0;15;27,66;23,85;0;
MAFFEI;2042;59;312;143;119;451;5,63;23,87;12,68;62,44;45,94;0;70,03;00:34:47;2,25;3,06;7,02;5,82;22,07;15,3;14;18;45;43;0;43;207,04;38,54;0;
MURONI;2168;59;148;105;66;401;5,24;15,5;0;36,87;11,06;0;17,34;00:36:57;0,51;1,7;4,84;3,06;18,49;6,81;0;13;47;17;0;17;147,06;31,37;0;
OGUNSEYE;2311;66;252;142;100;486;6,14;19,43;0;52,77;24,6;0;36,85;00:34:47;1,06;2,28;6,15;4,34;21,02;10,9;5;15;44;32;0;32;199,26;35,81;0;
PENNINGTON;1800;52;240;102;93;377;4,82;20,42;0;38,64;31,15;0;40,56;00:34:47;1,73;2,15;5,64;5,16;20,96;13,32;8;10;31;31;0;31;151,46;35,02;0;
PERALTA;2276;65;407;114;95;605;5,97;17,87;0;45,92;24,75;0;43,13;00:34:47;1,09;2,02;5,03;4,18;26,57;17,88;3;15;41;23;0;23;291,86;41,01;0;
PINNA S.;2114;61;341;106;99;466;5,54;17,68;27,71;30,5;29,8;0;51,63;00:34:47;1,41;1,44;5,02;4,68;22,02;16,14;10;8;29;38;0;38;192,64;34,59;0;
PISANO;1431;41;80;79;67;196;3,76;18,09;0;26,51;18,5;0;16,69;00:34:47;1,29;1,85;5,55;4,66;13,7;5,58;5;6;30;20;0;20;71,24;25,23;0;
PITZALIS;1621;47;102;107;84;247;4,36;20,33;0;30,8;31,88;0;19,21;00:34:36;1,97;1,9;6,63;5,16;15,23;6,26;8;3;33;27;0;27;74,59;26,97;0;
SENESI;2393;69;514;137;124;662;6,41;20,46;21,26;46,32;37,53;0;72,18;00:34:47;1,57;1,94;5,74;5,19;27,67;21,5;10;12;48;39;0;39;373,52;42,72;0;
VALLOCCHIA;2525;73;537;183;176;814;7,09;26,13;106,63;71,22;63,52;0;110,14;00:34:47;2,52;2,82;7,25;6,97;32,25;21,28;21;25;67;69;3;69;253,18;49,71;0;
