;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;414;52;5;13;7;25;4,47;10,41;0;2,44;0,96;0;0,85;00:07:54;0,24;0,59;3,08;1,75;5,99;1,3;0,14;0,21;2;1,14;0;1,14;5,24;10,98;0;
BELLODI ;414;52;0;12;5;20;4,4;8,67;0;1,43;0,09;0;0;00:07:54;0,02;0,34;2,81;1,13;4,94;0;0;0;2;0;0;0;0;9,15;0;
BIANCU;414;52;6;12;8;28;4,52;11,5;0;2,58;0,93;0;0,85;00:07:54;0,22;0,62;2,94;2;6,85;1,45;0;1;2;1;0;1;6,01;12,61;0;
CETER;421;53;0;13;5;23;4,52;9,63;0;2,32;0,68;0;0;00:07:54;0,16;0,55;3,08;1,18;5,48;0;0;0;1;1;0;1;0;9,92;0;
CUSUMANO;409;52;1;10;7;20;4,39;9,58;0;1,06;0,49;0;0;00:07:54;0,12;0,26;2,54;1,69;4,91;0,22;0;0;0;1;0;1;0,9;8,99;0;
DALLA BERNARDINA ;375;47;19;19;10;30;4,17;13,48;0;4,01;2,97;0;4,12;00:07:54;0,79;1,07;5,18;2,55;8;4,94;1;0;3;2;0;2;18,53;15,27;0;
GEMMI;419;53;13;14;9;28;4,54;10,68;0;2,49;0,76;0;1,13;00:07:54;0,18;0,59;3,41;2,09;6,72;3,21;0;0;3;1;0;1;13,43;12,09;0;
IOTTI;430;54;0;13;7;28;4,63;9,99;0;1,92;0,55;0;0;00:07:54;0,13;0,45;2,91;1,56;6,59;0,1;0;0;2;1;0;1;0,44;11,47;0;
OGUNSEYE;409;52;8;11;6;20;4,43;10,67;0;3,06;2;0;1,11;00:07:54;0,49;0,75;2,66;1,56;4,89;1,92;1;0;1;3;0;3;7,86;9,83;0;
PENNINGTON;431;54;0;7;4;22;4,56;8,03;0;0,78;0,24;0;0;00:07:54;0,06;0,18;1,61;0,93;5,03;0;0;0;0;0;0;0;0;8,49;0;
PERALTA;419;53;1;9;8;25;4,49;9,47;0;0,95;0,79;0;0;00:07:54;0,19;0,23;2,17;1,82;5,9;0,21;0;0;1;0;0;0;0,9;10,02;0;
PINNA S.;405;51;8;11;9;22;4,38;10,35;0;3,11;1,59;0;1,28;00:07:54;0,39;0,77;2,69;2,12;5,37;2,03;0;0;2;4;0;4;8,21;10,21;0;
PISANO;379;48;5;10;4;23;4,08;9,82;0;2,09;0,61;0;0,4;00:07:54;0,16;0,55;2,65;1,13;6,01;1,19;0;0;2;0;0;0;4,53;10,56;0;
PITZALIS;432;55;13;25;13;34;4,83;14,16;0;6,34;1,44;0;2,79;00:07:54;0,33;1,47;5,83;3,09;7,85;2,92;0;2;8;2;0;2;12,6;15,35;0;
SENESI;434;55;0;12;7;23;4,66;9,67;0;2,07;0,31;0;0,27;00:07:54;0,07;0,48;2,71;1,67;5,36;0;0;0;1;0;0;0;0;9,8;0;
