;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;487;55;8;9;6;28;4,58;8,47;0;1,13;0,75;0;0,25;00:08:54;0,16;0,24;1,89;1,16;5,71;1,58;0;0,12;1,24;0,35;0;0,35;7,56;9,39;0;
BELLODI ;494;55;9;8;5;27;4,62;8,41;0;1,1;1,29;0;0;00:08:58;0,26;0,22;1,54;1,08;5,38;1,79;0;0;0;0;0;0;8,85;7,87;0;
BIANCU;483;54;9;10;7;36;4,54;9,06;0;1,23;0,47;0;0;00:08:58;0,1;0,26;2,16;1,36;7,44;1,92;0;0;2;0;0;0;9,27;12,45;0;
CETER;516;58;5;7;6;26;4,78;7,45;0;0,34;0;0;0;00:08:58;0;0,07;1,3;1,07;5,02;0,88;0;0;1;0;0;0;4,56;7,57;0;
CUSUMANO;508;57;6;8;4;30;4,77;8,62;0;1,07;0,83;0;0;00:08:58;0,16;0,21;1,61;0,83;5,83;1,16;0;0;2;0;0;0;5,89;9,49;0;
DALLA BERNARDINA ;359;45;0;9;5;15;3,78;9,41;0;1,65;0,34;0;0;00:08:02;0,09;0,46;2,62;1,53;4,07;0;0;0;1;0;0;0;0;7,99;0;
GEMMI;504;56;13;7;5;28;4,7;8,17;0;0,33;1,02;0;0;00:08:58;0,2;0,07;1,47;1,02;5,53;2,5;0;0;1;1;0;1;12,62;8,89;0;
IOTTI;498;56;0;4;3;21;4,59;6,7;0;0,28;0,38;0;0;00:08:58;0,08;0,06;0,9;0,63;4,13;0;0;0;0;1;0;1;0;6,46;0;
MAFFEI;469;52;5;13;5;30;4,45;9,91;0;2,96;0,94;0;0,66;00:08:58;0,2;0,63;2,84;1,15;6,44;0,96;0;1;2;0;0;0;4,51;11,28;0;
MURONI;507;57;11;8;6;27;4,73;8,08;0;1,33;0,92;0;0;00:08:58;0,18;0,26;1,62;1,09;5,28;2,17;0;0;1;1;0;1;10,98;8,49;0;
OGUNSEYE;534;59;6;7;3;19;4,89;6,15;0;0;0;0;0;00:08:58;0;0;1,34;0,47;3,57;1,1;0;0;1;0;0;0;5,89;5,51;0;
PENNINGTON;489;55;7;5;7;31;4,55;7,83;0;0,56;0,55;0;0;00:08:58;0,11;0,11;0,99;1,34;6,33;1,39;0;0;0;0;0;0;6,81;9,76;0;
PERALTA;518;58;2;7;4;25;4,81;7,69;0;0,6;0,29;0;0;00:08:58;0,06;0,12;1,29;0,85;4,87;0,35;0;0;4;0;0;0;1,79;7,86;0;
PINNA S.;516;58;20;12;10;33;4,88;9,49;0;1,44;1,74;0;2,06;00:08:58;0,34;0,28;2,26;1,99;6,37;3,8;0;1;1;2;0;2;16,81;10,61;0;
PISANO;471;53;5;16;8;29;4,46;9,72;0;1,24;0,78;0;0,42;00:08:58;0,17;0,26;3,5;1,7;6,18;1,08;0;0;1;0;0;0;5,08;10,91;0;
PITZALIS;489;54;10;12;7;35;4,61;9,3;0;1,42;1,01;0;0;00:08:58;0,21;0,29;2,36;1,43;7,07;2,11;0;0;0;0;0;0;10,31;11,6;0;
SENESI;503;56;13;12;6;37;4,75;9,39;0;2,07;1,02;0;0,19;00:08:58;0,2;0,41;2,48;1,27;7,36;2,65;0;0;4;1;0;1;13,32;12,02;0;
VALLOCCHIA;414;46;12;8;4;25;3,88;8,68;0;1,65;1,16;0;0,84;00:08:58;0,28;0,4;1,97;0,88;5,97;2,85;0;0;0;0;0;0;11,82;10,72;0;
