;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1502;86;107;110;99;321;8,35;25,08;4,68;39,93;33,76;0;29,36;00:17:23;2,27;2,7;7,41;6,6;21,08;7,01;10,56;9,56;36,44;36,88;0;36,88;77,69;36,86;0;
BELLODI ;1687;98;130;116;119;376;9,48;25,43;0,67;43,94;43,6;0;31,11;00:17:16;2,58;2,6;6,9;7,05;22,27;7,68;12;7;34;38;0;38;104,69;38,58;0;
CALIGARA;1504;87;133;110;97;321;8,5;26,05;0;37,61;32,19;0;31,68;00:17:16;2,14;2,5;7,3;6,47;21,31;8,81;11;11;31;34;0;34;105,05;38,01;0;
CETER;1615;91;173;121;92;347;8,73;23,75;19,98;44,74;28,11;0;55,74;00:17:42;1,74;2,77;7,48;5,68;21,52;10,72;2;8;32;23;0;23;104,58;37,76;0;
COTALI;1442;82;68;117;96;297;7,96;25,43;0;37,19;34,22;0;20,57;00:17:34;2,37;2,58;8,08;6,69;20,56;4,74;10;8;39;43;0;43;68,39;37,01;0;
DALLA BERNARDINA ;1716;98;150;128;112;403;9,49;25,59;0;42,36;37,51;0;31,65;00:17:34;2,19;2,47;7,46;6,54;23,47;8,76;13;6;31;42;0;42;122,37;40,19;0;
GEMMI;1503;85;35;96;98;311;8,27;25,06;0;34,86;38,18;0;15,23;00:17:34;2,54;2,32;6,41;6,49;20,68;2,3;18;11;39;47;0;47;27,27;35,92;0;
IOTTI;1188;68;16;95;77;133;6,47;23,77;0;36,13;24,25;0;11,52;00:17:34;2,04;3,04;8,03;6,47;11,24;1,38;10;10;37;29;0;29;8,5;22,86;0;
MAFFEI;1607;93;195;125;115;446;9,13;26,73;10,77;50,55;38,16;0;42,52;00:17:16;2,37;3,15;7,78;7,13;27,77;12,14;11;15;49;48;0;48;117,28;45,39;0;
OGUNSEYE;1327;77;66;94;75;246;7,27;22,32;0;28,41;20,78;0;14,58;00:17:16;1,57;2,14;7,08;5,69;18,55;4,96;2;9;30;25;0;25;41,18;32,69;0;
PENNINGTON;1652;96;59;70;72;257;8,67;17,07;0;21,63;19,43;0;8,57;00:17:16;1,18;1,31;4,26;4,35;15,59;3,55;4;1;27;20;0;20;48,09;26,75;0;
PERALTA;1887;107;156;114;116;489;10,18;22,55;11,04;40,87;34,34;0;30,09;00:17:34;1,82;2,17;6,05;6,17;25,93;8,25;10;7;32;43;0;43;106,65;41,45;0;
PINNA S.;1605;93;161;121;117;397;9,09;26,29;20,81;47,25;42,46;0;40,07;00:17:16;2,65;2,94;7,57;7,3;24,71;10,02;14;12;34;54;0;54;92,83;41,9;0;
PISANO;1162;67;155;115;95;270;6,78;30,21;11,66;43,26;40,39;0;47,2;00:17:16;3,48;3,72;9,87;8,2;23,21;13,31;16;12;41;38;0;38;96,5;40,35;0;
PITZALIS;1309;76;36;108;88;232;7,38;25,71;0;41,97;31,82;0;24,66;00:17:16;2,43;3,21;8,24;6,71;17,75;2,77;10;8;36;32;0;32;29,72;34,03;0;
SENESI;1479;86;121;102;98;320;8,24;24,19;0;34,62;33,1;0;28,92;00:17:16;2,24;2,34;6,9;6,59;21,65;8,16;8;6;35;28;0;28;114,48;37,26;0;
VALLOCCHIA;1355;78;64;124;111;286;7,97;31,23;0;53,54;41,64;0;35,68;00:17:16;3,07;3,95;9,19;8,19;21,13;4,69;18;22;56;46;0;46;55,52;39,74;0;
