;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1776;99;153;118;109;429;9,57;24,58;4,89;41,71;39,08;0;35,26;00:17:53;2,21;2,37;6,68;6,18;24,03;8,68;11,88;9,25;33,38;43,31;0;43,31;120,42;40,37;0;
BELLODI ;1707;95;194;116;117;423;9,35;26,54;0;41,88;49,73;0;36,12;00:17:53;2,91;2,45;6,82;6,85;24,77;11,34;16;10;29;52;0;52;152,72;41,41;0;
CALIGARA;1778;99;234;126;127;496;9,84;27,83;12,64;40,05;49,51;0;57,9;00:17:53;2,78;2,25;7,11;7,11;27,9;13,18;11;9;32;43;0;43;181,66;45,4;0;
COTALI;1695;95;152;129;108;410;9,2;25,49;0;48,52;36,89;0;32,57;00:17:53;2,18;2,86;7,6;6,37;24,21;8,97;10;15;45;47;0;47;133,38;41,05;0;
CUSUMANO;1781;100;122;136;122;432;9,76;26,65;0,67;48,28;40,5;0;32,37;00:17:53;2,27;2,71;7,65;6,85;24,28;6,84;12;10;34;53;0;53;87,56;42,19;0;
DALLA BERNARDINA ;1840;103;133;103;81;423;9,56;20,07;5,41;35,49;18,45;0;22,65;00:17:53;1;1,93;5,6;4,39;23,01;7,23;7;4;30;28;0;28;105,56;38,38;0;
GEMMI;2054;115;167;107;126;597;10,89;22,51;0;36,92;46,7;0;22,47;00:17:53;2,27;1,8;5,21;6,13;29,04;8,11;12;7;42;57;0;57;161,47;44,12;0;
IOTTI;1746;98;106;124;100;379;9,34;23,64;16,06;36,48;34,11;0;32,98;00:17:53;1,95;2,09;7,08;5,73;21,69;6,06;13;4;34;38;0;38;67,75;37,46;0;
MAFFEI;1621;91;185;155;131;415;9,21;31,38;13,43;60,77;49,03;0;61,16;00:17:53;3,02;3,75;9,56;8,1;25,62;11,39;12;14;37;58;0;58;125,81;44,76;0;
MURONI;1974;110;84;121;114;476;10,56;23,6;0;47,06;38,58;0;22,85;00:17:53;1,95;2,38;6,13;5,76;24,1;4,24;13;14;31;54;0;54;79,09;40,85;0;
OGUNSEYE;1672;93;140;114;96;375;8,93;23,49;9,83;39,48;33,77;0;32,84;00:17:53;2,02;2,36;6,81;5,76;22,42;8,38;11;6;25;33;0;33;96,12;38,14;0;
PENNINGTON;2007;112;135;125;131;491;10,86;25,01;0;41,61;49,17;0;33,17;00:17:53;2,45;2,07;6,21;6,53;24,46;6,71;21;12;44;52;0;52;122,73;40,91;0;
PINNA S.;1724;96;175;120;108;394;9,3;24,64;1,36;47,74;36,55;0;41,29;00:17:53;2,12;2,77;6,97;6,28;22,86;10,14;13;13;42;37;0;37;129,96;39,61;0;
PISANO;1711;96;106;101;87;340;9,05;22,18;0;36,72;32,68;0;33,18;00:17:53;1,91;2,15;5,93;5,09;19,85;6,19;6;5;23;35;0;35;83,81;34,86;0;
PITZALIS;1786;100;145;96;92;410;9,36;21,06;0;27,81;29,34;0;24,47;00:17:53;1,64;1,56;5,37;5,15;22,93;8,12;10;6;27;37;0;37;108,09;37,3;0;
RAGATZU;1461;82;125;100;93;292;7,86;24,33;6,15;38,33;32,45;0;30,94;00:17:53;2,22;2,62;6,82;6,36;20,02;8,54;11;12;33;28;0;28;98,44;35,55;0;
SENESI;1862;104;250;113;119;510;10,06;24,84;12,63;40,2;47,77;0;47,25;00:17:53;2,57;2,16;6,05;6,38;27,37;13,44;12;7;26;41;0;41;192,58;43,96;0;
