;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;408;22;8;25;20;38;2,03;15,93;0;10,15;7,29;0;4,49;00:18:28;1,43;2,04;5,19;4,1;7,25;1,29;2,17;2,94;10,56;9,89;0;9,89;6,97;15,37;0;
BELLODI ;509;27;0;29;26;35;2,44;16,1;0;8,11;7,03;0;0,27;00:18:45;1,38;1,59;5,7;5,01;6,89;0;2;0;9;17;0;17;0;15,01;0;
BIANCU;461;26;0;29;17;24;2,3;15,15;0;12,89;4,81;0;0,25;00:17:53;1,04;2,79;6,18;3,68;5,19;0;1;6;19;12;0;12;0;13,42;0;
CALIGARA;178;10;0;5;3;5;0,8;8,36;0;1,88;0,51;0;0,22;00:18:45;0,28;1,05;2,6;1,5;3;0;0;1;2;2;0;2;0;7,9;0;
CETER;350;20;0;20;19;27;1,81;19,48;0;6,86;7,89;0;0,32;00:17:53;2,25;1,96;5,68;5,53;7,8;0;1;0;6;7;0;7;0;16,55;0;
COTALI;578;32;29;24;23;75;2,87;14,9;0;8,55;7,76;0;1,96;00:17:53;1,34;1,48;4,23;4,05;12,95;5,01;2;2;8;12;0;12;28,96;22,01;0;
CUSUMANO;459;24;1;30;27;42;2,25;18,88;0;10,95;7,82;0;1,7;00:18:45;1,7;2,39;6,61;5,92;9,06;0,2;1;0;11;13;0;13;0,93;18,51;0;
DALLA BERNARDINA ;506;28;0;49;40;56;2,77;26,44;0;22,4;11,99;0;3,12;00:17:53;2,37;4,43;9,72;7,85;10,98;0;4;8;26;19;0;19;0;24,8;0;
GEMMI;116;6;0;2;1;0;0,52;4,79;0;0,42;0,33;0;0;00:17:53;0,29;0,36;1,56;0,52;0,19;0;0;0;1;0;0;0;0;0,36;0;
IOTTI;415;23;3;34;24;46;2,17;20,82;0;10,7;9,66;0;5,93;00:17:53;2,33;2,58;8,09;5,7;11,02;0,78;3;2;9;9;0;9;3,23;23,31;0;
MAFFEI;717;38;93;84;73;161;4,09;38,17;0;41,27;33,39;0;41,93;00:18:45;4,66;5,76;11,75;10,21;22,45;13,04;16;16;35;33;0;33;67,86;43,01;0;
MURONI;231;12;0;3;3;3;1,01;5,88;0;1,27;0,73;0;0,26;00:18:45;0,32;0,55;1,45;1,22;1,3;0;0;0;3;2;0;2;0;3,24;0;
OGUNSEYE;427;23;0;35;25;48;2,19;24,05;0;12,91;10,01;0;5,28;00:18:45;2,34;3,02;8,27;5,87;11,33;0;2;0;15;14;0;14;0;25,32;0;
PENNINGTON;397;21;0;8;3;3;1,73;5,43;0;2,87;0,67;0;0;00:18:45;0,17;0,72;2,02;0,73;0,79;0;0;1;6;1;0;1;0;2,12;0;
PINNA S.;326;17;3;9;7;7;1,49;10,87;0;3,55;1,73;0;2,34;00:18:45;0,53;1,09;2,71;2,08;2,07;1;0;3;3;3;0;3;3,25;6,55;0;
PISANO;720;38;19;47;39;80;3,58;20,65;0;18,16;12,74;0;8,74;00:18:45;1,77;2,52;6,55;5,41;11,06;2,57;4;3;14;17;0;17;18,52;22,94;0;
PITZALIS;210;11;0;3;1;0;0,91;4,65;0;0,39;0;0;0;00:18:45;0;0,19;1,53;0,27;0,23;0;0;0;0;0;0;0;0;0,67;0;
RAGATZU;248;13;0;4;4;3;1,1;8,14;0;1,53;1,13;0;0,33;00:18:45;0,46;0,62;1,79;1,44;1,04;0;1;0;2;1;0;1;0;2,89;0;
SENESI;499;27;3;36;35;66;2,55;24,18;0;17,92;12,98;0;8,1;00:18:45;2,6;3,59;7,21;6,96;13,29;0,56;2;11;21;16;0;16;2,79;28,33;0;
