;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;134;43;4;6;4;12;3,84;14,59;0;1,37;1,2;0;0,98;00:03:06;0,89;1,03;4,36;3,34;9,1;2,66;0,39;0,22;1,44;1,78;0;1,78;3,62;17,14;0;
BELLODI ;151;49;2;5;5;12;4,22;11,82;0;0,25;0,56;0;0,83;00:03:06;0,37;0,16;3,17;3,34;8,11;1,23;1;0;0;4;0;4;1,86;14,73;0;
CALIGARA;131;42;11;7;7;19;4,04;23,74;0;2,51;2,75;0;2,39;00:03:06;2,11;1,92;5,51;5,36;14,82;8,35;1;0;1;3;0;3;10,91;27,99;0;
CETER;144;46;6;6;6;11;4,16;15,61;0;2,33;0,76;0;1,95;00:03:06;0,53;1,62;4,28;3,86;7,86;4,4;0;0;2;1;0;1;6,34;15,88;0;
COTALI;133;43;0;2;3;11;3,62;9,01;0;0,22;0,53;0;0;00:03:06;0,4;0,16;1,42;2,17;8,48;0;0;0;1;1;0;1;0;13,42;0;
CUSUMANO;131;42;0;6;4;11;3,77;15,43;0;1,33;0,88;0;0,74;00:03:06;0,68;1,02;4,58;2,83;8,19;0;0;0;0;2;0;2;0;16,08;0;
DALLA BERNARDINA ;148;48;8;8;5;16;4,28;15,82;0;0,92;2,05;0;1,2;00:03:06;1,38;0,62;5,18;3,17;10,62;5,55;1;0;2;2;0;2;8,23;20,43;0;
GEMMI;137;44;0;5;3;9;3,85;12,5;0;1,16;0,46;0;0;00:03:06;0,34;0,85;3,79;2,28;6,71;0;0;1;2;0;0;0;0;12,97;0;
IOTTI;123;40;5;6;5;14;3,63;17,85;0;3,38;1,32;0;2,57;00:03:06;1,07;2,74;4,94;4,37;11,36;4,06;0;2;5;3;0;3;5;21,99;0;
MAFFEI;133;43;5;6;5;14;3,84;15,75;0;1,33;2,07;0;0,99;00:03:06;1,56;1;4,35;4,06;10,72;3,47;1;0;1;3;0;3;4,61;19,62;0;
MURONI;129;41;5;4;4;15;3,65;13,71;0;0,8;1,31;0;0,66;00:03:06;1,02;0,62;3,22;3,35;11,85;4,1;1;0;1;1;0;1;5,27;19,41;0;
OGUNSEYE;126;41;0;5;1;5;3,49;11;0;0,49;0,12;0;0;00:03:06;0,09;0,39;4,19;1,17;3,81;0;0;0;1;0;0;0;0;9,4;0;
PENNINGTON;134;43;4;7;5;14;3,86;15,37;0;1,79;1,87;0;0,33;00:03:06;1,39;1,33;5,56;3,79;10,71;3,11;1;0;2;2;0;2;4,17;19,55;0;
PERALTA;114;37;0;5;3;8;3,18;11,95;0;1,36;0,32;0;0;00:03:06;0,28;1,19;4,72;2,82;6,69;0;0;0;1;1;0;1;0;13,53;0;
PINNA S.;129;41;1;5;4;14;3,68;14,81;0;1,53;1,07;0;0;00:03:06;0,83;1,19;4,1;3,19;10,69;0,7;0;1;3;2;0;2;0,89;18,86;0;
PISANO;136;44;6;7;4;11;3,86;13,97;0;1,84;0,15;0;1,09;00:03:06;0,11;1,35;5,12;3,23;8,42;4,11;0;0;2;2;0;2;5,58;16,46;0;
PITZALIS;141;45;0;5;4;6;3,96;12,86;0;1,4;0,51;0;0,67;00:03:06;0,36;1;3,81;2,52;4,54;0;0;0;0;1;0;1;0;9,88;0;
RAGATZU;139;45;12;8;7;17;4,11;18,25;0;0,54;3,44;0;3,15;00:03:06;2,47;0,39;5,49;5,06;11,93;8,45;1;0;1;3;0;3;11,75;21,15;0;
SENESI;138;45;0;7;5;11;3,91;13,23;0;1,49;1,42;0;1,02;00:03:06;1,02;1,07;5,06;3,46;8,2;0,32;0;0;1;1;0;1;0,44;17,17;0;
