;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1492;86;89;117;103;311;8,4;26,88;4,68;45,62;36,03;0;30,5;00:17:25;2,42;3,08;7,89;6,93;20,76;6,06;11,94;11,5;38,94;43,06;0,06;43,06;68,54;37,38;0;
BELLODI ;1473;84;23;102;88;256;8,02;23,41;0;38,71;26,82;0;11,26;00:17:32;1,82;2,63;6,9;5,98;17,4;1,58;9;11;33;38;0;38;23,29;31,73;0;
BIANCU;1457;84;75;110;101;261;8,19;25,31;0;39,48;32,71;0;23,23;00:17:15;2,24;2,71;7,56;6,93;17,89;5,18;7;11;33;39;0;39;55,47;33,31;0;
CALIGARA;1593;91;232;141;123;408;9,08;29,23;25,27;53,36;45,88;0;69,07;00:17:32;2,88;3,35;8,83;7,69;25,65;14,57;15;11;40;43;0;43;144,05;43,5;0;
CETER;1478;84;124;130;116;308;8,55;31,06;8,23;58,42;43,51;0;42,28;00:17:32;2,94;3,95;8,81;7,83;20,84;8,38;17;22;53;46;0;46;80,99;39,24;0;
DALLA BERNARDINA ;1667;93;76;130;105;348;9,09;26,18;0;48,76;27,52;0;25,55;00:17:54;1,65;2,92;7,8;6,32;20,85;4,53;7;10;40;37;0;37;75,57;37,91;0;
GEMMI;1580;92;85;125;120;373;9,16;29,37;0;46,21;54,14;0;29,11;00:17:15;3,43;2,92;7,91;7,61;23,59;5,39;17;8;43;62;0;62;80,66;41,02;0;
IOTTI;1469;84;65;154;122;335;8,72;34,49;0;64,21;44,78;0;33,79;00:17:32;3,05;4,37;10,49;8,29;22,81;4,44;16;14;48;62;0;62;53,21;43,02;0;
MAFFEI;1313;75;89;120;113;279;7,53;29,95;10,15;43,06;41,22;0;31,43;00:17:32;3,14;3,28;9,16;8,61;21,28;6,8;15;10;43;42;0;42;64,77;38,42;0;
MURONI;1681;97;28;126;104;334;9,46;25,89;0;44,87;33,08;0;17,03;00:17:18;1,97;2,67;7,51;6,2;19,86;1,68;14;10;51;47;0;47;28,22;37,21;0;
OGUNSEYE;1238;71;98;99;85;233;6,83;25,09;11,72;34,99;25,66;0;27,09;00:17:32;2,07;2,83;8,03;6,88;18,86;7,91;8;11;32;38;0;38;70,9;34,23;0;
PENNINGTON;1777;103;92;115;110;403;9,89;24,55;6,25;46,66;42,68;0;31,73;00:17:18;2,4;2,63;6,48;6,17;22,68;5,19;9;12;41;39;0;39;75,64;38,68;0;
PERALTA;1675;95;37;109;93;347;9,16;23,88;0;44,62;27,42;0;17,52;00:17:32;1,64;2,66;6,49;5,56;20,74;2,2;9;12;37;42;0;42;36,8;37,87;0;
PINNA S.;1477;85;146;117;103;328;8,33;26,23;22,66;43,15;32,63;0;36,94;00:17:18;2,21;2,92;7,89;6,99;22,19;9,88;11;8;34;41;1;41;100,79;38,12;0;
PISANO;1362;79;10;85;68;194;7,32;20,19;0;30,35;19,56;0;8,55;00:17:18;1,44;2,23;6,2;4,97;14,26;0,72;8;7;26;30;0;30;9,87;26,86;0;
PITZALIS;1453;84;76;112;89;298;8,18;25,91;0;41,81;31,26;0;21,32;00:17:18;2,15;2,88;7,73;6,13;20,54;5,21;11;16;39;30;0;30;68,72;36,97;0;
RAGATZU;1453;84;169;129;128;354;8,47;30,39;0;50,75;50,53;0;51,37;00:17:18;3,48;3,49;8,88;8,78;24,36;11,63;17;10;38;59;0;59;114,57;41,94;0;
SENESI;1487;86;79;86;83;277;8,12;22,23;0;33,85;33,91;0;27,33;00:17:18;2,28;2,28;5,77;5,56;18,65;5,3;12;5;25;34;0;34;61,86;32,7;0;
VALLOCCHIA;1230;71;104;118;101;259;7,17;30,46;0;57,91;35,25;0;44,4;00:17:18;2,87;4,71;9,59;8,25;21,09;8,48;13;19;45;46;0;46;88,41;39,99;0;
