;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;203;79;0;5;4;9;6,76;10,5;0;0,89;0,46;0;0,07;00:02:34;0,21;0,43;2,46;1,79;4,07;0;0;0,11;1,44;0,61;0;0,61;0;7,92;0;
BELLODI ;217;84;0;6;7;10;7,3;12,15;0;0,98;1,35;0;0;00:02:35;0,62;0,45;2,8;3,25;4,63;0;0;0;1;2;0;2;0;8,71;0;
BIANCU;202;78;0;3;3;6;6,55;8,56;0;0,1;0;0;0;00:02:35;0;0,05;1,48;1,53;2,83;0;0;0;1;1;0;1;0;5,05;0;
CALIGARA;186;72;0;7;5;6;6,26;12,66;0;1,61;0,4;0;0,53;00:02:35;0,22;0,87;3,99;2,47;3,04;0;0;1;2;0;0;0;0;6,6;0;
CETER;193;75;0;7;5;9;6,5;12,51;0;2,2;0,53;0;0;00:02:35;0,28;1,14;3,6;2,66;4,69;0;0;0;2;0;0;0;0;9,68;0;
COTALI;231;89;0;3;3;7;7,52;8,89;0;0;0,32;0;0;00:02:35;0,14;0;1,18;1,26;3,24;0;0;0;0;0;0;0;0;6;0;
DALLA BERNARDINA ;223;86;0;3;5;9;7,36;10,42;0;0,27;0,32;0;0;00:02:35;0,14;0,12;1,23;2,14;4,05;0;0;0;0;1;0;1;0;7,68;0;
GEMMI;170;70;0;0;1;2;5,73;5,82;0;0;0;0;0;00:02:26;0;0;0,19;0,69;1;0;0;0;0;0;0;0;0;1,93;0;
IOTTI;217;84;0;9;5;16;7,41;14,23;0;2,05;0,69;0;0,41;00:02:35;0,32;0,94;4,37;2,41;7,37;0;0;0;3;1;0;1;0;14,51;0;
MAFFEI;116;45;0;0;0;0;3,58;3,33;0;0;0;0;0;00:02:35;0;0;0;0,11;0;0;0;0;0;0;0;0;0;0;0;
MURONI;203;78;0;5;1;7;6,62;9,14;0;1,38;0,09;0;0,31;00:02:35;0,04;0,68;2,7;0,51;3,54;0;0;0;3;0;0;0;0;7,55;0;
OGUNSEYE;190;73;0;3;1;3;6,15;8,26;0;0,15;0;0;0;00:02:35;0;0,08;1,7;0,6;1,74;0;0;0;0;0;0;0;0;3,7;0;
PENNINGTON;217;84;0;8;4;15;7,3;12,62;0;0,95;0,06;0;0;00:02:35;0,03;0,44;3,66;1,64;6,71;0;0;0;3;0;0;0;0;12,75;0;
PERALTA;214;83;0;4;4;10;7,06;10,49;0;0;0,34;0;0;00:02:35;0,16;0;1,73;1,81;4,67;0;0;0;1;0;0;0;0;8,43;0;
PINNA S.;207;80;0;9;5;15;7,05;13,79;0;1,05;1,6;0;0;00:02:35;0,77;0,5;4,43;2,6;7,2;0;0;0;3;3;0;3;0;13,29;0;
PISANO;212;82;0;11;8;14;7,3;14,95;0;3,64;1,06;0;0;00:02:35;0,5;1,71;5,08;3,6;6,77;0;0;1;6;2;0;2;0;13,98;0;
PITZALIS;239;92;0;5;6;13;8,01;11,96;0;0,47;0,76;0;0;00:02:35;0,32;0,2;1,93;2,66;5,44;0;0;0;0;1;0;1;0;10,04;0;
SENESI;221;85;0;4;2;9;7,22;9,17;0;0,38;0,46;0;0;00:02:35;0,21;0,17;1,84;1,02;4,02;0;0;0;1;0;0;0;0;7,68;0;
VALLOCCHIA;202;78;0;4;2;4;6,65;9,83;0;0,79;0,23;0;0;00:02:35;0,11;0,39;2,14;1,15;2,11;0;0;0;0;0;0;0;0;4,65;0;
