;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;3021;63;279;195;172;621;5,93;22,37;14,99;68,62;62,41;0;55,31;00:48:20;2,04;2,25;6,42;5,62;20,2;9,06;21,37;14,79;60,74;60,74;0,16;60,74;202,96;33,9;0;
BELLODI ;3246;67;87;154;144;483;6,14;17,84;0;56,11;46,5;0;16,44;00:48:11;1,43;1,73;4,73;4,44;14,89;2,67;17;11;58;49;0;49;86,61;25,74;0;
BIANCU;3143;65;410;202;203;751;6,23;23,82;29,67;68,7;80,34;0;61,66;00:48:18;2,56;2,19;6,43;6,45;23,9;13,05;26;14;56;74;0;74;284,39;38,42;0;
CALIGARA;3521;73;365;274;237;840;7,11;25,79;8,26;93,91;80,23;0;73,29;00:48:11;2,28;2,67;7,79;6,74;23,87;10,36;23;14;62;82;0;82;264,22;39,7;0;
CETER;3171;66;486;261;228;836;6,55;28,55;63,29;105,47;93,95;0;127,19;00:48:11;2,96;3,33;8,25;7,19;26,37;15,31;28;30;82;70;1;70;306,53;43,29;0;
COTALI;2624;54;227;158;134;485;5,06;20,46;9,62;56,05;40,21;0;38,55;00:48:18;1,53;2,14;6;5,11;18,49;8,64;14;11;47;46;0;46;149,87;31,52;0;
CUSUMANO;2574;53;75;134;115;383;4,86;17,51;0;35,34;29,22;0;9,12;00:48:11;1,13;1,37;5,21;4,45;14,87;2,93;9;3;39;40;0;40;73,63;25,36;0;
DALLA BERNARDINA ;3069;64;81;182;158;471;5,92;20,39;0;62,17;50,03;0;18,95;00:48:18;1,63;2,03;5,93;5,16;15,35;2,63;15;8;54;53;0;53;66,08;27,09;0;
GEMMI;3218;67;417;184;182;796;6,29;22,1;0;66,66;70,42;0;38,94;00:48:18;2,19;2,07;5,72;5,67;24,73;12,96;31;12;59;78;0;78;389,08;38,19;0;
IOTTI;2630;54;85;139;117;354;4,98;18,11;0;41,63;36,45;0;14,2;00:48:18;1,39;1,58;5,28;4,43;13,46;3,23;8;6;42;42;0;42;69,79;23,89;0;
MAFFEI;3083;64;466;265;234;771;6,41;29,4;34,65;110,39;90,14;0;120,17;00:48:11;2,92;3,58;8,61;7,61;25,01;15,12;31;30;81;82;0;82;328,37;43,24;0;
MURONI;3432;71;263;233;181;738;6,78;22,93;0;77,01;66,71;0;44,12;00:48:11;1,94;2,24;6,79;5,26;21,51;7,66;22;9;66;60;0;60;217,68;36,56;0;
OGUNSEYE;3249;67;336;233;210;753;6,5;24,48;0,67;89,62;75,58;0;69,99;00:48:11;2,33;2,76;7,18;6,48;23,18;10,33;25;24;77;78;0;78;248,81;39,09;0;
PENNINGTON;3464;72;377;188;184;782;6,76;21,44;19,14;60,77;78,42;0;73,41;00:48:11;2,26;1,75;5,42;5,32;22,58;10,89;26;9;64;61;0;61;251,62;35,98;0;
PERALTA;3437;68;382;202;179;837;6,42;21,43;0;62,71;65,86;0;31,31;00:50:19;1,92;1,82;5,88;5,21;24,36;11,11;22;21;65;57;0;57;343,55;38,91;0;
PINNA S.;2444;51;187;123;98;399;4,62;17,62;9,43;37,6;35,01;0;32,6;00:48:11;1,43;1,54;5,02;4,03;16,34;7,63;11;6;37;37;0;37;111,78;27,41;0;
PISANO;2425;50;144;139;118;333;4,68;20,19;18,08;43,44;43,31;0;48,93;00:48:11;1,79;1,79;5,74;4,86;13,75;5,94;14;8;42;42;0;42;65,37;25,35;0;
PITZALIS;2511;52;193;161;125;377;4,84;19,92;32,84;52,49;42,28;0;51,86;00:48:11;1,68;2,09;6,41;5;15,01;7,67;13;10;47;33;1;33;107,94;26,7;0;
RAGATZU;3313;69;258;237;196;660;6,57;23,44;36,71;87,87;72,11;0;60,06;00:48:11;2,18;2,65;7,16;5,91;19,91;7,79;27;27;83;72;1;72;189,34;34,34;0;
VALLOCCHIA;2851;59;461;242;215;743;5,93;29,58;22,45;95,92;89,06;0;120,12;00:48:11;3,12;3,36;8,49;7,56;26,08;16,19;44;28;93;98;0;98;301,55;43,21;0;
