;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;2235;61;155;195;171;455;6,1;27,99;4,49;76,93;61,74;0;49,49;00:36:27;2,69;3,45;8,65;7,49;19,79;6,85;20,91;21,55;75,55;75,82;0,09;75,82;114,25;36,47;0;
BIANCU;2511;71;140;224;209;511;7,13;29,75;0;86,45;72,57;0;49,15;00:35:20;2,89;3,44;8,94;8,33;20,34;5,57;25;21;75;89;0;89;95,46;37,01;0;
CALIGARA;2413;68;172;229;201;511;6,92;30,68;0;91,01;79,56;0;52,51;00:35:17;3,3;3,77;9,47;8,32;21,16;7,11;27;26;78;91;0;91;137,33;38,86;0;
CETER;1404;40;123;125;95;257;3,89;26,68;14,47;55,62;34,83;0;42,89;00:35:20;2,48;3,96;8,91;6,8;18,29;8,79;10;18;51;33;1;33;65,45;34,56;0;
GEMMI;2517;71;147;240;203;553;7,19;30,3;1,34;95,14;80,18;0;56,99;00:35:18;3,19;3,78;9,54;8,07;21,99;5,84;34;24;98;102;0;102;120,71;39,73;0;
MAFFEI;1815;44;95;152;130;298;4,28;26,03;0;66,08;40,62;0;28,07;00:41:20;2,24;3,64;8,4;7,16;16,39;5,26;14;21;60;64;0;64;84,85;32,27;0;
MURONI;2670;76;177;228;206;566;7,59;28,97;5,5;92,98;67,81;0;66,07;00:35:07;2,54;3,48;8,55;7,71;21,21;6,62;24;24;84;100;0;100;135,39;38,67;0;
OGUNSEYE;1840;46;185;137;116;357;4,45;23,99;11,1;58,14;40,1;0;30,6;00:39:43;2,18;3,16;7,45;6,32;19,39;10,04;15;17;60;53;0;53;138,52;35,05;0;
PENNINGTON;2772;79;172;217;197;599;7,74;27,08;6,13;70,7;62,22;0;40,62;00:35:13;2,24;2,55;7,84;7,11;21,6;6,19;15;14;71;74;0;74;138,3;38,58;0;
RAGATZU;1559;41;32;122;94;202;3,93;23,49;0;47,16;34,1;0;18,43;00:37:56;2,19;3,03;7,82;6,03;12,98;2,03;15;19;61;44;0;44;25,95;26,89;0;
SENESI;2533;72;161;193;166;468;6,97;24,88;0,68;70,23;66,68;0;52,36;00:35:07;2,63;2,77;7,63;6,56;18,48;6,35;20;13;74;64;0;64;116,17;33,61;0;
VALLOCCHIA;2556;72;302;276;262;689;7,7;37,26;10,19;112,76;100,43;0;106,74;00:35:17;3,93;4,41;10,8;10,27;26,96;11,82;31;40;119;120;0;120;198,58;47,52;0;
