;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;3148;52;407;190;152;680;4,82;20,22;21,64;69,14;48,01;0;63,04;01:00:51;1,52;2,21;6,1;4,83;21,07;12,48;14,9;16,6;65,7;57,9;0,4;57,9;261,76;35,06;0;
BIANCU;3946;62;573;241;222;936;5,95;22,95;56,85;93,77;79,52;0;108,2;01:03:09;2,02;2,38;6,11;5,62;23,73;14,53;30;30;72;83;2;83;301,86;38,64;0;
CETER;2789;47;385;201;140;584;4,38;21,42;16,51;78,98;40,84;0;69,59;00:59:53;1,46;2,83;7,21;5,03;20,95;13,82;9;17;70;49;0;49;282,58;36,37;0;
GEMMI;2454;39;167;133;96;350;3,53;17,46;0;52,77;33,11;0;23,1;01:03:09;1,35;2,15;5,4;3,93;14,25;6,8;12;6;57;39;0;39;132,24;25,3;0;
MAFFEI;2724;45;299;224;175;607;4,41;25,16;21,25;82,61;59,72;0;74,99;00:59:53;2,19;3,03;8,23;6,41;22,29;10,98;20;25;83;63;0;63;184,59;39,35;0;
MURONI;2637;44;256;162;121;449;4,07;18,5;6,09;56,25;37,36;0;36,12;00:59:28;1,42;2,13;6,13;4,58;17,01;9,7;14;17;66;40;0;40;138,88;29,49;0;
PENNINGTON;3874;62;476;179;152;836;5,71;18,2;11,49;76,5;51,33;0;67,14;01:02:04;1,33;1,97;4,61;3,93;21,58;12,28;14;26;58;47;0;47;337,83;34,85;0;
PERALTA;3596;61;385;177;148;839;5,55;18,22;17,05;55,26;40,76;0;44,03;00:59:14;1,13;1,54;4,93;4,1;23,32;10,72;8;7;48;57;0;57;258,97;36,77;0;
RAGATZU;2566;43;182;152;115;387;3,95;18,26;0;48,72;32,96;0;35,71;00:59:26;1,28;1,9;5,93;4,5;15,1;7,11;10;11;50;46;0;46;166,96;27,43;0;
SENESI;3303;53;549;181;145;819;4,9;19,15;19,14;52,08;43,38;0;38,49;01:02:09;1,31;1,58;5,48;4,38;24,78;16,63;15;3;59;60;0;60;370,74;38,62;0;
VALLOCCHIA;3591;60;798;255;209;993;5,69;22,97;68,03;94,45;61,08;0;133;01:00:04;1,7;2,63;7,11;5,83;27,67;22,21;17;24;94;95;2;95;443;43,92;0;
