;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;4312;53;391;274;232;831;4,96;21,35;25,99;106,24;76,41;0;93,45;01:21:43;1,77;2,46;6,34;5,36;19,05;8,91;24;30,69;94,81;87,62;0,69;87,62;270,6;33,35;0;
BELLODI ;4512;56;270;251;219;761;5,16;19,38;0;94,8;68,42;0;58,21;01:20:49;1,52;2,1;5,56;4,85;16,86;5,99;23;28;90;80;0;80;214,86;30,21;0;
BIANCU;4838;60;594;331;276;1109;5,69;22,73;62,16;124,65;87,76;0;137,4;01:20:49;1,81;2,58;6,84;5,7;22,92;12,28;24;33;104;105;2;105;381,99;38,45;0;
CETER;4473;55;459;307;249;910;5,25;22,47;58,01;126,2;77,61;0;129,53;01:20:49;1,74;2,82;6,86;5,57;20,34;10,26;22;38;112;88;2;88;306,19;35,87;0;
COTALI;3246;40;190;193;156;501;3,71;19,37;0,67;79,33;43,97;0;45;01:20:49;1,35;2,44;5,95;4,81;15,45;5,86;13;26;80;57;0;57;172,06;28,27;0;
CUSUMANO;3742;46;320;228;178;595;4,28;19,46;60,33;84,13;57,1;0;89,06;01:20:49;1,53;2,25;6,09;4,76;15,91;8,56;13;17;68;58;1;58;186,79;28,54;0;
DALLA BERNARDINA ;4665;58;301;261;217;764;5,29;18,36;6,13;89,14;58,16;0;79,61;01:20:49;1,25;1,91;5,6;4,64;16,38;6,45;14;19;79;76;0;76;234,23;29,28;0;
GEMMI;4651;49;293;248;223;918;4,52;19,7;0;84,97;80,94;0;53,45;01:35:14;1,74;1,83;5,32;4,79;19,75;6,3;31;25;102;105;0;105;240,12;32,76;0;
IOTTI;4077;50;200;247;214;690;4,71;20,57;0;91,84;68,07;0;50,59;01:20:49;1,67;2,25;6,05;5,25;16,93;4,91;20;22;90;72;0;72;154,22;30,51;0;
MAFFEI;3967;49;475;278;243;777;4,69;23,44;58,84;114,13;77,97;0;121,75;01:20:49;1,97;2,88;7,02;6,14;19,59;11,98;24;30;90;98;2;98;300,64;34,63;0;
MURONI;5338;66;641;371;295;1266;6,3;23,25;0;154,71;100,89;0;121,79;01:20:49;1,89;2,9;6,95;5,53;23,71;12,01;34;50;149;119;0;119;528,14;40,35;0;
OGUNSEYE;4571;57;433;290;246;856;5,34;21,98;43,94;130,86;83,33;0;111,44;01:20:49;1,82;2,86;6,34;5,38;18,72;9,48;26;45;98;99;1;99;251,2;33,76;0;
PENNINGTON;4451;55;339;226;202;844;5,07;18,92;1,34;76,14;60,99;0;62,29;01:20:49;1,37;1,71;5,07;4,54;18,96;7,62;19;24;78;69;0;69;274,66;32,47;0;
PINNA S.;4283;53;487;320;275;908;5,1;24,24;64,69;120,16;108,12;0;132,74;01:20:49;2,52;2,81;7,48;6,41;21,2;11,38;36;34;106;116;2;116;257,4;36,44;0;
PISANO;3852;48;362;288;258;749;4,63;25,54;16,15;131,6;94,16;0;121,2;01:20:49;2,44;3,42;7,47;6,69;19,45;9,41;40;46;111;95;0;95;234,82;35,38;0;
PITZALIS;3503;43;250;209;169;556;4,03;20,02;15,76;76,32;61,8;0;57,97;01:20:49;1,76;2,18;5,96;4,83;15,88;7,15;23;24;70;61;0;61;162,39;29,02;0;
RAGATZU;4832;60;647;340;286;1092;5,67;22,55;27,75;120,83;93,19;0;123,23;01:20:49;1,93;2,5;7,04;5,91;22,59;13,39;22;30;90;104;1;104;429,83;37,75;0;
