;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;978;38;69;82;67;166;3,72;25,37;0;38,3;24,82;0;26,45;00:25:37;2,48;3,83;8,28;6,74;16,37;6,58;8,83;13,78;34,44;28,22;0;28,22;54,7;32,16;0;
BELLODI ;1011;39;41;87;78;160;3,81;25,85;0;35,56;28,72;0;23,04;00:25:50;2,84;3,52;8,64;7,75;15,83;4,02;9;15;40;40;0;40;40,7;31,84;0;
BIANCU;894;37;47;77;62;147;3,59;25,89;0;36,27;22,5;0;25,02;00:24:16;2,52;4,06;8,64;6,91;16,44;5,21;8;13;26;24;0;24;45,49;32,51;0;
CETER;890;34;8;62;44;106;3,18;19,31;0;27,5;9,36;0;8,17;00:25:50;1,05;3,09;7,01;4,96;11,92;0,88;1;9;33;16;0;16;7,85;25,65;0;
COTALI;1001;42;55;73;62;154;4;24,08;0;36,08;18,58;0;18,82;00:24:03;1,86;3,6;7,33;6,24;15,36;5,51;8;16;32;23;0;23;55,16;30,62;0;
CUSUMANO;1033;40;67;87;70;142;3,87;24,96;0;38,44;22,88;0;31,17;00:25:50;2,22;3,72;8,4;6,8;13,76;6,53;5;8;35;23;0;23;57,68;28,7;0;
DALLA BERNARDINA ;1116;43;92;84;67;174;4;20,89;0;34,23;17,34;0;27,42;00:26:05;1,55;3,07;7,52;6,03;15,6;8,23;4;7;31;22;0;22;71,58;29,78;0;
GEMMI;474;18;8;30;21;34;1,63;18,1;0;11,86;8,72;0;5,11;00:26:38;1,84;2,5;6,26;4,44;7,2;1,76;1;4;11;11;0;11;6,61;17,8;0;
IOTTI;853;35;64;68;63;144;3,45;26,74;0;33,47;23,21;0;21,69;00:24:15;2,72;3,92;8;7,37;16,91;7,51;8;10;33;26;0;26;44,69;32,86;0;
MAFFEI;749;29;30;54;42;79;2,74;22,25;0;22,33;15,5;0;17,21;00:25:50;2,07;2,98;7,21;5,64;10,52;3,95;4;6;19;15;0;15;17,64;23,49;0;
MURONI;1286;50;139;121;98;268;5,03;30,59;0;64,14;40,82;0;51,75;00:25:50;3,17;4,99;9,38;7,65;20,86;10,78;12;22;50;39;0;39;102,88;40,09;0;
OGUNSEYE;910;35;63;94;80;163;3,63;33,17;0;50,61;37,72;0;36,53;00:25:50;4,15;5,56;10,3;8,83;17,95;6,93;16;26;44;42;0;42;49,44;37,35;0;
PENNINGTON;773;30;23;42;30;90;2,71;16,77;0;18,34;7,48;0;7,11;00:25:50;0,97;2,37;5,37;3,84;11,66;2,94;3;9;17;14;0;14;22,75;22,98;0;
PERALTA;1167;45;70;86;67;191;4,26;21,86;0;41,73;20,74;0;20,62;00:25:50;1,78;3,58;7,37;5,77;16,36;6;9;10;39;30;0;30;66,61;30,72;0;
PINNA S.;1153;45;156;122;110;284;4,63;33,9;0;59,97;50,22;0;56,89;00:25:50;4,35;5,2;10,55;9,52;24,64;13,51;18;24;50;50;0;50;99,88;44,09;0;
PISANO;954;37;61;99;84;183;3,82;33,84;0;54,45;34,45;0;36,26;00:25:50;3,61;5,71;10,38;8,75;19,21;6,41;19;27;40;35;0;35;52,48;38,94;0;
PITZALIS;1112;43;57;94;77;189;4,23;27,15;0;42,02;30,68;0;23,67;00:25:50;2,76;3,78;8,49;6,96;16,98;5,15;13;15;41;30;0;30;45;33,32;0;
RAGATZU;1114;43;135;100;77;242;4,18;25,24;0;40,72;27,3;0;31,73;00:25:50;2,45;3,66;9,01;6,95;21,72;12,12;8;9;31;28;0;28;101,12;38,16;0;
VALLOCCHIA;1111;43;123;103;78;244;4,21;26,4;0;41,75;30,53;0;33,92;00:25:50;2,75;3,76;9,24;7,04;21,95;11,09;13;18;48;40;0;40;97,04;40,33;0;
