;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;2016;86;190;131;114;439;8,13;22,49;12,66;47,5;36,99;0;40,8;00:23:30;1,83;2,36;6,48;5,62;21,53;9,37;12,5;12,12;46,69;46,5;0,31;46,5;130,38;36,93;0;
BELLODI ;2092;89;153;120;113;415;8,34;21,15;0;43,45;33,17;0;25,46;00:23:30;1,59;2,08;5,72;5,41;19,83;7,34;11;5;37;45;0;45;124,2;34,11;0;
CALIGARA;2213;94;167;151;113;469;8,87;21,74;2,02;54,73;32,17;0;27,08;00:23:30;1,45;2,47;6,84;5,09;21,19;7,55;14;12;57;44;0;44;146,13;37,2;0;
CETER;1953;83;279;139;114;432;7,97;24,09;11,28;58,47;42,87;0;61,37;00:23:30;2,2;2,99;7,1;5,82;22,14;14,31;8;17;47;38;0;38;158,56;37,68;0;
COTALI;1998;85;175;129;112;435;8,03;22,17;19,93;43,8;31,48;0;35,07;00:23:30;1,58;2,19;6,48;5,59;21,79;8,75;13;16;47;49;1;49;115,06;37,02;0;
DALLA BERNARDINA ;1937;82;104;129;99;368;7,72;21;3,39;48,1;29,02;0;26,78;00:23:30;1,5;2,48;6,66;5,11;18,98;5,36;11;11;49;52;0;52;87,69;34,06;0;
GEMMI;2343;100;175;135;136;548;9,43;22,29;6,75;43,83;50,54;0;26,39;00:23:30;2,16;1,87;5,76;5,8;23,38;7,45;24;11;50;68;0;68;139,09;38,54;0;
IOTTI;2149;91;220;147;141;504;8,77;23,92;4,11;55,29;43,65;0;44,62;00:23:30;2,03;2,57;6,83;6,55;23,44;10,23;12;14;54;53;0;53;144,65;39,71;0;
OGUNSEYE;1569;67;73;80;76;228;6,16;19,35;9,05;25,13;26,71;0;25,68;00:23:30;1,7;1,6;5,1;4,84;14,52;4,66;9;5;29;29;0;29;28,78;25,93;0;
PENNINGTON;2394;102;256;134;138;607;9,67;22,77;12,56;48,64;45,46;0;43,97;00:23:30;1,9;2,03;5,6;5,76;25,36;10,68;10;12;58;53;0;53;184,78;41,4;0;
PERALTA;2268;96;209;153;130;577;9,16;22,72;0;49,9;37,54;0;40,29;00:23:30;1,66;2,2;6,76;5,75;25,46;9,22;11;14;47;47;0;47;175,32;42,49;0;
PINNA S.;1916;81;230;139;117;425;7,78;23,35;11,98;54,29;38,14;0;50;00:23:30;1,99;2,83;7,24;6,09;22,18;11,98;14;13;52;53;0;53;155,77;38,32;0;
PISANO;1846;78;208;113;95;360;7,38;21,49;11,58;43,56;30,23;0;49,87;00:23:30;1,64;2,36;6,14;5,12;19,49;11,28;13;12;34;37;0;37;123,65;34,44;0;
PITZALIS;2120;90;303;137;124;515;8,67;24,24;46,46;48,52;45,31;0;61,33;00:23:30;2,14;2,29;6,44;5,86;24,31;14,3;14;12;48;40;2;40;187,77;40,22;0;
RAGATZU;1790;76;76;84;62;277;6,85;16,31;0;30,99;15,88;0;13,05;00:23:30;0,89;1,73;4,68;3,45;15,46;4,23;3;9;32;26;0;26;71,68;27,81;0;
SENESI;1984;84;174;150;124;425;8,2;25,49;11,86;59,48;41,73;0;58,12;00:23:30;2,1;3;7,56;6,25;21,4;8,76;15;16;49;55;0;55;120,8;38,52;0;
VALLOCCHIA;1691;72;234;149;124;433;7,11;27,78;51,61;51,9;47,88;0;63,73;00:23:30;2,83;3,07;8,83;7,35;25,59;13,87;18;15;57;55;2;55;122,22;43,48;0;
