;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;2077;69;341;112;59;547;6,18;15,88;3,63;42,48;12,62;0;30,14;00:30:08;0,6;2,04;5,4;2,84;26,2;16,26;2,35;12,29;48,29;16,18;0;16,18;261,4;40,96;0;
BELLODI ;2271;75;459;121;66;739;6,79;16,37;0;45,68;14,46;0;27,1;00:30:08;0,64;2,01;5,32;2,89;32,55;20,23;2;18;51;16;0;16;426,17;48,51;0;
BIANCU;2082;69;379;119;55;584;6,17;15,38;0;43,38;7,46;0;20,37;00:30:08;0,36;2,08;5,71;2,66;28,04;18,21;2;10;58;12;0;12;316,51;42,45;0;
CALIGARA;1982;66;255;116;62;506;5,93;16,51;0;42,77;10,66;0;30,53;00:30:08;0,54;2,16;5,83;3,1;25,54;12,85;1;10;52;15;0;15;205,81;41,16;0;
COTALI;2101;70;240;92;45;438;6,15;13,9;0;36,65;8,64;0;23,48;00:30:08;0,41;1,74;4,39;2,13;20,85;11,42;2;7;37;13;0;13;175,71;33,84;0;
CUSUMANO;2142;71;308;129;82;583;6,49;18,05;2,72;47,68;14,4;0;38,47;00:30:08;0,67;2,23;6,03;3,82;27,23;14,38;4;15;53;20;0;20;260,75;43,82;0;
GEMMI;2059;68;186;103;46;469;6,05;14,33;0;40,37;13,96;0;12,55;00:30:08;0,68;1,96;5;2,24;22,78;9,05;4;11;45;16;0;16;177,88;36,9;0;
IOTTI;1991;66;183;78;40;404;5,76;12,6;0;29,27;8,71;0;10,02;00:30:08;0,44;1,47;3,91;2,01;20,29;9,2;1;7;36;7;0;7;181,47;32,08;0;
MAFFEI;2068;69;466;137;77;659;6,33;19,23;1,34;49,1;19,68;0;45,32;00:30:08;0,95;2,37;6,63;3,71;31,89;22,55;4;10;51;19;0;19;344,19;48,67;0;
MURONI;2060;68;464;132;68;617;6,22;17,48;0;52,1;21,2;0;34,47;00:30:08;1,03;2,53;6,4;3,31;29,95;22,53;6;20;62;27;0;27;366,39;45,71;0;
OGUNSEYE;2154;71;422;128;68;592;6,48;17,16;13,57;49,83;15,6;0;43,24;00:30:08;0,72;2,31;5,96;3,18;27,48;19,6;2;9;50;14;0;14;271,38;42,28;0;
PENNINGTON;1993;66;270;102;53;505;5,87;14,72;0;34,34;9,24;0;12,85;00:30:08;0,46;1,72;5,12;2,67;25,31;13,57;0;10;45;14;0;14;253,66;40,22;0;
PERALTA;2214;73;557;100;62;662;6,53;14,81;24,31;34,01;12;0;44;00:30:08;0,54;1,54;4,51;2,81;29,92;25,14;4;10;38;10;0;10;279,22;43,15;0;
PINNA S.;2119;70;486;127;61;596;6,41;17,81;11,1;57,83;15,29;0;54,76;00:30:08;0,72;2,73;6,01;2,88;28,11;22,91;3;25;62;32;0;32;254,07;43,75;0;
PITZALIS;2056;68;191;100;54;445;6,04;14,38;5,39;29,44;9,13;0;21,27;00:30:08;0,44;1,43;4,85;2,65;21,65;9,27;3;4;32;17;0;17;147,96;34,86;0;
RAGATZU;1991;66;333;108;59;525;5,96;16,48;3,35;43,23;12,41;0;38,68;00:30:08;0,62;2,17;5,44;2,94;26,36;16,71;1;10;42;15;0;15;267,97;41,53;0;
SENESI;2167;72;483;120;68;596;6,5;16,89;0;49,91;15,35;0;39,9;00:30:08;0,71;2,3;5,55;3,14;27,49;22,3;0;12;53;12;0;12;403,81;42,93;0;
VALLOCCHIA;1855;62;122;97;41;371;5,43;13,9;0;36,52;6,33;0;15,44;00:30:08;0,34;1,97;5,21;2,21;20,01;6,59;1;21;54;16;0;16;110,9;34,43;0;
