;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;2258;71;289;136;118;514;6,63;20,8;28,15;49,45;39,25;0;54,42;00:31:55;1,69;2,15;5,95;5,12;22,33;12,48;12,11;12,95;47,37;45;0,47;45;181,44;36,78;0;
BELLODI ;2030;65;169;84;79;357;5,8;15,55;1,34;26,53;21,73;0;20,47;00:31:18;1,07;1,31;4,16;3,87;17,6;8,33;4;5;24;26;0;26;134,27;29,02;0;
BIANCU;2309;59;275;123;98;455;5,41;18,23;48,33;41,08;24,58;0;49,89;00:39:05;1,06;1,78;5,34;4,22;19,7;11,92;5;14;37;41;1;41;117,11;32,93;0;
CALIGARA;2157;69;296;159;152;567;6,74;26,39;0;50,08;56,62;0;61,61;00:31:18;2,63;2,32;7,36;7,03;26,29;13,71;23;16;58;56;0;56;221,31;43,71;0;
CETER;2369;76;462;162;139;617;7,15;22,13;42,96;57,01;36,73;0;76,39;00:31:18;1,55;2,41;6,86;5,86;26,07;19,48;9;14;58;44;1;44;272,16;41,29;0;
COTALI;2262;72;315;136;118;542;6,78;21,31;95,62;53,94;39,07;0;61,54;00:31:18;1,73;2,38;6,03;5,22;23,96;13,94;11;16;63;48;2;48;155,83;38,85;0;
CUSUMANO;1736;55;103;114;86;262;5,17;20,58;0,67;40,25;25,26;0;26;00:31:18;1,46;2,32;6,58;4,97;15,1;5,93;4;7;38;31;0;31;72,74;28,42;0;
DALLA BERNARDINA ;2156;69;209;134;113;473;6,46;21,29;21,92;48,73;35,18;0;50,84;00:31:18;1,63;2,26;6,22;5,23;21,94;9,72;7;7;40;39;0;39;117,24;36,77;0;
GEMMI;1832;52;44;27;18;203;4,33;7,47;0;6,67;2,37;0;1,58;00:35:10;0,13;0,36;1,49;0,98;11,08;2,4;1;0;9;6;0;6;43,91;17,68;0;
IOTTI;2494;80;248;157;118;542;7,43;20,55;8,96;58,7;33,2;0;49,5;00:31:18;1,33;2,35;6,28;4,75;21,74;9,94;11;11;51;48;0;48;179,47;37,08;0;
MAFFEI;2274;73;445;187;175;648;7,17;27,5;122,12;68,13;64,23;0;119,89;00:31:18;2,82;3;8,24;7,69;28,48;19,58;13;14;49;70;3;70;237,03;45,27;0;
MURONI;2642;84;199;167;154;616;8,08;23,71;0;65,15;53;0;42,66;00:31:18;2,01;2,47;6,33;5,82;23,29;7,53;19;18;68;59;0;59;180,02;39,81;0;
OGUNSEYE;2329;74;400;154;137;588;7,11;23,48;22,56;57,35;47,07;0;71,89;00:31:18;2,02;2,46;6,62;5,89;25,24;17,16;16;13;49;51;0;51;263,81;41,53;0;
PENNINGTON;2628;84;318;124;109;572;7,63;17,52;0;39,5;30,31;0;30,67;00:31:18;1,15;1,5;4,72;4,16;21,77;12,08;9;11;44;33;0;33;255,98;35,48;0;
PERALTA;2279;73;168;106;93;453;6,64;17,9;0;33,06;29,88;0;25,41;00:31:18;1,31;1,45;4,65;4,09;19,89;7,35;10;7;40;38;0;38;150,81;33,9;0;
PINNA S.;2274;73;319;138;127;507;6,87;22,25;57,03;55,54;51,7;0;65,73;00:31:18;2,27;2,44;6,08;5,59;22,29;14,03;19;20;52;54;1;54;145,13;36,25;0;
PISANO;2223;71;309;148;129;537;6,77;23,2;52,09;58,23;48,66;0;71,53;00:31:18;2,19;2,62;6,66;5,78;24,15;13,91;17;12;50;46;1;46;170,29;39,18;0;
PITZALIS;2183;70;288;149;123;455;6,62;22,72;22,22;52,21;44;0;72,51;00:31:18;2,02;2,39;6,84;5,65;20,84;13,21;10;16;50;48;0;48;176,86;36,02;0;
RAGATZU;2079;66;308;116;86;509;6,08;18,24;11,99;45,39;28,86;0;38,53;00:31:18;1,39;2,18;5,6;4,11;24,48;14,82;15;15;48;36;0;36;188,92;38,89;0;
VALLOCCHIA;2654;85;620;203;189;861;8,36;27,49;26,97;81,89;73,25;0;97,41;00:31:18;2,76;3,09;7,64;7,13;32,42;23,37;27;30;72;81;0;81;364,53;49,99;0;
