;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;2210;47;123;166;140;395;4,51;24,04;6,41;63,54;46,26;0;37,19;00:47:05;2,08;2,87;7,51;6,29;17,67;5,47;15,77;21,85;75,46;68,23;0,15;68,23;88,55;32,77;0;
BELLONI ;2432;51;53;182;163;429;4,92;24,6;0;66,62;56,33;0;27,65;00:47:38;2,32;2,74;7,5;6,69;17,62;2,19;20;24;87;85;0;85;51,54;33,62;0;
DEMARCUS ;2180;47;215;202;177;569;4,74;29,69;6,85;73,72;55,88;0;53,32;00:46:08;2,56;3,38;9,28;8,11;26,09;9,85;20;30;89;91;0;91;162,07;44,81;0;
DEMURTAS ;2332;49;228;171;140;459;4,67;23,34;8,34;72,2;46,81;0;45,42;00:47:38;2,01;3,1;7,33;5,99;19,7;9,79;21;27;71;79;0;79;158,84;35,11;0;
DORATIOTTO ;2575;56;97;166;140;431;5,22;20,72;4,07;60,08;33,32;0;25,31;00:46:08;1,29;2,33;6,43;5,42;16,75;3,77;7;19;74;60;0;60;63,77;31,2;0;
LELLA ;2396;51;119;183;167;369;4,91;25,63;17,85;73,06;60,56;0;52,77;00:47:24;2,53;3,05;7,62;6,96;15,39;4,96;22;19;80;75;1;75;48,85;29,65;0;
MARTINIELLO;1867;39;91;154;118;306;3,82;25,72;0;59,6;42,37;0;36,37;00:47:35;2,27;3,19;8,26;6,31;16,39;4,9;10;17;63;55;0;55;79,15;31,93;0;
MURONI;2325;49;3;156;132;278;4,63;21,52;0;58,47;40,54;0;11,68;00:47:16;1,74;2,51;6,71;5,67;11,97;0,14;13;18;71;68;0;68;3,32;24,53;0;
OGUNSEYE;2422;51;168;200;184;520;5,02;27,61;0;83,06;63,63;0;57,21;00:47:38;2,63;3,43;8,25;7,58;21,48;6,95;19;29;81;91;0;91;144,8;39,23;0;
PENNINGTON;2437;51;127;127;98;309;4,67;17,34;16,4;40,91;32,57;0;30,91;00:47:24;1,34;1,68;5,22;4,03;12,68;5,22;10;10;54;37;0;37;68,59;23,4;0;
ROTARU;2028;44;58;184;160;397;4,42;29,87;0;72,09;62,78;0;29,07;00:46:08;3,1;3,56;9,06;7,89;19,6;2,87;29;24;100;90;0;90;57,64;37,37;0;
SCANU ;1321;29;33;72;49;137;2,59;16,81;0;25,47;17,08;0;10,75;00:46:08;1,29;1,93;5,45;3,69;10,34;2,49;6;6;35;22;0;22;22,19;20,99;0;
VALLOCCHIA;2065;43;131;161;128;369;4,13;23,02;27,18;62,83;36,25;0;39,22;00:47:38;1,76;3,04;7,78;6,2;17,88;6,33;11;30;84;64;1;64;74,06;32,28;0;
VERDE;2350;50;271;206;170;559;4,86;26,65;2,69;77,89;53,23;0;63,82;00:47:24;2,27;3,32;8,75;7,23;23,78;11,55;17;31;92;70;0;70;216,32;41,92;0;
