;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1775;144;1228;55;32;1017;12,53;12,16;0,04;26,18;12,1;0;26,61;00:12:17;0,67;1,47;3,09;1,77;57,18;68,9;7,47;11,47;24,07;17,13;0;17,13;1109,45;69,45;0;
BELLONI ;1748;143;1099;51;25;896;12,29;11,32;0;23,31;5,9;0;17,28;00:12:15;0,34;1,33;2,9;1,4;51,26;62,89;4;12;25;17;0;17;1094,06;64,35;0;
DEMARCUS ;1793;146;1488;64;48;1189;12,93;14,22;0;31,05;18,43;0;39,83;00:12:15;1,03;1,73;3,6;2,68;66,34;83,02;7;10;26;17;0;17;1118,57;78,15;0;
DORATIOTTO ;1822;149;1250;68;36;1038;13,14;14,21;0;28,51;13,94;0;40,47;00:12:15;0,77;1,56;3,76;1,96;56,98;68,58;9;8;27;16;0;16;1110,3;70,08;0;
IOTTI;1845;151;1491;67;45;1129;13,48;15,71;0;31,12;20,07;0;55,65;00:12:15;1,09;1,69;3,65;2,42;61,16;80,79;13;12;27;19;0;19;1104,24;74,45;0;
LA ROSA ;1654;135;1000;51;24;879;11,73;12,31;0;26,08;10,53;0;23,12;00:12:15;0,64;1,58;3,08;1,46;53,1;60,46;7;13;22;15;0;15;976,43;66,94;0;
LELLA ;1853;151;1297;53;28;1066;13,03;11,33;0;24,74;11,93;0;18,98;00:12:15;0,64;1,33;2,87;1,49;57,53;69,97;10;15;21;18;0;18;1222,76;68,62;0;
MARTINIELLO;1750;143;1164;52;27;973;12,36;11,84;0;23,31;9,93;0;21,05;00:12:15;0,57;1,33;2,96;1,52;55,59;66,54;8;10;26;18;0;18;1128,16;68,68;0;
MASTINO;1868;152;1530;71;51;1218;13,64;15,61;0;32,66;25,45;0;48,95;00:12:15;1,36;1,75;3,79;2,75;65,19;81,89;15;14;28;21;0;21;1154,65;77,01;0;
MURONI;1923;153;1382;57;32;1099;13,24;11,8;0,67;26,68;13,83;0;25,37;00:12:34;0,72;1,39;2,95;1,66;57,15;71,86;7;8;26;17;0;17;1168,09;68,65;0;
OGUNSEYE;1636;133;1006;45;22;897;11,44;10,76;0;25,51;5,71;0;16;00:12:15;0,35;1,56;2,74;1,34;54,85;61,51;3;16;23;17;0;17;1005,03;67,41;0;
PARIGI;1651;135;990;45;20;898;11,37;9,12;0;23,02;6,69;0;10,19;00:12:15;0,41;1,39;2,74;1,22;54,43;59,98;5;11;23;15;0;15;990,01;65,59;0;
PENNINGTON;1863;152;1370;55;37;1088;13,24;12,62;0;25,86;11,09;0;35,39;00:12:15;0,6;1,39;2,98;2,01;58,43;73,53;8;12;20;14;0;14;1235,74;70,95;0;
PISANO;1770;144;1125;50;34;953;12,45;11,41;0;24,64;11,57;0;17,57;00:12:15;0,65;1,39;2,84;1,92;53,82;63,56;8;8;22;19;0;19;1124,12;66,05;0;
PITZALIS;1702;135;1007;43;25;927;11,47;9,43;0;19,27;8,77;0;8,21;00:12:34;0,52;1,13;2,55;1,49;54,48;59,13;4;10;21;17;0;17;1006,7;65,63;0;
VALLOCCHIA;1741;142;1217;51;22;1000;12,18;10,76;0;27;7,64;0;21,12;00:12:15;0,44;1,55;2,94;1,24;57,4;69,89;4;13;24;17;0;17;1202,85;69,31;0;
