;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;494;49;5;52;44;76;5;29,5;0;20,95;16,95;0;5,59;00:10:02;3,19;4,06;10,23;8,37;13,97;0,97;7;6,67;25,33;25,75;0;25,75;5,35;27,99;0;
DEMARCUS ;527;52;19;65;58;116;5,56;36,9;0;25,18;23,01;0;10,43;00:10:02;4,37;4,78;12,28;11,09;22,02;3,64;7;10;26;34;0;34;19,16;40,92;0;
IOTTI;297;30;0;20;12;4;2,62;14,34;0;6,48;2,09;0;0,43;00:10:02;0,7;2,18;6,58;4,07;1,44;0;0;2;6;3;0;3;0;5,03;0;
LA ROSA ;350;35;0;19;13;10;3,1;15,02;0;7,06;3,86;0;0;00:10:02;1,1;2,02;5,43;3,63;2,83;0;0;3;8;4;0;4;0;7,62;0;
LELLA ;573;57;10;77;65;107;6,15;39,24;0;34,6;28,02;0;11,07;00:10:02;4,89;6,04;13,47;11,42;18,59;1,75;14;9;43;39;0;39;10,04;37,37;0;
MANCA;519;52;4;72;56;84;5,48;37,02;0;25,85;22,79;0;6,39;00:10:02;4,39;4,98;13,87;10,85;16,28;0,72;9;10;35;36;0;36;3,72;32,27;0;
MASTINO;566;56;7;65;58;105;5,87;34,67;0;30,95;21,49;0;7,64;00:10:02;3,8;5,47;11,49;10,18;18,47;1,21;11;13;38;43;0;43;6,87;36,73;0;
OGUNSEYE;549;55;3;49;40;71;5,35;26,33;0;20,81;14,86;0;5,52;00:10:02;2,7;3,79;8,9;7,36;12,93;0,5;6;7;21;21;0;21;2,73;26,87;0;
PARIGI;580;58;8;57;51;85;5,82;30,06;0;25,74;16,18;0;6,84;00:10:02;2,79;4,44;9,89;8,76;14,57;1,41;8;7;34;31;0;31;8,19;30,83;0;
PENNINGTON;671;67;7;69;64;148;6,97;34,63;0;22,84;28,83;0;5,68;00:10:02;4,29;3,4;10,23;9,53;21,98;1,1;12;5;29;36;0;36;7,4;39,87;0;
PISANO;340;34;0;25;16;16;3,07;17,17;0;9,6;5,5;0;0,98;00:10:02;1,62;2,82;7,21;4,76;4,72;0;1;2;11;9;0;9;0;11,21;0;
PITZALIS;460;46;3;51;41;70;4,62;30,09;0;18,17;13,32;0;3,06;00:10:02;2,89;3,95;11,01;9;15,24;0,72;6;6;27;28;0;28;3,32;30,69;0;
VALLOCCHIA;496;50;3;62;49;93;5,35;38,63;0;24,16;23,42;0;9,08;00:09:57;4,72;4,87;12,42;9,81;18,67;0,55;10;6;26;25;0;25;2,74;36,58;0;
