;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;352;60;80;36;27;79;6,08;29,82;8,38;17,72;10,42;0;27,1;00:05:49;2,95;5,01;10,08;7,77;22,26;22,5;4,36;5,93;11,57;9,57;0,14;9,57;40,75;40,87;0;
BONACCORSO;374;64;88;36;27;84;6,57;32,46;11,91;21,98;12,41;0;30,47;00:05:49;3,32;5,88;9,66;7,13;22,4;23,44;4;8;11;8;0;8;45,79;42,63;0;
DEMARCUS ;372;64;82;38;28;96;6,37;28,81;10,62;17,73;9,31;0;26,71;00:05:49;2,5;4,76;10,26;7,49;25,87;22,07;4;5;12;11;0;11;43,67;44,24;0;
DORATIOTTO ;343;59;83;39;30;74;5,92;29,83;0,68;17,53;11,19;0;29,91;00:05:49;3,26;5,1;11,45;8,78;21,59;24,07;5;6;12;10;0;10;40,77;40,69;0;
IOTTI;340;58;94;35;31;81;5,97;32,06;8,8;16,42;12,02;0;29,95;00:05:49;3,53;4,82;10,25;9,01;23,69;27,73;5;7;13;9;0;9;45,92;43,58;0;
LA ROSA ;370;63;76;38;29;78;6,32;28,88;2,69;18,74;7,32;0;24,75;00:05:49;1,98;5,07;10,18;7,86;21,19;20,68;2;5;10;9;0;9;38,9;38,82;0;
LELLA ;357;61;83;34;33;80;6,21;31,1;2,68;16,64;11,75;0;28,95;00:05:49;3,3;4,66;9,47;9,24;22,47;23,4;6;6;9;10;0;10;43,19;40,35;0;
MANCA;326;56;73;31;23;72;5,5;27,06;0;15;6,24;0;20,73;00:05:49;1,91;4,6;9,45;7,05;22,17;22,28;2;5;11;9;0;9;48,68;39,57;0;
MASTINO;396;68;119;49;39;101;7,12;35,6;48,24;25,5;14,71;0;47,12;00:05:49;3,72;6,45;12,34;9,75;25,66;30,05;5;7;13;10;2;10;37,86;46,98;0;
MURONI;347;59;68;33;26;81;5,91;28,36;2,03;18,49;12,67;0;18,31;00:05:49;3,66;5,33;9,66;7,53;23,45;19,49;7;4;13;11;0;11;36,36;40,6;0;
OGUNSEYE;331;57;53;29;20;57;5,49;25,06;0;13,58;7,83;0;19,81;00:05:49;2,37;4,1;8,76;6,19;17,08;16,16;2;6;12;7;0;7;37,98;32,91;0;
PARIGI;325;56;58;33;21;64;5,54;28,21;4,03;15,64;9,46;0;22,83;00:05:49;2,91;4,81;10,07;6,32;19,81;17,91;6;6;8;9;0;9;30,14;37,32;0;
PENNINGTON;355;61;76;34;24;83;5,95;26,46;7,5;11,78;13,36;0;26,38;00:05:49;3,77;3,32;9,58;6,81;23,28;21,3;4;4;12;11;0;11;37,51;40,41;0;
PITZALIS;346;59;61;27;21;63;5,75;25,22;0;12,89;7,58;0;18,07;00:05:49;2,19;3,72;7,87;6,21;18,23;17,72;3;5;11;12;0;12;36,69;35,65;0;
VALLOCCHIA;352;60;101;42;33;87;6,46;38,37;18,17;26,17;10,09;0;35,41;00:05:49;2,87;7,44;12,07;9,4;24,77;28,64;6;9;15;8;0;8;47,05;48,42;0;
