;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;519;34;5;25;19;37;3,03;13,99;0;10,86;5,63;0;3,48;00:15:16;0,96;1,84;4,37;3,28;6,07;0,68;2;3,86;11,93;10,07;0;10,07;4,79;13,8;0;
BONACCORSO;386;25;0;6;4;6;2,09;6,5;0;2,2;1,14;0;0,42;00:15:12;0,29;0,57;1,53;1,1;1,44;0;0;2;4;1;0;1;0;4,05;0;
DEMARCUS ;339;22;0;11;9;12;1,92;11,21;0;4,1;1,53;0;1,14;00:15:12;0,45;1,21;3,38;2,52;3,61;0;1;1;4;6;0;6;0;9,17;0;
DORATIOTTO ;823;54;35;42;26;94;4,86;16,11;0;21,04;6,63;0;10,58;00:15:12;0,81;2,56;5,14;3,18;11,48;4,27;1;9;19;12;0;12;34,58;23,42;0;
IOTTI;518;33;0;36;27;50;3,08;20,87;0;16,28;7,43;0;2,42;00:15:45;1,44;3,14;6,88;5,21;9,67;0,09;2;5;21;12;0;12;0,45;22,02;0;
LA ROSA ;735;48;10;38;33;62;4,43;18,42;0;15,8;11,72;0;3,49;00:15:12;1,59;2,15;5,15;4,45;8,41;1,4;5;3;14;26;0;26;10,33;17,93;0;
LELLA ;676;43;15;67;55;94;4,25;27,38;0;28,13;20,21;0;14,9;00:15:40;2,99;4,16;9,93;8,16;13,89;2,24;11;12;32;34;0;34;12,91;29,81;0;
MANCA;258;17;0;3;2;0;1,41;7,03;0;0,43;0,24;0;0;00:15:12;0,09;0,17;1,33;0,92;0,07;0;0;0;0;0;0;0;0;0,19;0;
MASTINO;293;19;0;5;4;3;1,59;6,39;0;0,71;0,71;0;0;00:15:12;0,24;0,24;1,85;1,5;1,02;0;0;0;3;1;0;1;0;2,25;0;
MURONI;700;46;0;28;17;48;4,02;12,7;0;10,89;2,6;0;1,84;00:15:12;0,37;1,56;3,97;2,43;6,8;0;1;5;16;3;0;3;0;15,62;0;
OGUNSEYE;517;34;0;24;18;20;2,97;12,73;0;11,28;6,54;0;1,72;00:15:12;1,26;2,18;4,7;3,48;3,93;0;2;3;10;11;0;11;0;10,7;0;
PARIGI;663;44;5;38;29;64;4,03;19,49;0;17,82;9,39;0;5,5;00:15:12;1,42;2,69;5,76;4,44;9,63;0,69;3;7;15;11;0;11;4,59;21,64;0;
PENNINGTON;523;34;4;19;17;36;2,98;12;0;7,93;2,98;0;2,81;00:15:12;0,57;1,52;3,62;3,18;6,86;0,8;0;0;7;8;0;8;4,18;14,67;0;
PITZALIS;350;23;0;9;5;5;1,96;9,82;0;4,63;2,26;0;0,23;00:15:12;0,65;1,32;2,7;1,55;1,42;0;1;1;5;5;0;5;0;4,82;0;
VALLOCCHIA;480;32;0;24;17;31;2,8;14,61;0;10,78;5,45;0;3,62;00:15:12;1,13;2,25;4,96;3,56;6,37;0;1;6;17;11;0;11;0;16,18;0;
