;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1295;43;103;83;65;222;4,05;20,36;9,77;28,27;19,41;0;22,44;00:29:46;1,52;2,18;6,48;5,04;17,34;8,13;5;4,88;25,29;21,24;0,18;21,24;63,99;30,32;0;
BIANCU;1298;44;148;86;78;290;4,15;22,91;23,95;35,74;23,87;0;29,29;00:29:46;1,84;2,75;6,63;6;22,36;11,38;6;10;31;27;1;27;92,06;37,83;0;
DEMARCUS ;959;32;113;74;59;214;3,08;23,69;5,71;19,77;18,81;0;17,95;00:29:46;1,96;2,06;7,74;6,14;22,35;11,78;7;3;24;21;0;21;73,04;36,82;0;
DORATIOTTO ;1585;53;178;99;80;311;4,99;21;13,17;36,76;20,83;0;39,1;00:29:46;1,31;2,32;6,23;5,03;19,63;11,24;8;2;25;25;0;25;122,13;34,26;0;
IOTTI;1462;49;23;92;58;124;4,42;16,19;0;26,72;12,1;0;5;00:29:46;0,83;1,83;6,3;3,94;8,48;1,6;1;3;29;12;0;12;23,4;17,52;0;
LA ROSA ;1359;46;14;106;90;132;4,32;22,27;0;40,51;23,87;0;12,53;00:29:46;1,76;2,98;7,76;6,6;9,73;1,05;6;10;38;34;0;34;14,27;21,07;0;
LELLA ;1515;51;133;129;107;342;5,02;27,38;18,81;53,54;34,39;0;52,14;00:29:46;2,27;3,54;8,51;7,06;22,56;8,76;10;16;44;36;0;36;67,17;40,95;0;
MANCA;1184;40;114;89;70;226;3,78;22,79;22,54;29,61;21,37;0;27,71;00:29:46;1,81;2,5;7,55;5,93;19,1;9,64;7;4;34;30;1;30;58,76;32,92;0;
MARTINIELLO;1022;34;120;77;61;218;3,27;23,19;0;23,11;17,48;0;24,36;00:29:46;1,71;2,26;7,5;5,97;21,34;11,74;3;3;23;20;0;20;85,46;36,16;0;
MASTINO;1085;36;121;58;51;201;3,37;19,66;28,54;18,86;18,18;0;26,38;00:29:46;1,68;1,74;5,32;4,66;18,54;11,14;4;7;24;14;1;14;35,48;31,13;0;
MURONI;1258;42;18;76;60;179;3,88;18,53;0;28,43;14,84;0;6,54;00:29:46;1,18;2,26;6,08;4,78;14,2;1,41;2;7;27;20;0;20;17,68;26,74;0;
OGUNSEYE;1265;42;137;103;81;254;4,12;25,21;0;39,82;26,72;0;39,52;00:29:46;2,11;3,15;8,16;6,39;20,07;10,82;6;5;33;31;0;31;83,02;36,47;0;
PARIGI;1249;42;153;94;68;256;3,96;21,92;0;26,7;24,03;0;19,71;00:29:46;1,92;2,14;7,54;5,43;20,47;12,24;8;1;19;20;0;20;144,38;34,6;0;
PENNINGTON;1506;51;89;82;58;266;4,64;18,45;4,08;26,47;18,32;0;16,52;00:29:46;1,22;1,76;5,45;3,85;17,68;5,92;5;4;24;18;0;18;57,14;30,3;0;
PISANO;1261;42;70;47;31;149;3,7;12,9;22,33;9,96;6,43;0;12,71;00:29:46;0,51;0,79;3,75;2,45;11,78;5,51;1;0;7;5;0;5;28,73;20,23;0;
PITZALIS;1473;49;72;43;31;173;4,24;10,82;0;12,84;7,32;0;1,84;00:29:46;0,5;0,87;2,91;2,12;11,76;4,91;0;1;6;5;0;5;46,81;19,03;0;
VALLOCCHIA;1309;44;194;103;80;316;4,23;24,21;20,02;33,82;29,39;0;41,07;00:29:46;2,25;2,58;7,87;6,09;24,12;14,86;8;5;33;28;0;28;108,85;39,62;0;
ZUGARO;1224;41;51;59;39;129;3,66;15,09;6,9;18;11,97;0;9,07;00:29:46;0,98;1,47;4,85;3,18;10,57;4,17;3;2;9;15;0;15;29,45;19,81;0;
