;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;507;47;14;18;11;48;4,05;10,91;0;5,46;2,05;0;0,63;00:10:46;0,37;1,03;3,42;2,04;9,06;2,56;0,27;1,36;7,82;4,27;0;4,27;14,3;16,13;0;
BIANCU;557;52;29;20;15;54;4,48;12,08;0;4,52;2,59;0;0,94;00:10:46;0,46;0,81;3,59;2,71;9,7;5,16;0;0;6;7;0;7;28,78;17,62;0;
DEMARCUS ;517;48;5;20;9;52;4,13;11,35;0;4,95;1,77;0;0;00:10:46;0,34;0,96;3,84;1,8;10;1,05;0;1;12;2;0;2;5,44;17,81;0;
DORATIOTTO ;549;51;22;20;10;52;4,38;11,11;0;6,17;1,5;0;1,11;00:10:46;0,27;1,13;3,63;1,87;9,53;4,05;0;0;10;4;0;4;22,23;16,85;0;
LELLA ;573;53;19;21;15;55;4,65;12,88;0;7;3,15;0;1,15;00:10:46;0,55;1,22;3,59;2,65;9,64;3,26;1;2;8;8;0;8;18,72;17,61;0;
MANCA;562;52;26;22;11;70;4,53;12,17;0;9,72;3,27;0;1,13;00:10:46;0,58;1,73;3,98;2,02;12,46;4,55;1;7;16;8;0;8;25,57;21,74;0;
MARTINIELLO;539;50;0;23;17;48;4,39;13,41;0;8,6;4,15;0;0,2;00:10:46;0,77;1,59;4,24;3,06;8,93;0;0;3;14;7;0;7;0;16,71;0;
MURONI;377;35;0;3;1;11;2,83;4,45;0;0,76;0,09;0;0;00:10:46;0,02;0,2;0,81;0,15;2,81;0;0;0;2;0;0;0;0;5,21;0;
OGUNSEYE;536;50;19;17;9;40;4,2;9,26;0;2,6;1,51;0;0;00:10:46;0,28;0,49;3,13;1,65;7,41;3,48;0;0;3;4;0;4;18,65;12,65;0;
PARIGI;577;54;36;31;19;84;4,75;14,61;0;8,63;2,76;0;2,11;00:10:46;0,48;1,5;5,34;3,22;14,49;6,25;1;1;8;3;0;3;36,07;25;0;
PENNINGTON;561;52;2;19;12;44;4,46;10,68;0;5,62;1,6;0;0,31;00:10:46;0,29;1;3,41;2,07;7,85;0,32;0;1;6;4;0;4;1,81;14,44;0;
VALLOCCHIA;224;21;0;5;3;15;1,74;8,04;0;1,46;0,15;0;0;00:10:46;0,07;0,65;2,06;1,21;6,88;0;0;0;1;0;0;0;0;11,77;0;
