;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1977;47;209;138;117;369;4,45;22,14;39,69;55,69;43,37;0;53,19;00:42:08;2,14;2,79;6,83;5,79;18,43;10,61;16,18;16;50,88;49,12;1,24;49,12;118;32,25;0;
BIANCU;1249;50;88;70;73;193;4,64;19,72;4,08;24,14;22,17;0;11,96;00:24:55;1,78;1,93;5,63;5,87;15,48;7,05;8;4;29;30;0;30;61,69;26,97;0;
DEMARCUS ;1548;64;79;115;113;302;6,18;25,65;0;46,67;39,48;0;16,91;00:24:21;2,55;3,01;7,41;7,29;19,49;5,08;16;11;50;44;0;44;65,71;35,42;0;
DORATIOTTO ;1484;63;29;76;68;151;5,75;17,72;0;28,4;19,51;0;7,4;00:23:30;1,31;1,91;5,15;4,58;10,19;1,93;6;7;26;30;0;30;20,02;19,85;0;
IOTTI;3126;49;536;286;220;799;4,78;27,26;140,24;119,23;72,04;0;142,47;01:04:26;2,3;3,81;9,14;7,04;25,55;17,13;21;30;100;92;5;92;298,38;43,16;0;
LA ROSA ;3140;49;408;266;200;664;4,72;25,27;13,51;107,41;68,52;0;108,22;01:04:26;2,18;3,42;8,46;6,37;21,16;13;24;39;93;81;0;81;293,9;38,2;0;
LELLA ;1439;58;66;89;78;196;5,36;19,9;0;27,06;26,81;0;12;00:24:55;1,86;1,88;6,18;5,45;13,64;4,6;10;9;32;41;0;41;43,68;25,75;0;
MANCA;1908;30;24;101;88;196;2,73;18;0;41,12;26,66;0;16,31;01:03:52;1,4;2,16;5,31;4,62;10,28;1,25;14;10;51;41;0;41;23,79;21,63;0;
MARTINIELLO;1406;55;39;110;84;183;5,27;23,81;0;42,03;30,81;0;13,54;00:25:34;2,19;2,99;7,85;5,96;13,02;2,75;8;12;36;41;0;41;34,69;26,38;0;
MASTINO;2059;32;295;150;136;436;3,09;24,97;37,6;71,13;54,82;0;75,88;01:04:26;2,66;3,46;7,29;6,6;21,2;14,31;26;25;58;56;1;56;181,09;37,51;0;
MURONI;1854;41;205;15;6;233;3,23;2,52;0;5,72;1,53;0;2,47;00:45:36;0,08;0,31;0,8;0,32;12,58;11,07;0;4;7;1;0;1;106,92;14,64;0;
OGUNSEYE;1250;52;53;88;72;179;4,93;23,68;0;37,39;29,51;0;17,02;00:24:15;2,36;2,99;7,03;5,74;14,34;4,27;11;14;39;40;0;40;44,58;28,42;0;
PARIGI;1524;63;143;118;107;272;6,1;25,47;9,42;47,86;43,09;0;32,48;00:24:15;2,83;3,14;7,75;7,02;17,86;9,36;16;12;39;42;0;42;82,8;32,18;0;
PENNINGTON;1345;53;78;73;68;200;4,95;19,76;0;27,83;26,3;0;11,42;00:25:10;1,96;2,07;5,39;5,04;14,84;5,76;12;8;37;28;0;28;61,25;27,13;0;
PISANO;3104;48;412;227;196;647;4,59;23,04;88,68;88,73;75;0;102,73;01:04:27;2,42;2,86;7,31;6,32;20,84;13,27;29;22;71;80;3;80;246,22;35,8;0;
PITZALIS;3580;56;698;310;260;943;5,5;27,95;256,82;126,36;119,16;0;210,38;01:04:27;3,33;3,53;8,65;7,25;26,34;19,5;40;34;104;93;8;93;266,82;42,58;0;
VALLOCCHIA;1365;57;122;105;99;257;5,57;25,75;6,19;40,83;32,84;0;27,73;00:23:51;2,41;2,99;7,7;7,22;18,81;8,92;13;8;40;52;0;52;66,83;33,35;0;
ZUGARO;2236;35;288;145;120;413;3,29;21,5;118,17;64,89;48,97;0;95,36;01:03:53;2,19;2,9;6,48;5,37;18,48;12,87;21;23;53;43;4;43;107,63;32,48;0;
