;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;736;67;60;49;44;141;6,41;22,43;1,97;18,45;14,91;0;10,86;00:10:56;1,95;2,43;6,41;5,82;18,51;7,87;5,8;5;18,4;18,6;0;18,6;40,89;32,41;0;
BIANCU;708;65;71;46;49;157;6,25;24,66;4,08;16,05;15,65;0;10,88;00:10:56;2,21;2,27;6,5;6,86;22,2;10,05;6;4;21;21;0;21;53,72;36,84;0;
DEMARCUS ;857;78;66;66;69;214;7,73;27,41;0;25,83;21,62;0;9,47;00:10:56;2,52;3,01;7,66;8;25;7,7;6;5;25;20;0;20;52,98;41,77;0;
DORATIOTTO ;762;70;28;42;38;108;6,44;19,44;0;16,34;8,53;0;6,07;00:10:56;1,12;2,14;5,49;5,01;14,13;3,7;2;4;13;15;0;15;19,57;25,79;0;
LELLA ;746;68;59;50;45;140;6,47;22,63;0;15,04;13,64;0;8,6;00:10:56;1,83;2,02;6,77;6,02;18,73;7,97;6;5;15;23;0;23;39,73;32,92;0;
MARTINIELLO;681;62;32;52;37;103;5,95;23,49;0;18,54;13,58;0;7,61;00:10:56;1,99;2,72;7,64;5,5;15,13;4,7;7;5;13;19;0;19;28,02;28,99;0;
MURONI;525;48;4;12;4;25;3,99;7,35;0;5,41;0,72;0;2,47;00:10:56;0,14;1,03;2,32;0,85;4,7;0,74;0;4;6;1;0;1;3,87;10,39;0;
OGUNSEYE;736;67;43;49;39;124;6,38;22,5;0;17,04;14,16;0;7,39;00:10:56;1,92;2,32;6,71;5,36;16,83;5,78;6;2;18;17;0;17;38,95;31,36;0;
PARIGI;871;80;128;70;69;212;7,93;28,59;9,42;29,02;28,7;0;26,52;00:10:56;3,29;3,33;7,98;7,97;24,32;14,67;10;7;24;29;0;29;67,94;41,35;0;
PENNINGTON;659;60;70;34;38;135;5,68;21,74;0;15,04;14,92;0;8,08;00:10:56;2,26;2,28;5,18;5,78;20,45;10,65;7;5;19;17;0;17;53,95;34,41;0;
VALLOCCHIA;817;75;104;64;56;193;7,32;26,48;6,19;26,21;17,6;0;21,47;00:10:56;2,15;3,21;7,88;6,85;23,57;12,72;8;9;30;24;0;24;50,13;40,3;0;
