;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1702;68;108;119;109;345;6,57;23,64;1,87;42,18;37,87;0;26,47;00:24:57;2,12;2,42;6,83;6,18;18,96;5,89;12,35;10,41;44,65;46,71;0;46,71;87,34;33,39;0;
BIANCU;2022;81;91;147;132;469;7,83;24,92;0;48,34;37,08;0;23,22;00:24:57;1,83;2,39;7,25;6,53;23,2;4,48;13;14;50;57;0;57;77,56;40,2;0;
DALLA BERNARDINA ;1501;60;51;99;86;211;5,7;22,51;0;35,09;28,33;0;14,25;00:24:57;1,89;2,34;6,61;5,76;14,07;3,38;6;10;33;33;0;33;49,64;26,98;0;
DEMARCUS ;1015;41;6;53;43;85;3,67;16,68;0;20,08;11,8;0;6,91;00:24:57;1,16;1,98;5,18;4,29;8,39;0,62;4;7;24;20;0;20;6,33;17,79;0;
DORATIOTTO ;1782;71;164;121;93;320;6,71;21,46;18,54;44,1;28,19;0;37,91;00:24:57;1,58;2,48;6,76;5,24;17,95;9,18;9;11;53;35;0;35;115,45;32,27;0;
IOTTI;1759;70;202;136;132;444;7,01;28,47;0;48,44;51,55;0;42,1;00:24:57;2,93;2,75;7,76;7,51;25,25;11,48;13;14;51;47;0;47;145,68;41,99;0;
LA ROSA ;1580;63;122;106;86;311;5,94;21,34;0;32,18;23,63;0;17,33;00:24:57;1,5;2,04;6,71;5,47;19,7;7,7;7;2;33;26;0;26;110,77;33,78;0;
LELLA ;1998;80;114;166;172;474;8,03;29,59;0;58,94;61,63;0;39,74;00:24:57;3,08;2,95;8,32;8,62;23,73;5,71;20;11;49;85;0;85;89,63;41,36;0;
MANCA;2066;83;241;162;158;586;8,24;28,6;13,31;57,21;54,92;0;50,26;00:24:57;2,66;2,77;7,85;7,65;28,37;11,64;22;11;65;76;0;76;161,4;46,13;0;
MARTINIELLO;769;31;0;30;22;14;2,67;12,04;0;9,61;5,48;0;0;00:24:57;0,71;1,25;3,92;2,9;1,86;0;2;0;9;10;0;10;0;4,86;0;
MASTINO;1633;65;51;146;124;337;6,61;30,41;0;60,33;53,66;0;30,96;00:24:57;3,28;3,69;8,96;7,57;20,62;3,15;23;20;66;64;0;64;51,47;38,72;0;
MURONI;1931;77;41;106;102;343;7,16;19,62;0;33,99;30,41;0;11,53;00:24:57;1,58;1,76;5,47;5,31;17,75;2,14;8;10;43;41;0;41;41,28;31,11;0;
OGUNSEYE;1535;61;80;126;101;247;5,98;25,54;0;51,22;32,7;0;25,6;00:24:57;2,13;3,34;8,2;6,56;16,1;5,21;11;11;56;48;0;48;68,88;31,4;0;
PENNINGTON;2162;87;118;130;125;482;8,24;22,9;0;43,85;43,21;0;22,57;00:24:57;2;2,03;6,01;5,77;22,31;5,45;11;14;50;44;0;44;101,75;37,81;0;
PISANO;1385;55;75;75;77;194;5,11;19,06;0;17,42;22,72;0;16,8;00:24:57;1,64;1,26;5,43;5,58;13,99;5,39;5;2;23;28;0;28;60,48;24,84;0;
PITZALIS;1834;73;144;130;126;439;7,17;25,97;0;43,82;49,02;0;35,27;00:24:57;2,67;2,39;7,08;6,88;23,92;7,86;13;7;43;55;0;55;125,26;39,82;0;
VALLOCCHIA;2084;83;228;166;163;570;8,36;29,29;0;62,49;67,36;0;44,35;00:24:57;3,23;3;7,94;7,82;27,37;10,95;29;16;59;84;0;84;178,9;45,03;0;
ZUGARO;1882;75;108;124;104;335;7,21;23,53;0;50,01;42,07;0;31,19;00:24:57;2,24;2,66;6,6;5,52;17,78;5,76;14;17;52;41;0;41;100,36;33,54;0;
