;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;482;47;3;43;38;64;4,65;27,3;0;16,27;13,63;0;2,89;00:10:11;2,83;3,42;8,95;7,87;13,25;0,51;5,12;4,59;21,82;22;0;22;2,54;26,52;0;
BIANCU;487;48;0;36;32;45;4,52;22,09;0;9,44;12,03;0;0,22;00:10:11;2,47;1,94;7,48;6,63;9,19;0;5;2;17;17;0;17;0;17,99;0;
DALLA BERNARDINA ;466;46;4;51;46;77;4,68;32,36;0;20,58;19,44;0;6,44;00:10:11;4,18;4,42;10,87;9,82;16,6;0,92;6;4;27;26;0;26;4,3;32,96;0;
DEMARCUS ;436;43;2;47;38;70;4,26;28,68;0;15,6;10,19;0;3,35;00:10:11;2,34;3,58;10,7;8,68;16,01;0,52;5;7;22;24;0;24;2,28;31,68;0;
DORATIOTTO ;531;52;0;34;27;48;4,83;19,93;0;12,35;8,96;0;0,59;00:10:11;1,69;2,33;6,37;5,12;9,08;0;2;2;17;17;0;17;0;18,58;0;
IOTTI;409;40;4;36;34;63;4;28,63;0;13,14;13,47;0;3,62;00:10:11;3,29;3,21;8,7;8,41;15,41;0,89;7;4;18;19;0;19;3,66;29,88;0;
LA ROSA ;456;45;3;38;33;54;4,31;24,56;0;13,43;11,81;0;1,61;00:10:11;2,59;2,95;8,41;7,14;11,83;0,6;5;1;18;20;0;20;2,75;23,26;0;
LELLA ;443;43;0;37;36;45;4,24;25,83;0;14,37;11,37;0;1,21;00:10:11;2,56;3,24;8,28;8,08;10,05;0;4;4;15;24;0;24;0;21,09;0;
MANCA;530;52;11;49;40;70;5,22;29,89;0;22,91;15,79;0;6,52;00:10:11;2,98;4,32;9,22;7,54;13,17;2,02;7;10;26;31;0;31;10,72;28,07;0;
MARTINIELLO;428;42;0;42;35;48;4,12;26,91;0;14,56;12,63;0;1,6;00:10:11;2,95;3,4;9,75;8,11;11,27;0;5;2;20;16;0;16;0;23,5;0;
MASTINO;488;48;1;49;42;66;4,81;29,73;0;17,11;15,05;0;2,04;00:10:11;3,08;3,5;10;8,68;13,58;0,18;5;5;23;31;0;31;0,9;26,76;0;
MURONI;488;48;0;39;31;36;4,48;20,85;0;10,63;8,78;0;0,55;00:10:11;1,8;2,18;7,97;6,34;7,43;0;0;2;23;15;0;15;0;16,27;0;
OGUNSEYE;464;46;0;40;38;73;4,53;28,65;0;15,97;14,35;0;1,9;00:10:11;3,09;3,44;8,56;8,29;15,76;0;5;5;20;18;0;18;0;30,01;0;
PENNINGTON;608;60;4;53;44;79;5,76;24,75;0;16,79;13,39;0;2,18;00:10:11;2,2;2,76;8,71;7,2;12,93;0,61;4;5;28;25;0;25;3,71;25,37;0;
PISANO;440;43;4;45;35;68;4,31;29,07;0;22,18;10,81;0;5,8;00:10:11;2,46;5,04;10,15;8,01;15,43;0,94;4;7;29;21;0;21;4,13;32,35;0;
PITZALIS;395;39;1;38;33;57;3,89;29,6;0;18,67;11,43;0;2,17;00:10:11;2,89;4,73;9,7;8,45;14,36;0,23;4;9;19;18;0;18;0,9;29,38;0;
VALLOCCHIA;528;52;3;53;55;104;5,46;36,26;0;22,78;23,14;0;5,47;00:10:11;4,38;4,32;10,03;10,34;19,63;0,64;12;7;31;31;0;31;3,38;36,78;0;
ZUGARO;589;58;6;43;41;80;5,65;26,33;0;16,14;19;0;3,93;00:10:11;3,22;2,74;7,32;6,91;13,59;1,1;7;2;18;21;0;21;6,46;26,92;0;
