;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1721;91;145;129;121;375;8,89;26,09;12,94;47,32;42,86;0;41,52;00:18:54;2,48;2,74;7,5;6,98;21,64;8,36;13,73;8,33;38,67;44,8;0,27;44,8;100,02;37,88;0;
BIANCU;1583;84;111;111;100;323;8,03;23,99;2,71;39,75;35,68;0;30,6;00:18:54;2,25;2,51;7,01;6,32;20,43;6,99;14;6;32;41;0;41;87,29;35,24;0;
DALLA BERNARDINA ;1658;88;97;112;100;300;8,34;22,83;6,86;33,43;28,6;0;27,57;00:18:54;1,73;2,02;6,78;6,05;18,09;5,86;7;5;28;39;0;39;59,8;31,88;0;
DEMARCUS ;1755;93;249;163;161;474;9,59;33,52;16,92;51,51;62,89;0;66,82;00:18:54;3,58;2,93;9,26;9,2;26,99;14,18;18;7;40;63;0;63;179,23;45,43;0;
DORATIOTTO ;1598;84;95;111;102;276;8,15;24,6;0,67;45,97;33,82;0;32,31;00:18:54;2,12;2,88;6,92;6,39;17,28;5,93;12;7;29;41;0;41;63,14;32,36;0;
IOTTI;1781;94;116;134;117;395;9,21;26,3;2,7;51,06;34,31;0;34,7;00:18:54;1,93;2,87;7,55;6,55;22,16;6,53;9;6;37;47;0;47;90,75;39,35;0;
LA ROSA ;1545;82;84;102;79;290;7,68;21,49;0;35,71;20,54;0;19,2;00:18:54;1,33;2,31;6,59;5,12;18,78;5,42;6;4;22;22;0;22;74,16;33,41;0;
LELLA ;1775;94;115;154;139;424;9,5;30,75;10,96;62,13;58,88;0;49,08;00:18:54;3,32;3,5;8,65;7,84;23,89;6,49;22;16;53;46;0;46;72,43;42,41;0;
MANCA;1689;89;173;137;121;406;8,86;28,16;0;50,61;42,52;0;38,58;00:18:54;2,52;3;8,1;7,19;24,03;10,23;17;9;47;57;0;57;148,84;41,55;0;
MASTINO;1780;94;246;159;209;468;9,48;30,06;75,52;57,62;82,23;0;55,88;00:18:54;4,62;3,24;8,92;11,76;26,3;13,85;24;15;57;68;2;68;112,02;44,76;0;
MURONI;1880;99;131;135;114;377;9,53;23,87;11,03;56,25;35,95;0;41,64;00:18:54;1,91;2,99;7,17;6,05;20,05;6,97;10;12;44;44;0;44;102,52;36,3;0;
PENNINGTON;1996;106;171;131;125;469;10,15;24,24;2,73;41,96;42,53;0;39,17;00:18:54;2,13;2,1;6,58;6,28;23,51;8,58;12;8;41;37;0;37;134,51;39,5;0;
PISANO;1547;82;118;106;93;272;7,81;23,34;7,75;41,57;34,45;0;37,5;00:18:54;2,23;2,69;6,87;6;17,56;7,6;13;3;31;40;0;40;93,12;32,56;0;
PITZALIS;1568;83;111;119;101;317;8,07;25,69;15,92;39,61;40,01;0;40,93;00:18:54;2,55;2,53;7,6;6,43;20,25;7,08;11;6;35;42;1;42;62,05;35,51;0;
VALLOCCHIA;1810;96;151;132;126;406;9,41;26,99;17,15;48,1;49,32;0;53,18;00:18:54;2,73;2,66;7,31;6,98;22,43;8,36;19;12;40;49;0;49;93,5;39,15;0;
ZUGARO;1847;98;208;131;120;422;9,5;25,56;23,12;54,54;41,12;0;55,68;00:18:54;2,23;2,95;7,11;6,5;22,84;11,28;12;9;44;36;1;36;126,87;38,76;0;
