;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;6480;70;645;476;405;1467;6,79;25,05;37,65;179,99;146,08;0;162,84;01:32:28;2,24;2,78;7,34;6,22;22,55;9,92;47,94;44,82;157,82;151,82;0,59;151,82;434,73;38,92;0;
BIANCU;6897;75;815;513;444;1623;7,26;25,84;5,44;187,4;149,98;0;167,83;01:32:28;2,17;2,72;7,44;6,44;23,53;11,82;48;42;144;138;0;138;649,81;40,42;0;
DALLA BERNARDINA ;6772;73;461;473;404;1444;7,04;24,21;2,02;178,09;148,88;0;102,31;01:32:28;2,2;2,63;6,99;5,97;21,32;6,8;48;37;144;158;0;158;410,65;36,99;0;
DEMARCUS ;4141;45;436;318;250;975;4,3;24,09;22,91;116,84;78,46;0;100,95;01:32:28;1,89;2,82;7,67;6,03;23,54;10,53;30;30;118;104;0;104;295,52;40,06;0;
DORATIOTTO ;6830;74;479;497;408;1448;7,1;24,19;21,57;185,4;131,03;0;133,43;01:32:28;1,92;2,71;7,28;5,98;21,2;7,02;32;40;150;155;0;155;357,98;37,91;0;
IOTTI;6507;70;677;477;438;1573;6,88;26,37;23,46;175,53;174,2;0;162,5;01:32:28;2,68;2,7;7,33;6,73;24,18;10,4;64;46;163;176;0;176;484,34;40,6;0;
LA ROSA ;5760;62;259;381;276;1033;5,82;20,67;0;139,98;76,59;0;60,35;01:32:28;1,33;2,43;6,61;4,79;17,94;4,49;23;32;115;95;0;95;233,35;32,49;0;
LELLA ;6943;75;703;570;480;1597;7,43;27,92;54,53;228,72;190,78;0;236,39;01:32:28;2,75;3,29;8,21;6,91;23;10,13;60;58;184;171;0;171;409,26;40,33;0;
MANCA;6396;69;571;467;365;1413;6,63;23,86;15,26;168,69;123,63;0;129,63;01:32:28;1,93;2,64;7,3;5,7;22,09;8,93;33;36;172;150;0;150;375,1;38,11;0;
MASTINO;6351;69;807;506;464;1597;6,87;29,23;90,45;209,66;192,16;0;235,02;01:32:28;3,03;3,3;7,96;7,31;25,14;12,71;73;63;202;193;2;193;461,44;42,95;0;
MURONI;7583;82;810;545;479;1978;7,95;25,21;49,38;208,8;163,98;0;190,13;01:32:28;2,16;2,75;7,19;6,32;26,09;10,68;55;75;194;186;0;186;564,56;43,43;0;
OGUNSEYE;5979;65;509;390;318;1119;6,12;22,28;21,02;150,83;113,8;0;106,6;01:32:28;1,9;2,52;6,53;5,33;18,72;8,52;39;28;123;124;0;124;385,03;32,99;0;
PARIGI;6724;73;686;497;405;1526;7,01;24,48;14,2;177,74;147;0;159,15;01:32:28;2,19;2,64;7,4;6,02;22,7;10,2;47;42;151;131;0;131;525,82;39,05;0;
PENNINGTON;7339;79;848;489;466;1762;7,64;24,46;16,2;173,37;172,54;0;163,15;01:32:28;2,35;2,36;6,67;6,35;24;11,55;58;36;158;159;0;159;565,32;40,32;0;
PISANO;5870;63;743;439;367;1285;6,14;24,93;179,01;172,52;136,76;0;217,7;01:32:28;2,33;2,94;7,48;6,26;21,88;12,65;46;42;143;128;6;128;349,94;37,72;0;
PITZALIS;6542;71;571;469;420;1320;6,87;25,43;28,21;182,16;152,23;0;185,22;01:32:28;2,33;2,78;7,17;6,42;20,18;8,73;45;45;147;152;0;152;364,44;36,32;0;
VALLOCCHIA;7092;77;788;582;479;1754;7,53;26,81;45,22;220,29;175,43;0;202,75;01:32:28;2,47;3,11;8,21;6,76;24,73;11,11;66;60;216;195;1;195;515,45;42,23;0;
ZUGARO;6441;70;797;476;420;1484;6,79;25,96;51,21;183,76;155,97;0;215,24;01:32:28;2,42;2,85;7,38;6,51;23,04;12,38;48;50;159;166;1;166;442,42;39,75;0;
