;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1027;44;80;73;57;191;4,16;21,99;1,85;25,99;17,42;0;16,57;00:23:17;1,76;2,56;7,12;5,6;18,4;7,79;4;7,5;29,9;21,5;0;21,5;58,94;32,8;0;
BIANCU;1048;45;84;78;66;216;4,29;23,02;0;26,09;17,67;0;10,89;00:23:17;1,69;2,49;7,43;6,26;20,56;7,98;2;6;28;23;0;23;76,26;35,07;0;
DEMARCUS ;498;21;67;40;35;104;2,07;25,06;0;14,84;12,85;0;16,84;00:23:17;2,58;2,98;8,09;7,08;20,97;13,48;4;5;16;15;0;15;43,34;37;0;
DORATIOTTO ;1867;80;199;134;101;400;7,61;22,7;10,19;47,95;28,51;0;41,98;00:23:17;1,53;2,57;7,18;5,4;21,41;10,65;4;17;54;36;0;36;157,65;38,49;0;
LELLA ;945;41;47;77;62;187;3,94;25,48;0;28,9;23,32;0;13,29;00:23:17;2,47;3,06;8,2;6,53;19,76;4,96;11;8;39;26;0;26;42,27;35,75;0;
MANCA;1016;44;71;70;52;169;4,1;21,48;0;21,63;18,27;0;18,47;00:23:17;1,8;2,13;6,87;5,12;16,61;6,96;6;4;28;18;0;18;37,9;29,85;0;
MURONI;970;42;2;65;38;111;3,82;18,42;0;29,48;10,26;0;6,85;00:23:17;1,06;3,04;6,74;3,89;11,39;0,23;2;9;41;18;0;18;2,27;24,43;0;
OGUNSEYE;872;37;77;67;51;144;3,55;22,41;4,21;23,42;15,12;0;20,31;00:23:17;1,73;2,68;7,71;5,84;16,49;8,8;4;4;24;21;0;21;45,07;30,41;0;
PARIGI;1010;43;153;73;56;237;4,11;22,42;4,06;27,26;21;0;25,85;00:23:17;2,08;2,7;7,25;5,52;23,42;15,18;1;10;19;21;0;21;107,91;38,7;0;
PENNINGTON;1053;45;16;54;50;153;4,12;17,6;0;17,4;11,85;0;4,55;00:23:17;1,13;1,65;5,13;4,75;14,51;1,54;3;5;23;17;0;17;16,18;25,79;0;
VALLOCCHIA;991;43;80;66;55;187;3,99;21,29;0;22,95;15,39;0;6,71;00:23:17;1,55;2,32;6,65;5,58;18,83;8,09;3;7;27;20;0;20;60,53;32,56;0;
