;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;329;45;12;13;5;32;3,88;10,99;0;3,1;0,8;0;1,14;00:07:17;0,24;0,95;3,85;1,59;9,68;3,74;0;0,27;3,82;0,82;0;0,82;12,21;17,59;0;
BIANCU;344;47;15;11;5;35;4,04;11,1;0;3,47;1,15;0;1,1;00:07:19;0,33;1,01;3,26;1,32;10,22;4,22;0;0;4;2;0;2;14,54;18,28;0;
DEMARCUS ;321;44;18;13;5;38;3,78;11,67;0;2,02;0,39;0;1,59;00:07:19;0,12;0,63;4,17;1,65;11,79;5,73;0;0;5;0;0;0;18,36;20,42;0;
DORATIOTTO ;310;42;13;9;3;28;3,57;8,76;0;2,66;0,31;0;1,11;00:07:19;0,1;0,86;2,77;0,86;8,97;4,3;0;0;1;0;0;0;13,36;15,04;0;
LELLA ;376;51;4;17;10;35;4,46;12,14;0;3,56;1,48;0;0,69;00:07:19;0,39;0,95;4,53;2,55;9,24;0,98;0;0;7;3;0;3;3,7;17,3;0;
MANCA;304;41;7;11;3;26;3,5;9,09;0;1,51;0,29;0;0;00:07:19;0,1;0,5;3,55;1;8,61;2,44;0;0;4;0;0;0;7,43;16,37;0;
MURONI;349;48;15;11;4;21;4,05;9,92;0;2,88;0,44;0;1,7;00:07:19;0,13;0,83;3,27;1,11;6,12;4,29;0;1;1;1;0;1;14,97;11,42;0;
OGUNSEYE;343;47;16;9;5;27;3,94;8,72;0;1,93;0,53;0;0;00:07:19;0,15;0,56;2,77;1,54;7,91;4,74;0;0;3;0;0;0;16,25;13,08;0;
PARIGI;342;47;15;18;7;46;4,13;14,33;0;4,08;1,79;0;1,65;00:07:19;0,52;1,19;5,17;2,13;13,39;4,37;0;0;6;0;0;0;14,97;24,45;0;
PENNINGTON;354;48;13;14;9;36;4,19;12,16;0;2,84;1,17;0;2,19;00:07:19;0,33;0,8;4,02;2,48;10,25;3,8;0;0;2;1;0;1;13,43;18,56;0;
VALLOCCHIA;286;39;17;15;3;39;3,39;12,26;0;5,75;0,58;0;2,33;00:07:19;0,2;2,01;5,36;1,16;13,49;6,05;0;2;8;1;0;1;17,31;25,18;0;
VERDE;290;42;0;10;5;18;3,63;10,71;0;3,43;0,64;0;0,17;00:06:51;0,22;1,18;3,49;1,69;6,32;0;0;0;1;1;0;1;0;13,06;0;
