;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;388;41;0;37;29;28;3,94;24,06;0;13,52;9,36;0;1,01;00:09:27;2,43;3,5;9,55;7,42;7,13;0,03;2,88;3;16;17,62;0;17,62;0,12;16,08;0;
BIANCU;318;35;0;27;21;19;3,29;21,88;0;9,12;5,99;0;0,77;00:09:07;1,89;2,87;8,39;6,76;6,11;0;3;2;11;11;0;11;0;14,3;0;
DALLA BERNARDINA ;374;41;0;39;30;29;4,05;27,42;0;15,18;10,66;0;0,22;00:09:07;2,85;4,05;10,49;7,97;7,8;0;3;4;14;18;0;18;0;17,49;0;
DEMARCUS ;388;42;0;53;41;49;4,37;32,76;0;21,23;13,18;0;2,02;00:09:07;3,4;5,48;13,75;10,6;12,56;0;4;5;26;30;0;30;0;26,23;0;
DORATIOTTO ;506;45;0;25;20;15;3,96;13,9;0;6,29;4,22;0;0;00:11:15;0,83;1,24;4,98;3,93;2,98;0;0;0;10;8;0;8;0;6,12;0;
LA ROSA ;328;36;0;32;23;17;3,39;21,85;0;10,03;5,76;0;0,84;00:09:07;1,76;3,06;9,83;7,03;5,17;0;1;1;9;12;0;12;0;12,3;0;
LELLA ;434;39;0;34;28;27;3,63;21,43;0;13,06;10,98;0;0,24;00:11:14;2,53;3,01;7,84;6,53;6,24;0;5;5;15;21;0;21;0;14,78;0;
MANCA;361;40;0;38;28;28;3,84;25,51;0;11,76;8,33;0;0;00:09:07;2,31;3,26;10,67;7,9;7,66;0;4;4;19;20;0;20;0;16,91;0;
MASTINO;382;42;0;33;26;21;3,95;21,8;0;10,27;7,97;0;0,74;00:09:07;2,09;2,69;8,63;6,88;5,43;0;2;2;20;18;0;18;0;13,04;0;
MURONI;433;46;0;24;15;11;4,03;13,21;0;6,62;2,43;0;0,53;00:09:26;0,56;1,53;5,57;3,52;2,43;0;0;0;11;5;0;5;0;5,92;0;
OGUNSEYE;349;38;0;35;26;25;3,78;27,78;0;15,5;12,66;0;2,43;00:09:07;3,63;4,45;10,03;7,46;7,24;0;6;0;16;18;0;18;0;16,98;0;
PARIGI;382;42;0;34;27;23;3,95;21,56;0;10,79;7,85;0;1,07;00:09:07;2,05;2,82;8,79;7,01;5,92;0;2;2;11;14;0;14;0;13,05;0;
PENNINGTON;385;42;0;30;22;20;3,93;20,27;0;10,32;7,38;0;0,67;00:09:07;1,92;2,68;7,68;5,77;5,3;0;3;1;13;12;0;12;0;12,48;0;
PISANO;368;39;2;38;32;32;3,79;26,75;0;13,48;9,66;0;2,12;00:09:32;2,63;3,66;10,43;8,68;8,72;0,5;1;4;14;17;0;17;1,85;19,51;0;
PITZALIS;371;39;0;48;40;42;3,95;32,4;0;20,71;15,35;0;2,56;00:09:36;4,14;5,59;12,84;10,69;11,3;0;4;1;13;22;0;22;0;25,11;0;
VALLOCCHIA;388;43;0;54;43;42;4,39;33,05;0;23,91;15,05;0;1;00:09:07;3,87;6,15;13,78;10,99;10,71;0;6;12;30;34;0;34;0;24,41;0;
ZUGARO;449;49;0;48;35;43;4,81;26,13;0;18,05;12,34;0;1;00:09:07;2,75;4,02;10,57;7,88;9,58;0;2;5;24;22;0;22;0;21,07;0;
