;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;360;60;31;19;16;64;5,49;18,2;2,85;6,68;5,68;0;7,51;00:06:01;1,53;1,81;5,12;4,32;16,61;8;1,73;1,27;5;5,73;0;5,73;17,55;27,98;0;
BIANCU;563;92;106;46;39;166;9,04;26,42;17,69;16,29;12,69;0;28,86;00:06:05;2,25;2,89;8,25;6,87;29,53;18,84;5;3;12;14;0;14;38,5;46,78;0;
DALLA BERNARDINA ;385;62;1;10;9;52;5,38;12,42;0;2,97;1,41;0;0;00:06:13;0,37;0,77;2,72;2,26;13,54;0,35;0;0;5;6;0;6;1,35;21,76;0;
DEMARCUS ;262;45;13;6;8;21;3,91;13,23;0;0,52;2,22;0;0;00:05:52;0,85;0,2;2,29;3,03;7,86;4,83;1;0;0;4;0;4;12,65;13,04;0;
LA ROSA ;419;71;13;25;19;68;6,46;16,92;0;5,37;5,03;0;2,28;00:05:52;1,2;1,28;5,98;4,5;16,26;3,04;2;0;7;11;0;11;9,9;27,75;0;
LELLA ;305;52;34;21;18;66;4,91;21,99;2,71;6,7;7,76;0;11,14;00:05:52;2,54;2,19;6,88;5,77;21,76;11,14;2;0;8;3;0;3;13,31;36,36;0;
MANCA;361;61;0;13;8;32;5,37;12,99;0;4,22;1,67;0;0,43;00:05:52;0,46;1,17;3,74;2,17;8,83;0;0;1;7;2;0;2;0;16,92;0;
MURONI;411;70;2;12;6;52;6,03;11,4;0;3,61;1,65;0;0;00:05:52;0,4;0,88;3;1,55;12,67;0,55;1;0;4;1;0;1;2,28;21,11;0;
OGUNSEYE;484;77;28;28;28;100;7,28;22,81;0;13,33;10,91;0;9,51;00:06:19;2,25;2,75;5,84;5,78;20,64;5,72;4;4;5;9;0;9;27,7;36;0;
PARIGI;344;59;38;28;22;72;5,69;25,62;0;9,71;8,11;0;12,32;00:05:52;2,36;2,82;8,28;6,39;21,03;11,14;2;1;6;10;0;10;34,9;38,32;0;
PENNINGTON;340;58;44;11;17;65;5,22;16,64;3,35;2,43;6,07;0;7,06;00:05:52;1,79;0,72;3,14;4,88;19,24;12,94;2;0;2;3;0;3;25,74;29,37;0;
PISANO;237;40;25;13;10;39;3,71;18,77;0;4,77;4,75;0;5,44;00:05:52;2;2,01;5,47;4,34;16,33;10,58;2;1;2;4;0;4;16,57;27,94;0;
PITZALIS;411;70;60;22;23;95;6,55;20,94;19,01;7,1;6,91;0;13,11;00:05:52;1,68;1,73;5,4;5,57;23,01;14,5;2;0;2;8;0;8;18,91;35,28;0;
VALLOCCHIA;298;47;0;3;6;6;3,96;8,57;0;0,7;0,67;0;0;00:06:19;0,22;0,23;1,11;2,02;2,01;0;0;0;1;2;0;2;0;3,64;0;
VERDE;386;58;96;31;24;107;5,68;26,82;0;16,64;13,67;0;20,57;00:06:40;3,54;4,31;7,91;6,24;27,76;24,94;3;6;9;6;0;6;61,43;44,46;0;
ZUGARO;198;34;0;13;6;15;3,04;16,68;0;5,82;1,75;0;1,85;00:05:52;0,89;2,94;6,72;3,28;7,63;0;0;3;5;3;0;3;0;19,57;0;
