;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;529;20;5;30;22;42;1,82;13,32;0;11,78;6,93;0;3,26;00:26:03;1,05;1,81;4,66;3,31;5,99;0,64;1,76;2,59;13,82;9,82;0;9,82;4,68;13,3;0;
BIANCU;307;12;0;5;4;6;0,96;5,75;0;2,13;0,6;0;0,22;00:26:03;0,2;0,69;1,59;1,26;2,02;0;0;2;3;3;0;3;0;5,49;0;
DALLA BERNARDINA ;1136;44;39;90;64;182;4,16;23,23;0;38,67;22,03;0;16,3;00:26:03;1,94;3,4;7,91;5,67;15,99;3,41;2;13;43;21;0;21;38,71;31,52;0;
DEMARCUS ;173;7;0;3;1;1;0,54;4,83;0;0,97;0,53;0;0;00:26:03;0,3;0,56;1,85;0,66;0,4;0;0;0;1;0;0;0;0;1,32;0;
DORATIOTTO ;628;24;0;17;13;21;2,03;8,87;0;6,7;2,4;0;2,65;00:26:03;0,38;1,07;2,65;2,01;3,33;0,07;0;0;7;5;0;5;0,47;7,83;0;
LA ROSA ;799;31;0;53;34;57;2,79;17,6;0;18,23;8,58;0;0,72;00:26:03;1,07;2,28;6,67;4,31;7,12;0;3;2;25;19;0;19;0;15,86;0;
LELLA ;460;18;4;21;14;27;1,54;12,95;0;9,48;3,46;0;3,82;00:26:03;0,75;2,06;4,46;3,07;5,77;0,83;2;4;8;6;0;6;3,84;14,14;0;
MANCA;370;14;0;5;2;1;1,15;4,88;0;1,16;0,47;0;0;00:26:03;0,13;0,31;1,23;0,54;0,16;0;0;0;0;0;0;0;0;0,68;0;
MASTINO;224;9;0;1;0;0;0,68;2,46;0;0;0;0;0;00:26:03;0;0;0,3;0,09;0;0;0;0;0;0;0;0;0;0;0;
MURONI;516;20;8;24;18;44;1,75;13,96;0;9,08;4,05;0;3,31;00:26:03;0,78;1,76;4,67;3,49;8,44;1,5;0;2;11;8;0;8;7,73;18,18;0;
OGUNSEYE;458;18;0;38;32;53;1,68;23,76;0;15,5;13,5;0;2,63;00:26:03;2,95;3,39;8,35;6,93;11,63;0;4;3;26;18;0;18;0;25,86;0;
PARIGI;951;36;10;77;61;115;3,49;23,58;0;32,38;21,87;0;12,41;00:26:03;2,3;3,41;8,1;6,45;12,14;1,03;9;5;22;28;0;28;2,5;25,78;0;
PENNINGTON;585;22;14;22;16;45;1,94;11,57;0;8,04;4,23;0;3,34;00:26:03;0,72;1,37;3,8;2,73;7,7;2,42;1;3;7;5;0;5;14,17;15,67;0;
PISANO;743;29;12;57;45;93;2,68;21,69;0;19,49;14,22;0;7,79;00:26:03;1,92;2,62;7,67;6,04;12,53;1,63;4;3;21;17;0;17;12,08;25,52;0;
PITZALIS;588;23;0;54;30;27;2,1;19,93;0;20,66;10,21;0;0,51;00:26:03;1,74;3,51;9,13;5,11;4,6;0;1;0;33;15;0;15;0;12,39;0;
VALLOCCHIA;425;16;0;22;17;18;1,45;14,39;0;8,45;6,33;0;0,76;00:26:03;1,49;1,99;5,23;3,91;4,22;0;2;4;12;13;0;13;0;11,2;0;
VERDE;427;16;0;21;16;23;1,45;14,41;0;8,91;5,35;0;0,92;00:26:03;1,25;2,09;4,95;3,71;5,27;0;2;3;15;9;0;9;0;13,58;0;
ZUGARO;199;8;0;1;1;1;0,61;2,64;0;0,4;0;0;0;00:26:03;0;0,2;0,66;0,27;0,42;0;0;0;1;0;0;0;0;1,09;0;
