;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;490;26;7;19;14;32;2,31;12,87;0,55;6,04;4,35;0;2,79;00:18:32;0,88;1,22;3,78;2,93;6,53;1,41;1,42;1,58;7,58;5,42;0;5,42;6,14;14;0;
BIANCU;526;28;13;20;17;35;2,47;12,88;0;5,94;5,35;0;6,29;00:18:35;1,02;1,13;3,75;3,19;6,59;2,54;3;2;9;5;0;5;9,85;14,11;0;
DEMARCUS ;490;26;8;27;20;56;2,39;17,28;0;7,99;5,39;0;2,95;00:18:35;1,1;1,63;5,6;4,16;11,44;1,64;4;2;12;9;0;9;8,03;22,35;0;
DORATIOTTO ;470;25;7;14;13;24;2,16;10,18;0;4,94;3,29;0;1,01;00:18:35;0,7;1,05;3;2,73;5,04;1,4;2;2;7;4;0;4;6,58;10,62;0;
IOTTI;484;26;3;17;13;21;2,24;10,54;0;4,41;3,33;0;1,38;00:18:25;0,69;0,91;3,41;2,71;4,43;0,58;0;2;6;5;0;5;2,81;9,53;0;
LELLA ;514;28;4;17;13;26;2,42;12,34;0;6,71;5,09;0;2,57;00:18:29;0,99;1,3;3,25;2,45;5,01;0,81;1;3;7;4;0;4;4,17;11,72;0;
MANCA;468;25;6;23;17;41;2,26;14,96;0;7,19;4,45;0;3,15;00:18:25;0,95;1,54;4,89;3,66;8,76;1,28;0;2;8;5;0;5;6;18,14;0;
MURONI;481;26;18;20;15;40;2,27;13,4;0;6,33;4,8;0;3,11;00:18:35;1;1,32;4,17;3,19;8,32;3,67;2;0;5;8;0;8;17,65;16,2;0;
OGUNSEYE;432;23;0;10;10;16;1,97;9,73;0;3,58;3,03;0;1,42;00:18:35;0,7;0,83;2,43;2,42;3,72;0;1;0;3;2;0;2;0;8,78;0;
PARIGI;542;29;6;22;17;38;2,59;14,49;0;9,23;6,79;0;2,1;00:18:35;1,25;1,7;4,09;3,2;6,95;1,05;2;1;10;9;0;9;5,71;14,46;0;
PENNINGTON;466;25;4;13;9;21;2,14;9,02;0;2,96;2,52;0;0;00:18:24;0,54;0,63;2,86;1,97;4,44;0,82;0;0;8;4;0;4;3,8;9,55;0;
VALLOCCHIA;513;28;5;22;19;35;2,43;13,58;0;7,05;5,61;0;3,4;00:18:35;1,09;1,38;4,31;3,62;6,87;0,92;1;2;8;8;0;8;4,72;14,91;0;
VERDE;495;27;11;18;9;34;2,39;16;6,55;6,11;2,59;0;6,09;00:18:35;0,52;1,23;3,54;1,91;6,82;2,21;1;3;8;2;0;2;4,42;17,64;0;
