;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;374;54;4;40;32;54;5,51;29,94;0;15,86;12,58;0;4,08;00:06:53;3,17;4,11;10,43;8,32;13,42;0,92;4,82;4;17,76;17,71;0;17,71;3,67;27,44;0;
BIANCU;402;58;18;53;46;82;6,48;43,41;0;22,41;20,07;0;10,81;00:06:53;4,99;5,58;13,13;11,48;20,41;4,44;10;10;21;26;0;26;16,18;41,63;0;
DALLA BERNARDINA ;228;33;0;21;11;18;3,05;19,01;0;8,67;2,92;0;0,21;00:06:53;1,28;3,8;9,35;4,88;7,7;0;0;2;11;3;0;3;0;16,2;0;
DEMARCUS ;446;65;4;59;59;112;7,15;42,69;0;26,1;26,79;0;7,03;00:06:53;6,01;5,86;13,19;13,19;25,2;0,96;16;6;19;32;0;32;4,29;45,43;0;
DORATIOTTO ;351;51;0;27;18;20;4,74;19,94;0;10,22;5,76;0;0,24;00:06:53;1,64;2,91;7,78;5,1;5,77;0;1;1;14;12;0;12;0;13,59;0;
IOTTI;397;58;0;28;22;19;5,33;19,55;0;7,48;6,18;0;0,38;00:06:53;1,56;1,89;7,05;5,66;4,76;0;0;0;13;9;0;9;0;11,06;0;
LA ROSA ;245;36;0;23;15;5;3,27;18,72;0;6,06;2,75;0;0;00:06:53;1,12;2,47;9,18;6,24;2,12;0;0;0;5;6;0;6;0;5,46;0;
LELLA ;389;56;1;41;33;51;5,68;30,08;0;15,74;12,83;0;1,9;00:06:53;3,3;4,05;10,63;8,51;13,08;0,24;4;2;15;21;0;21;0,94;27,15;0;
MANCA;327;47;0;37;32;50;4,84;31,64;0;13,4;12,16;0;0,85;00:06:53;3,72;4,1;11,4;9,71;15,28;0;4;1;24;18;0;18;0;30,07;0;
MASTINO;400;58;1;48;41;62;6,11;35,99;0;15,7;16,84;0;2,8;00:06:53;4,22;3,93;12,11;10,15;15,62;0,23;5;6;26;26;0;26;0,91;31,2;0;
MURONI;221;32;1;18;14;17;3,06;23,47;0;6,22;4,49;0;0,87;00:06:53;2,04;2,82;8,24;6,2;7,55;0,64;2;2;8;8;0;8;1,42;18,07;0;
OGUNSEYE;416;60;11;49;38;79;6,37;36,14;0;21,59;17,86;0;6,03;00:06:53;4,29;5,19;11,77;9,24;19,04;2,59;9;5;21;17;0;17;10,76;37,86;0;
PARIGI;504;73;5;62;47;101;7,72;36,3;0;25,64;23,47;0;7,87;00:06:53;4,66;5,09;12,24;9,38;20,02;1,09;10;8;31;27;0;27;5,49;38,69;0;
PENNINGTON;393;57;0;24;18;33;5,21;17,71;0;7,6;5,61;0;0,42;00:06:53;1,43;1,93;6,22;4,63;8,28;0;1;1;9;10;0;10;0;16,64;0;
PISANO;400;58;19;57;48;82;6,39;42,23;0;26,52;20,89;0;15,48;00:06:53;5,23;6,64;14,32;11,92;20,61;4,68;8;8;22;24;0;24;18,72;41,54;0;
VALLOCCHIA;387;56;0;36;29;48;5,53;26,84;0;15,6;9,3;0;2,09;00:06:53;2,4;4,03;9,37;7,6;12,3;0;1;4;22;20;0;20;0;26,27;0;
VERDE;446;65;4;49;40;86;6,74;34,3;0;19,26;14,16;0;6,21;00:06:53;3,17;4,32;11,04;8,94;19,31;0,82;6;4;20;21;0;21;3,68;39,46;0;
ZUGARO;409;59;0;42;35;45;6,02;30,95;0;21,34;11,79;0;6,13;00:06:53;2,88;5,22;10,35;8,59;11,12;0;5;8;21;21;0;21;0;26,21;0;
