;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;612;62;26;50;46;115;6,12;25,18;0;19,55;18,81;0;10,07;00:09:50;2,87;2,92;7,63;7,08;17,02;3,88;4,65;5,41;19,35;18,41;0;18,41;20,99;31,66;0;
BIANCU;797;81;28;67;50;146;7,84;25,01;0;21,61;16,86;0;12,95;00:09:50;2,12;2,71;8,43;6,27;18,38;3,49;3;3;25;18;0;18;27,84;34,46;0;
DALLA BERNARDINA ;508;52;14;38;36;52;4,91;22,73;0;16,07;11,43;0;6,7;00:09:50;2,25;3,16;7,39;7,06;10,32;2,75;5;3;12;14;0;14;13,95;20,9;0;
DEMARCUS ;62;6;0;1;1;1;0,53;8,34;0;0,13;0,35;0;0;00:09:50;0,56;0,22;2,27;1,34;1,52;0;0;0;0;0;0;0;0;3,92;0;
DORATIOTTO ;618;63;3;39;32;72;5,86;20,44;0;13,93;9,58;0;3,11;00:09:50;1,55;2,25;6,23;5,11;11,68;0,53;3;7;17;12;0;12;3,25;23,8;0;
LA ROSA ;470;48;11;37;30;45;4,59;23,96;0;13,27;11,8;0;5,93;00:09:50;2,51;2,82;7,79;6,47;9,52;2,24;4;2;12;11;0;11;5,86;20,31;0;
LELLA ;809;82;40;82;72;184;8,68;36,3;0;33,09;35,96;0;19,93;00:09:50;4,44;4,09;10,16;8,85;22,79;4,96;16;10;27;40;0;40;40,18;42,61;0;
MANCA;806;82;48;75;67;188;8,38;32,16;0;31,8;24,86;0;21,69;00:09:50;3,08;3,95;9,37;8,35;23,33;5,95;7;10;28;21;0;21;41,57;42,98;0;
MASTINO;609;62;112;42;87;167;5,82;21,31;0;18,69;61,94;0;7,79;00:09:50;10,17;3,07;6,92;14,31;27,39;18,35;5;5;16;17;0;17;62,81;39,23;0;
MICELI;831;85;11;60;53;187;8,24;25,95;0;23,33;14,84;0;7,75;00:09:50;1,79;2,81;7,17;6,34;22,45;1,31;3;6;24;26;0;26;10,88;40,36;0;
MURONI;811;82;41;65;55;163;8,12;27,15;0;25,97;19,87;0;14,12;00:09:50;2,45;3,2;8,04;6,74;20,07;5,03;8;5;30;24;0;24;24,58;37,36;0;
OGUNSEYE;687;70;36;62;55;146;6,91;27,73;0;20,89;18,75;0;11,16;00:09:50;2,73;3,04;8,97;8,05;21,31;5,28;3;6;19;21;0;21;36,27;38,14;0;
PARIGI;650;66;35;57;50;128;6,54;27,96;0;20,55;20,3;0;8,16;00:09:50;3,13;3,16;8,76;7,76;19,69;5,37;6;8;25;21;0;21;30,75;35,93;0;
PENNINGTON;163;17;0;8;8;19;1,47;14,68;0;1,79;1,26;0;0;00:09:50;0,77;1,1;4,94;4,64;11,53;0,27;0;1;3;2;0;2;0,45;21,58;0;
PISANO;502;51;19;42;37;82;5,01;26,88;0;17,48;14,77;0;11,75;00:09:50;2,94;3,48;8,45;7,37;16,32;3,72;1;7;25;14;0;14;10,92;31,78;0;
VALLOCCHIA;710;72;30;69;58;144;7,51;34,38;0;33,2;22,76;0;21,16;00:09:50;3,2;4,68;9,66;8,15;20,29;4,17;6;13;29;30;0;30;29,58;40,81;0;
VERDE;676;69;9;54;52;124;6,79;27,65;0;18,93;17,67;0;8,54;00:09:50;2,61;2,8;8,04;7,76;18,28;1,36;5;5;16;26;0;26;9,19;35,06;0;
ZUGARO;697;71;9;50;41;101;6,88;25,37;0;21,63;16,76;0;10,39;00:09:50;2,4;3,1;7,1;5,82;14,52;1,26;4;1;21;16;0;16;8,78;29;0;
