;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1097;53;75;88;77;200;5,21;26,63;0,12;34,22;28,95;0;24,27;00:20:38;2,66;3,13;8,07;7,07;18,18;6,8;9,12;9,41;31,88;32,24;0;32,24;63,05;33,61;0;
BIANCU;1085;53;60;85;72;160;5,03;23,67;0;30,27;22,6;0;18,8;00:20:38;2,08;2,79;7,84;6,66;14,77;5,49;6;7;28;20;0;20;48,51;28,43;0;
DALLA BERNARDINA ;1230;60;107;77;72;212;5,6;21,27;0;28,68;22,33;0;19,85;00:20:38;1,81;2,33;6,3;5,89;17,24;8,71;4;3;19;25;0;25;100,93;30,08;0;
DEMARCUS ;988;48;135;116;101;244;5,08;37,07;0;44,53;45,42;0;49,06;00:20:38;4,6;4,51;11,78;10,18;24,72;13,65;20;16;42;46;0;46;126,38;43,37;0;
DORATIOTTO ;1044;51;47;92;75;162;4,97;26,79;0;36,12;28,31;0;21,38;00:20:38;2,71;3,46;8,81;7,14;15,5;4,52;11;7;36;30;0;30;44,41;30,91;0;
LA ROSA ;1130;55;56;64;64;187;5,17;21,95;0;25,25;23,88;0;14,13;00:20:38;2,11;2,24;5,67;5,68;16,59;4,95;5;7;15;25;0;25;48,47;29,69;0;
LELLA ;1281;62;100;112;99;252;6,2;28,98;0;44,86;42,35;0;39,16;00:20:38;3,31;3,5;8,71;7,69;19,69;7,82;13;14;35;40;0;40;81,39;36,27;0;
MANCA;1136;55;82;113;102;262;5,72;34,18;0;42,85;42,89;0;29,85;00:20:38;3,78;3,77;9,96;8,95;23,11;7,24;15;18;49;47;0;47;52,65;41,03;0;
MASTINO;830;40;44;68;59;156;4;28,47;0;26,63;25,78;0;20,34;00:20:38;3,11;3,21;8,19;7,08;18,82;5,29;12;9;28;28;0;28;38,59;35,37;0;
MICELI;1168;57;62;99;87;224;5,52;26,05;0;31,33;24,87;0;17,07;00:20:38;2,13;2,68;8,46;7,42;19,22;5,34;5;4;35;37;0;37;52,38;35,17;0;
MURONI;1129;55;52;93;70;176;5,25;24,11;0;35,3;22,8;0;18,7;00:20:38;2,02;3,13;8,23;6,19;15,6;4,58;6;8;33;28;0;28;46,57;30,29;0;
OGUNSEYE;1021;49;54;77;67;175;4,74;23,76;0;28,17;20,33;0;15,29;00:20:38;1,99;2,76;7,51;6,59;17,12;5,24;1;5;29;31;0;31;46,61;31,31;0;
PARIGI;1177;57;47;80;72;191;5,43;22,97;0;32,07;23,98;0;12,18;00:20:38;2,04;2,72;6,78;6,13;16,2;3,96;8;7;28;27;0;27;46,59;29,41;0;
PENNINGTON;980;48;25;65;55;130;4,51;22,67;0;22,31;24,99;0;11,49;00:20:38;2,55;2,28;6,61;5,59;13,23;2,52;7;3;27;21;0;21;20,07;25,37;0;
PISANO;986;48;83;86;74;172;4,77;29,15;0;38,23;30,49;0;28,52;00:20:38;3,09;3,88;8,68;7,5;17,43;8,4;11;15;27;36;0;36;62,47;34,21;0;
VALLOCCHIA;1148;56;104;103;97;235;5,63;30,84;2,01;44,67;38,16;0;36,41;00:20:38;3,32;3,89;9;8,42;20,45;9,09;14;11;43;44;0;44;71,03;38,09;0;
VERDE;1135;55;74;89;76;207;5,34;25,5;0;39,66;23,52;0;23,46;00:20:38;2,07;3,5;7,82;6,68;18,29;6,51;8;16;41;37;0;37;69,26;35,1;0;
ZUGARO;1190;58;146;81;76;251;5,59;25,36;0;30,73;29,36;0;36,81;00:20:38;2,47;2,58;6,78;6,39;21,1;12,27;9;10;27;26;0;26;115,57;37,34;0;
