;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;740;67;43;50;45;129;6,38;21,21;1,75;17,19;16,34;0;12,59;00:11:04;1,96;2,07;6,08;5,42;15,27;4,92;4,59;3,76;16,47;17,82;0;17,82;31,03;27,85;0;
BIANCU;905;82;51;65;62;161;7,86;24,35;0;25,31;19,91;0;21,66;00:11:04;2,2;2,8;7,21;6,88;17,78;5,65;6;3;18;19;0;19;42,7;33,22;0;
DALLA BERNARDINA ;746;67;16;52;36;106;6,2;18,88;0;15,27;7,9;0;2,98;00:11:04;1,06;2,05;7;4,76;14,26;2,08;0;3;18;10;0;10;15,54;25,85;0;
DEMARCUS ;135;12;0;1;0;0;1,02;7,9;0;0;0;0;0;00:11:04;0;0;0,61;0,26;0;0;0;0;0;0;0;0;0;0;0;
DORATIOTTO ;768;69;9;43;41;106;6,45;20,12;0;13,18;13,58;0;5,45;00:11:04;1,77;1,72;5,61;5,28;13,8;1,22;5;1;16;14;0;14;9,35;26,16;0;
LA ROSA ;745;67;29;49;38;93;6,25;20,15;0;16,29;12,54;0;3,27;00:11:04;1,68;2,19;6,57;5,11;12,53;3,84;4;4;18;17;0;17;25,74;22,71;0;
LELLA ;979;88;74;72;72;206;8,72;27,51;0;24,76;28,49;0;20,71;00:11:04;2,91;2,53;7,34;7,36;21;7,52;10;4;24;26;0;26;55,66;37,18;0;
MANCA;916;83;52;61;57;165;7,91;23,6;0;20,5;21,27;0;9,67;00:11:04;2,32;2,24;6,69;6,2;18,01;5,72;5;4;14;25;0;25;41,81;32,1;0;
MASTINO;624;56;11;44;38;81;5,42;24,48;0;16,85;13,48;0;6,75;00:11:04;2,16;2,7;7,05;6,12;12,91;1,82;2;4;16;16;0;16;7,95;26,64;0;
MICELI;901;81;0;47;39;124;7,59;20,54;0;16,97;9,43;0;5,49;00:11:04;1,05;1,88;5,22;4,33;13,77;0,05;0;4;16;18;0;18;0,46;27,3;0;
MURONI;879;79;13;49;44;142;7,32;19,13;0;17,27;12,84;0;3,55;00:11:04;1,46;1,96;5,58;5,01;16,15;1,48;4;5;25;20;0;20;13,06;29,07;0;
OGUNSEYE;767;69;62;61;52;159;6,77;26,26;0;17,77;19,44;0;15,08;00:11:04;2,53;2,32;8;6,8;20,79;8,14;7;1;18;19;0;19;52,4;37,07;0;
PARIGI;855;77;77;65;65;189;7,69;28,82;4,1;26,78;24,4;0;26,32;00:11:04;2,85;3,13;7,58;7,64;22,07;9,03;6;10;25;26;0;26;53,16;39,23;0;
PENNINGTON;2;0;0;0;0;0;0,02;-0,02;0;0;0;0;0;00:11:04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
PISANO;679;61;41;45;39;117;5,79;22,13;3,45;17,53;19,62;0;13,31;00:11:04;2,89;2,58;6,58;5,71;17,23;6,06;7;7;19;15;0;15;29,63;31,11;0;
VALLOCCHIA;1015;92;161;75;74;253;8,97;26,47;17,96;23,55;29,02;0;37,86;00:11:04;2,86;2,32;7,39;7,24;24,93;15,86;9;9;19;35;0;35;85,55;41,48;0;
VERDE;835;75;82;67;62;158;7,39;26,74;4,3;19,53;31,89;0;23,72;00:11:04;3,82;2,34;8,05;7,47;18,95;9,86;9;2;16;22;0;22;54,15;34,57;0;
ZUGARO;830;75;44;57;50;128;7,16;23,43;0;20,72;14,02;0;18,19;00:11:04;1,69;2,49;6,81;6,02;15,45;5,34;4;3;18;21;0;21;40,33;29,84;0;
