;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;2526;47;159;185;145;416;4,43;22,64;6,87;70,02;46,02;0;41,89;00:54:14;1,8;2,73;7,27;5,65;16,14;6,1;13,18;19,09;69,64;59,09;0,18;59,09;117,2;30,11;0;
BIANCU;2981;55;121;211;165;456;5,19;22,12;0;76,02;47,36;0;36,7;00:54:14;1,59;2,55;7,09;5,52;15,31;4,05;14;19;64;60;0;60;103,29;29,08;0;
DEMARCUS ;1677;31;125;114;76;280;2,88;20,35;10,59;40,27;26,41;0;29,51;00:54:14;1,58;2,4;6,79;4,52;16,73;7,46;8;13;46;25;0;25;76,33;29,09;0;
DORATIOTTO ;2048;38;122;119;98;292;3,48;19,07;0,67;43,61;32,79;0;33,81;00:54:14;1,6;2,13;5,82;4,78;14,25;5,95;11;13;36;31;0;31;67,69;25,9;0;
LELLA ;3548;65;301;289;231;677;6,37;25,76;1,35;121,45;80,01;0;88,04;00:54:14;2,26;3,42;8,16;6,52;19,08;8,48;22;29;99;96;0;96;229,25;35,2;0;
MANCA;2736;50;191;228;176;516;4,91;25,72;0,67;93,75;51,81;0;53,27;00:54:14;1,89;3,43;8,33;6,42;18,87;6,97;16;28;101;76;0;76;161,23;35,08;0;
MICELI;2021;37;26;126;109;234;3,5;21,39;0;46,97;33,41;0;15,07;00:54:14;1,65;2,32;6,22;5,37;11,6;1,27;4;8;38;41;0;41;23,44;23,97;0;
MURONI;2624;48;129;220;165;419;4,66;24,48;37,18;88,7;46,01;0;38,35;00:54:14;1,75;3,38;8,37;6,3;15,95;4,9;15;34;104;87;1;87;67,07;30,68;0;
OGUNSEYE;2003;37;124;141;104;315;3,48;21,65;0;48,21;35,32;0;30,88;00:54:14;1,76;2,41;7,03;5,2;15,72;6,2;9;13;47;43;0;43;101,63;29,27;0;
PARIGI;2135;39;164;160;133;348;3,79;24,3;14,67;63,83;49,08;0;43,19;00:54:14;2,3;2,99;7,5;6,24;16,29;7,69;16;19;60;47;1;47;106,71;30,57;0;
VALLOCCHIA;4000;74;329;272;222;718;6,95;21,68;7,72;92,45;69,29;0;56,05;00:54:14;1,73;2,31;6,8;5,54;17,96;8,23;15;22;104;96;0;96;268,85;31,82;0;
VERDE;2013;37;118;159;116;318;3,52;22,49;2,69;54,94;34,7;0;35,97;00:54:14;1,72;2,73;7,89;5,78;15,82;5,87;15;12;67;48;0;48;83,7;30,5;0;
