;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1262;76;87;101;93;253;7,56;28,08;11,21;38,89;33,62;0;32,57;00:16:30;2,71;3,13;8,16;7,41;20,18;7,05;10,71;8,71;32,64;37,43;0,07;37,43;52,22;36,76;0;
BIANCU;1387;84;85;102;82;263;8,1;24,63;0;37,23;26,8;0;29,71;00:16:30;1,93;2,68;7,34;5,92;18,98;6,16;7;12;31;35;0;35;66,08;35,12;0;
DALLA BERNARDINA ;1309;79;41;94;87;232;7,62;24,19;0;32,15;26,43;0;14,46;00:16:30;2,02;2,46;7,16;6,61;17,74;3,16;6;6;29;32;0;32;29,83;32,36;0;
DEMARCUS ;758;46;54;78;67;172;4,69;32,06;13,75;25,22;25,26;0;20,9;00:16:30;3,33;3,32;10,27;8,85;22,7;7,08;9;3;22;24;0;24;23,87;39,87;0;
LA ROSA ;1236;75;43;88;76;201;7,22;24,62;0;32,92;21,93;0;19,14;00:16:30;1,77;2,66;7,14;6,15;16,28;3,46;6;5;23;28;0;28;30,42;31,08;0;
LELLA ;1205;73;88;121;110;266;7,62;34,83;0;48,87;46,13;0;44;00:16:30;3,83;4,06;10,01;9,15;22,04;7,31;14;12;38;38;0;38;58,4;40,57;0;
MANCA;1403;85;127;121;119;325;8,58;30,45;21,14;43,16;40,79;0;48,17;00:16:30;2,91;3,08;8,59;8,5;23,2;9,04;18;12;45;49;0;49;68,37;41,27;0;
MASTINO;1266;77;60;99;94;236;7,59;27,84;0;40,44;35,84;0;29,46;00:16:30;2,83;3,19;7,81;7,42;18,61;4,72;10;8;38;40;0;40;42,84;34,84;0;
MICELI;1543;93;43;99;106;295;9;24,44;0;31,17;32,81;0;13,7;00:16:30;2,13;2,02;6,43;6,86;19,11;2,76;10;5;25;39;0;39;41,52;33,74;0;
MURONI;1280;78;65;95;81;216;7,67;27,82;9,73;45,68;26,22;0;31,87;00:16:30;2,05;3,57;7,42;6,35;16,84;5,09;7;8;26;39;0;39;34,68;34,03;0;
OGUNSEYE;1179;71;91;105;87;224;7,2;30,24;14,21;44,16;38,27;0;41,89;00:16:30;3,24;3,74;8,86;7,38;18,96;7,68;11;13;34;33;0;33;43,88;35,95;0;
PARIGI;1259;76;63;100;98;259;7,63;29,28;0;40,75;38,44;0;26,21;00:16:30;3,05;3,24;7,92;7,75;20,61;4,99;12;9;32;46;0;46;55,77;37,56;0;
PISANO;1122;68;207;107;85;271;6,88;30,79;41,09;43,53;36,96;0;69,29;00:16:30;3,29;3,88;9,52;7,54;24,11;18,42;14;8;38;32;0;32;91,87;41,39;0;
VERDE;1286;78;115;117;108;307;7,82;29,68;0;44,99;35,72;0;39,02;00:16:30;2,78;3,5;9,11;8,37;23,86;8,95;15;11;43;46;0;46;81,76;42,13;0;
ZUGARO;1438;87;142;96;98;279;8,24;22,28;57,08;34,2;39,11;0;28,11;00:16:30;2,72;2,38;6,69;6,81;19,43;9,89;11;10;33;43;1;43;61,74;34,74;0;
