;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;437;54;42;12;8;45;4,59;9,26;2,55;4,44;1,9;0;4,69;00:08:03;0,42;1,01;2,71;1,88;10,07;9,52;0,36;0,57;2,71;1,43;0,07;1,43;22,92;16,4;0;
BIANCU;439;55;40;11;7;43;4,58;8,65;0;3,23;1,56;0;2,2;00:08:03;0,36;0,74;2,51;1,67;9,81;9,14;1;0;4;1;0;1;27,58;15,05;0;
DALLA BERNARDINA ;466;58;50;11;10;46;4,91;9,65;8,93;4,37;3,11;0;8,35;00:08:03;0,67;0,94;2,4;2,23;9,93;10,73;1;0;2;2;0;2;16,8;16,66;0;
DEMARCUS ;416;52;45;11;9;48;4,43;10,73;0;3,15;1,76;0;3,76;00:08:03;0,42;0,76;2,59;2,18;11,48;10,8;0;1;4;1;0;1;24,21;18,43;0;
LA ROSA ;472;59;50;15;10;55;5,01;10,64;0;5,97;3,48;0;4,8;00:08:03;0,74;1,27;3,27;2,05;11,67;10,66;1;1;1;2;0;2;27,26;18,72;0;
LELLA ;449;56;41;12;8;42;4,67;8,27;0;4,96;0,94;0;1,5;00:08:03;0,21;1,1;2,72;1,81;9,45;9,08;0;0;2;1;0;1;36,32;15;0;
MANCA;339;42;0;6;3;13;3,46;6,37;0;2,34;0,26;0;0,28;00:08:03;0,08;0,69;1,84;0,96;3,88;0;0;1;3;1;0;1;0;7,74;0;
MASTINO;446;55;56;11;9;52;4,73;10,35;17,77;4,54;2,87;0;12,51;00:08:03;0,64;1,02;2,56;1,92;11,73;12,51;1;0;4;2;1;2;13,03;18,94;0;
MICELI;415;52;42;10;8;42;4,35;8,98;0;3,68;0,84;0;2,24;00:08:03;0,2;0,89;2,48;1,81;10,17;10;0;1;3;1;0;1;38,15;16,01;0;
MURONI;424;53;47;12;7;46;4,44;8,83;0;5,25;1,37;0;4,84;00:08:03;0,32;1,24;2,88;1,67;10,9;11,06;0;1;3;1;0;1;27,85;17,43;0;
OGUNSEYE;461;57;46;13;8;46;4,81;8,61;0;3,81;1,05;0;4,06;00:08:03;0,23;0,83;2,77;1,81;10,07;10;0;1;1;0;0;0;21,79;15,91;0;
PARIGI;492;61;51;15;10;57;5,19;9,94;0,67;6,07;3,59;0;7,15;00:08:03;0,73;1,23;3,06;1,99;11,53;10,4;1;2;3;2;0;2;20,36;18,48;0;
PISANO;424;53;48;17;11;46;4,53;10,96;8,33;6,82;2,58;0;8,72;00:08:03;0,61;1,61;4,01;2,65;10,84;11,25;0;0;2;2;0;2;19,8;18,74;0;
VERDE;427;53;35;12;8;41;4,51;9,86;0;4,8;1,96;0;2,83;00:08:03;0,46;1,12;2,84;1,78;9,7;8,1;0;0;3;3;0;3;21,13;16,98;0;
ZUGARO;451;56;43;9;8;44;4,67;7,85;0;3,18;1,22;0;2,4;00:08:03;0,27;0,7;2,05;1,75;9,85;9,61;0;0;3;1;0;1;26,59;15,49;0;
