;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;2129;69;274;144;134;530;6,6;24,19;24,42;50,86;47,52;0;58,66;00:30:58;2,25;2,39;6,81;6,33;24,68;12,78;15,18;10,53;41,53;46,41;0,59;46,41;184,72;40,27;0;
BIANCU;2173;70;313;161;151;576;6,83;25,76;38,19;58,2;56,58;0;96,66;00:30:58;2,6;2,68;7,4;6,96;26,52;14,39;16;13;33;52;0;52;176,49;43,27;0;
DALLA BERNARDINA ;2094;68;119;129;121;422;6,36;21,55;10,25;40,78;37,8;0;23,62;00:30:58;1,81;1,95;6,17;5,78;20,13;5,7;9;6;38;32;0;32;86,5;33,37;0;
DEMARCUS ;2077;67;228;153;145;501;6,5;25,22;0;49,31;48,48;0;43,5;00:30:58;2,33;2,37;7,38;6,97;24,12;10,96;19;8;44;46;0;46;185,26;39,82;0;
DORATIOTTO ;1971;64;249;133;120;455;6,05;22,95;32,06;48,27;34,78;0;51,41;00:30:58;1,76;2,45;6,73;6,1;23,11;12,66;10;6;39;38;2;38;167,42;38,59;0;
LA ROSA ;2214;71;189;122;110;469;6,59;19,23;0;37,57;30,99;0;22,98;00:30:58;1,4;1,7;5,5;4,99;21,17;8,53;6;5;31;37;0;37;178,47;34,92;0;
LELLA ;2304;74;352;194;186;659;7,5;30,28;42,8;76,54;76,34;0;98,17;00:30:58;3,31;3,32;8,42;8,08;28,61;15,29;25;19;63;57;1;57;205,21;46,86;0;
MANCA;1640;53;328;135;128;499;5,31;29,66;48,22;47,03;49,03;0;81,08;00:30:58;2,99;2,87;8,21;7,82;30,44;19,99;18;12;35;44;1;44;168,67;48,15;0;
MASTINO;1649;53;129;118;106;309;5,17;25,46;14;44,24;42,82;0;38,8;00:30:58;2,6;2,68;7,19;6,41;18,74;7,85;16;6;35;49;0;49;63,84;33,86;0;
MICELI;2511;81;222;162;152;675;7,76;23,75;0;50,78;53,89;0;35,13;00:30:58;2,15;2,02;6,45;6,07;26,87;8,83;18;8;40;57;0;57;177,2;42,76;0;
MURONI;2480;80;294;139;117;589;7,44;20,07;0,67;55,97;34,19;0;35,86;00:30:58;1,38;2,26;5,59;4,73;23,74;11,86;15;18;53;53;0;53;256,5;38,71;0;
OGUNSEYE;2277;73;377;179;169;616;7,21;26,67;59,72;64,51;66,35;0;95,71;00:30:58;2,91;2,83;7,86;7,44;27,05;16,58;17;12;40;51;1;51;235,94;43,53;0;
PARIGI;1956;63;274;154;141;515;6,27;28,35;0,68;57,51;60,06;0;60,24;00:30:58;3,07;2,94;7,87;7,21;26,3;14,02;23;7;45;47;0;47;201,26;43,26;0;
PISANO;2240;72;369;144;144;578;6,92;23,65;81,87;48,83;53,2;0;84,97;00:30:58;2,37;2,18;6,42;6,42;25,81;16,48;16;12;49;52;3;52;192;40,6;0;
PITZALIS;2334;75;372;136;133;579;7,11;21,99;75,83;48,17;45,79;0;83,42;00:30:58;1,96;2,06;5,81;5,69;24,79;15,93;8;11;37;39;2;39;190,18;39,36;0;
VALLOCCHIA;2310;75;496;168;168;809;7,34;27,14;10,21;60,89;65,02;0;72,51;00:30:58;2,81;2,64;7,29;7,26;35;21,46;21;16;56;64;0;64;373,47;52,42;0;
VERDE;2312;75;242;134;112;507;6,95;20,31;0;49,27;27,73;0;48,81;00:30:58;1,2;2,13;5,81;4,84;21,92;10,47;12;15;46;46;0;46;197,35;37,62;0;
ZUGARO;1645;53;102;92;81;251;4,9;19,23;0,67;26,81;24,77;0;24,35;00:30:58;1,51;1,63;5,61;4,95;15,27;6,19;9;5;22;25;0;25;84,46;27,45;0;
