;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1234;78;305;93;65;429;7,44;22,37;7,1;35,51;15,05;0;28,34;00:15:43;1,21;2,88;7,5;5,25;34,74;24,68;1,61;9,61;37,11;13,78;0,17;13,78;201,37;51,77;0;
BIANCU;1205;77;332;98;74;449;7,32;23,38;14,91;34,9;11,21;0;39,43;00:15:43;0,93;2,9;8,12;6,11;37,25;27,58;0;9;39;13;0;13;133,5;55,02;0;
DALLA BERNARDINA ;1271;81;340;84;85;460;7,78;24,25;86,26;32,63;22,93;0;35,96;00:15:43;1,8;2,57;6,58;6,7;36,22;26,75;4;11;31;17;3;17;131,87;51,25;0;
DEMARCUS ;1232;78;402;106;85;529;7,64;25,94;0;38,42;18,03;0;27,58;00:15:43;1,46;3,12;8,63;6,91;42,94;32,61;3;13;43;24;0;24;292,82;61,31;0;
DORATIOTTO ;1190;76;322;103;61;427;7,27;24,08;0;42,25;11,95;0;35,59;00:15:43;1;3,55;8,66;5,13;35,87;27,03;1;14;45;12;0;12;234,07;54,93;0;
LA ROSA ;1275;81;306;91;52;452;7,52;19,84;0,67;34,76;11,08;0;22,81;00:15:43;0,87;2,73;7,13;4,07;35,48;23,99;0;6;30;8;0;8;173,03;52,75;0;
LELLA ;1305;83;320;99;83;468;7,99;24,33;13,8;42,01;22,5;0;35,69;00:15:43;1,72;3,22;7,59;6,36;35,83;24,52;4;7;37;23;0;23;147,92;53,14;0;
MANCA;1256;80;326;104;60;442;7,52;21,68;2,02;36,59;10,52;0;31,85;00:15:43;0,84;2,91;8,29;4,79;35,16;25,96;1;7;34;14;0;14;231,98;52,4;0;
MASTINO;1252;80;364;108;83;480;7,77;25,99;6,09;40,32;26,51;0;41,32;00:15:43;2,12;3,22;8,61;6,61;38,35;29,1;5;15;46;25;0;25;230,18;56,19;0;
MICELI;1262;80;296;97;61;393;7,61;22,44;0,67;36,7;14,66;0;37,35;00:15:43;1,16;2,91;7,66;4,81;31,14;23,49;1;13;30;9;0;9;198,5;48,51;0;
MURONI;1229;78;288;86;49;406;7,25;19,84;0;32,48;7,54;0;17,92;00:15:43;0,61;2,64;7;4,02;33;23,41;0;11;45;6;0;6;212,26;49,77;0;
OGUNSEYE;1188;76;287;81;61;378;7,12;21,82;0;32,29;17,05;0;22,33;00:15:43;1,44;2,72;6,82;5,16;31,83;24,17;1;9;33;11;0;11;188,06;47,95;0;
PARIGI;1276;81;320;104;76;480;7,75;23,39;0;35,03;16,86;0;27,91;00:15:43;1,32;2,75;8,12;5,97;37,63;25,1;2;6;46;14;0;14;252,57;54,67;0;
PENNINGTON;1224;78;231;75;54;400;7,19;19,36;0;28,08;11,35;0;11,57;00:15:43;0,93;2,29;6,15;4,39;32,64;18,89;0;7;34;4;0;4;217,36;48,39;0;
PISANO;1199;76;334;90;65;452;7,24;22,55;3,39;34,19;11,31;0;33,43;00:15:43;0,94;2,85;7,47;5,39;37,66;27,88;0;8;37;13;0;13;170,89;55,14;0;
PITZALIS;1230;78;218;78;66;394;7,35;21,29;0;28,72;20,87;0;13;00:15:43;1,7;2,33;6,36;5,39;32,04;17,72;5;4;27;19;0;19;167,09;47,12;0;
VALLOCCHIA;1162;74;222;75;47;325;6,81;19,16;0;31,26;10,41;0;13,13;00:15:43;0,9;2,69;6,46;4,03;28;19,12;0;9;37;9;0;9;179,22;43,45;0;
VERDE;1230;78;313;108;56;426;7,47;23,31;0;47,79;12,46;0;34,9;00:15:43;1,01;3,89;8,75;4,54;34,59;25,41;1;13;41;14;0;14;232,86;53,82;0;
ZUGARO;1227;78;263;80;52;366;7,25;19,97;0;30,71;13,62;0;28,4;00:15:43;1,11;2,5;6,53;4,22;29,79;21,45;1;11;33;13;0;13;230,49;46,04;0;
