;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;768;80;13;66;46;166;7,67;23,73;0;24,72;11,85;0;5,69;00:09:36;1,52;3,21;8,48;5,97;21,32;1,57;3,88;7,47;33;19,94;0;19,94;12,82;37,87;0;
BIANCU;780;81;0;68;53;186;7,76;23,41;0;25,53;10,3;0;1,4;00:09:36;1,32;3,27;8,78;6,79;23,87;0;3;9;37;18;0;18;0;40,73;0;
DALLA BERNARDINA ;799;83;5;65;54;163;7,97;23,82;0;19,2;16,46;0;2,52;00:09:36;2,06;2,4;8,16;6,8;20,39;0,63;3;4;24;19;0;19;5,05;35,05;0;
DEMARCUS ;756;79;38;76;70;231;8,04;32,14;0;32,9;19,63;0;12,41;00:09:36;2,6;4,35;10,08;9,3;30,56;5,06;5;14;44;32;0;32;38,2;50,52;0;
DORATIOTTO ;752;78;11;67;40;167;7,42;22,6;0;22,04;8,7;0;4,95;00:09:36;1,16;2,93;8,87;5,33;22,26;1,5;7;6;34;20;0;20;11,26;39,37;0;
LA ROSA ;937;98;58;88;58;261;9,42;24,73;0;26,3;13,99;0;13,16;00:09:36;1,49;2,81;9,37;6,15;27,83;6,16;4;8;41;20;0;20;57,73;46,58;0;
LELLA ;782;81;23;68;57;178;8,02;27,26;0;30,31;14,31;0;13,12;00:09:36;1,83;3,87;8,71;7,23;22,8;2,88;1;7;28;24;0;24;22,54;41,42;0;
MANCA;793;83;16;71;50;212;8;25,13;0;28,87;15,32;0;4,22;00:09:36;1,93;3,64;8,97;6,28;26,68;1,97;8;13;42;23;0;23;15,65;44,22;0;
MASTINO;801;83;28;65;57;221;8,1;25,5;0;19,23;20,7;0;4,12;00:09:36;2,59;2,4;8,08;7,16;27,62;3,51;8;3;27;28;0;28;28,08;44,23;0;
MICELI;802;83;26;80;54;200;8,38;29,76;0;37;13,76;0;17,28;00:09:36;1,72;4,61;10,01;6,69;25;3,22;3;17;41;14;0;14;25,8;46,47;0;
MURONI;707;74;0;53;29;100;6,75;18,63;0;19,84;6,86;0;2,11;00:09:36;0,97;2,81;7,53;4,08;14,17;0;2;6;32;16;0;16;0;27,87;0;
OGUNSEYE;745;78;4;63;37;154;7,31;21,69;0;23,03;7,72;0;4,67;00:09:36;1,04;3,09;8,46;4,95;20,69;0,49;2;5;26;14;0;14;3,62;37,31;0;
PARIGI;802;83;0;78;45;166;7,94;22,89;0;31,03;11,32;0;2,18;00:09:36;1,41;3,87;9,75;5,58;20,65;0;4;6;35;22;0;22;0;37,95;0;
PENNINGTON;691;72;0;45;27;108;6,67;19,7;0;15,97;5,76;0;2,25;00:09:36;0,83;2,31;6,54;3,94;15,68;0;4;4;28;14;0;14;0;29,71;0;
PITZALIS;709;74;0;48;30;86;6,83;19,46;0;22,17;7,71;0;2,73;00:09:36;1,09;3,13;6,78;4,21;12,18;0;1;10;28;13;0;13;0;25,26;0;
VALLOCCHIA;680;71;0;50;30;97;6,46;18;0;16,73;4,44;0;0,69;00:09:36;0,65;2,46;7,33;4,38;14,32;0;1;4;23;13;0;13;0;27,09;0;
VERDE;751;78;0;69;44;141;7,43;22,8;0;26,91;9,24;0;3,8;00:09:36;1,23;3,58;9,17;5,79;18,71;0,06;4;7;39;18;0;18;0,45;35,1;0;
ZUGARO;778;81;10;59;53;149;7,88;25,85;0;23,24;15,18;0;5,11;00:09:36;1,95;2,99;7,58;6,78;19,13;1,22;6;4;32;31;0;31;9,51;34,94;0;
