;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;353;59;10;10;5;20;5,03;9,53;0;1,92;0,63;0;0,65;00:05:57;0,18;0,54;2,72;1,48;5,72;2,7;0;0,22;1,89;0,5;0;0,5;9,08;10,08;0;
BIANCU;293;59;0;3;2;3;4,88;7,02;0;0,5;0,22;0;0;00:04:58;0,07;0,17;1,03;0,85;1,09;0;0;0;0;0;0;0;0;2,22;0;
DEMARCUS ;366;61;9;11;7;22;5,2;10,54;0;2,23;1,17;0;0;00:06:00;0,32;0,61;2,91;1,83;6,11;2,33;0;1;4;0;0;0;8,51;10,64;0;
DORATIOTTO ;337;56;2;6;5;15;4,71;8,64;0;0,81;0,74;0;0;00:06:00;0,22;0,24;1,73;1,54;4,53;0,54;0;0;1;0;0;0;1,82;7,29;0;
GOZZI;330;55;10;11;6;18;4,69;10,41;0;2,57;0,86;0;2;00:06:00;0,26;0,78;3,35;1,91;5,54;3,09;0;0;1;0;0;0;10,18;10,84;0;
LA ROSA ;354;59;9;9;5;23;4,99;9,43;0;2,97;0,79;0;0,28;00:06:00;0,22;0,84;2,51;1,38;6,57;2,61;0;1;4;2;0;2;9,25;10,74;0;
LELLA ;385;64;9;13;9;22;5,48;10,59;0;3,48;1,46;0;0,71;00:06:00;0,38;0,9;3,33;2,24;5,69;2,46;0;0;2;1;0;1;9,46;11,37;0;
MANCA;360;60;8;8;4;24;5,07;9,38;0;1,98;0,45;0;0;00:06:00;0,13;0,55;2,22;1,19;6,71;2,34;0;0;1;0;0;0;8,41;11,1;0;
MASTINO;359;60;23;8;5;28;5,06;9,45;0;1,38;0,24;0;1,33;00:06:00;0,07;0,39;2,25;1,41;7,94;6,34;0;0;2;0;0;0;18,78;12,68;0;
MICELI;330;55;8;8;4;17;4,65;9,65;0;1,68;0,72;0;0,44;00:06:00;0,22;0,51;2,28;1,32;5,18;2,31;0;0;1;2;0;2;7,61;9,45;0;
MURONI;343;57;15;14;5;22;4,86;9,98;0;2,32;0,29;0;1,38;00:06:00;0,09;0,68;3,99;1,47;6,28;4,45;0;0;4;1;0;1;11,28;11,32;0;
OGUNSEYE;357;59;9;7;5;22;4,98;8,39;0;1,16;0,12;0;0,41;00:06:00;0,03;0,33;2,06;1,36;6,2;2,45;0;0;2;0;0;0;8,75;9,98;0;
PARIGI;372;62;5;9;5;21;5,23;9,14;0;0,86;0,51;0;0,39;00:06:00;0,14;0,23;2,42;1,47;5,77;1,24;0;0;1;0;0;0;4,6;9,88;0;
PENNINGTON;377;63;12;12;4;24;5,28;8,87;0;2,53;0,19;0;0,77;00:06:00;0,05;0,67;3,22;1,05;6,27;3,22;0;0;4;0;0;0;12,14;11,48;0;
PISANO;333;55;14;12;6;25;4,78;11,36;0;2,18;0,89;0;0;00:06:00;0,27;0,65;3,71;1,85;7,53;4,29;0;1;2;2;0;2;14,31;13,3;0;
PITZALIS;373;62;7;12;7;19;5,32;10,88;0;2,19;0,79;0;0,39;00:06:00;0,21;0,59;3,12;1,9;4,99;1,87;0;0;2;0;0;0;6,96;8,54;0;
VALLOCCHIA;359;60;7;10;5;19;5,06;9,44;0;1,56;0,38;0;0;00:06:00;0,11;0,44;2,7;1,38;5,29;1,96;0;0;0;0;0;0;7,02;9,13;0;
VERDE;359;60;15;13;6;20;5,1;10,14;0;3,15;0,59;0;3,17;00:06:00;0,16;0,88;3,59;1,66;5,63;4,19;0;1;2;1;0;1;15,04;11,65;0;
ZUGARO;369;61;9;8;3;18;5,13;7,86;0;0,96;0,83;0;0,42;00:06:00;0,22;0,26;2,18;0,79;4,91;2,52;0;0;1;0;0;0;9,29;8,41;0;
