;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1090;73;65;83;76;233;7,16;26,59;0,47;31,25;26,78;0;19,35;00:14:54;2,49;2,93;7,78;7;21,02;6,29;8,94;7,75;29,81;31,88;0;31,88;55,1;37,71;0;
BIANCU;1304;87;138;97;80;295;8,49;25,47;0;43,84;25,32;0;28,5;00:14:54;1,94;3,36;7,44;6,12;22,65;10,58;7;12;30;27;0;27;122,99;40,6;0;
DEMARCUS ;518;35;30;48;41;108;3,44;27,8;0;18,64;14,49;0;7,77;00:14:54;2,8;3,6;9,35;7,95;20,77;5,88;4;6;30;22;0;22;17,5;37,71;0;
GOZZI;1130;76;68;70;71;250;7,27;23,99;0;19,62;26,07;0;10,35;00:14:54;2,31;1,74;6,19;6,24;22,12;6,04;10;3;20;31;0;31;50,28;36,51;0;
LA ROSA ;1107;74;8;80;56;154;7,03;22,26;0;27,04;17,46;0;8,88;00:14:54;1,58;2,44;7,25;5,05;13,89;0,72;7;6;22;20;0;20;7,94;28,02;0;
LELLA ;1144;77;53;101;91;232;7,74;30,3;0;38,55;35,77;0;21,65;00:14:54;3,13;3,37;8,81;7,96;20,3;4,59;10;11;40;43;0;43;42,11;37,81;0;
MANCA;1234;83;39;101;80;232;8,17;27,53;0;45,44;23,07;0;18,59;00:14:54;1,87;3,68;8,2;6,46;18,8;3,14;9;14;44;39;0;39;37,07;37,12;0;
MASTINO;1143;77;71;97;92;277;7,74;30,4;0;41,09;36,97;0;21,31;00:14:54;3,23;3,59;8,45;8,02;24,26;6,2;18;15;46;38;0;38;70,95;42,52;0;
MICELI;1450;97;40;90;102;349;9,45;25,51;0;31,01;34,57;0;13,56;00:14:54;2,38;2,14;6,23;7,04;24,1;2,77;12;6;25;51;0;51;39,65;40,77;0;
MURONI;1526;102;62;112;100;372;9,98;25,93;0;38,69;29,61;0;19,89;00:14:54;1,94;2,54;7,34;6,55;24,4;4,06;9;11;38;44;0;44;53,34;42,82;0;
PARIGI;610;41;44;46;41;107;3,91;23,5;1,34;15,62;13,25;0;10,76;00:14:54;2,17;2,56;7,47;6,78;17,48;7,16;4;1;12;19;0;19;19,1;31,18;0;
PENNINGTON;1381;93;66;86;85;275;8,82;23,02;0;32,61;25,19;0;23,34;00:14:54;1,82;2,36;6,26;6,19;19,9;4,79;6;7;31;25;0;25;59,89;35,63;0;
PISANO;959;64;115;97;87;223;6,67;33,95;2,72;38,41;39,79;0;43,72;00:14:54;4,15;4;10,12;9,1;23,27;12,01;14;6;33;37;0;37;87,59;42,21;0;
PITZALIS;989;66;107;82;81;225;6,6;28,72;0;29,74;32,9;0;30,22;00:14:54;3,33;3,01;8,27;8,22;22,77;10,86;7;8;31;28;0;28;95,97;39,91;0;
VALLOCCHIA;1070;72;33;85;72;189;6,99;25,9;0;28,08;21,93;0;13,18;00:14:54;2,05;2,62;7,94;6,7;17,69;3,12;8;8;33;31;0;31;33,42;33,02;0;
VERDE;543;36;52;46;33;101;3,51;24,58;3,38;18,82;10,67;0;17,79;00:14:54;1,96;3,46;8,38;6,08;18,62;9,66;3;4;14;14;0;14;35,06;35,59;0;
ZUGARO;1326;89;119;91;100;336;8,72;26,64;0;32,74;41,36;0;20,16;00:14:54;3,12;2,47;6,83;7,51;25,31;8,97;15;6;28;41;0;41;108,8;41,98;0;
