;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;733;72;63;54;50;160;7,02;25,47;2,97;19,92;19,38;0;15,6;00:10:10;2,56;2,69;7,29;6,62;20,6;7,82;7,16;3,68;16,37;18,84;0,11;18,84;44,79;35,58;0;
BIANCU;852;84;72;69;67;224;8,42;29,94;0;22,72;26,32;0;20,76;00:10:10;3,09;2,67;8,1;7,87;26,29;8,44;11;5;15;27;0;27;68,52;44,6;0;
DALLA BERNARDINA ;770;76;103;59;51;188;7,35;25,43;4,06;20,68;16,27;0;23,05;00:10:10;2,11;2,68;7,62;6,56;24,44;13,39;1;4;20;13;0;13;66,88;40,51;0;
DEMARCUS ;977;96;64;67;70;256;9,48;27,53;0;20,04;33,1;0;14,53;00:10:10;3,39;2,05;6,86;7,14;26,19;6,57;15;5;21;29;0;29;58,51;42,79;0;
DORATIOTTO ;752;74;29;51;48;132;7,05;23,22;0;17,33;15,38;0;11,07;00:10:10;2,04;2,3;6,74;6,4;17,5;3,8;5;4;14;24;0;24;13,43;32,07;0;
GOZZI;559;55;16;43;37;101;5,32;25,05;0;10,69;14,68;0;2,91;00:10:10;2,62;1,91;7,69;6,53;18,02;2,8;4;1;10;12;0;12;15,67;31,5;0;
LA ROSA ;653;64;10;43;32;83;6;20,77;0;17,61;12,26;0;3,18;00:10:10;1,88;2,7;6,64;4,91;12,67;1,51;2;0;5;7;0;7;9,87;23,65;0;
LELLA ;828;81;60;62;59;181;8,14;29,27;0;26,18;29,4;0;15,78;00:10:10;3,55;3,16;7,54;7,17;21,9;7,22;18;5;26;27;0;27;58,67;38,75;0;
MANCA;916;90;161;74;69;246;8,96;28,57;6,16;27,13;24,02;0;33,64;00:10:10;2,62;2,96;8,06;7,56;26,89;17,54;7;4;24;26;0;26;108,71;44,12;0;
MASTINO;526;52;20;35;26;81;4,82;20,37;0;11,3;10,07;0;4,17;00:10:10;1,91;2,15;6,64;4,89;15,36;3,88;2;1;14;11;0;11;17,63;26,76;0;
MICELI;494;49;0;35;24;46;4,51;20,18;0;12,89;10,55;0;0,46;00:10:10;2,14;2,61;7;4,9;9,41;0;6;3;17;14;0;14;0;19,62;0;
MURONI;653;64;15;47;40;101;6,19;24,64;0;19,62;15,09;0;6,9;00:10:10;2,31;3;7,25;6,16;15,53;2,37;4;6;19;19;0;19;15,46;30,36;0;
OGUNSEYE;774;76;71;60;59;186;7,51;27,6;0,68;22,6;20,89;0;20,93;00:10:10;2,7;2,92;7,72;7,62;24,03;9,24;7;3;15;14;0;14;45,67;40,43;0;
PARIGI;836;82;127;72;67;196;8,27;30,07;0,67;33,42;23,58;0;30,08;00:10:10;2,82;4;8,58;8;23,44;15,14;8;6;17;24;0;24;74,09;40,62;0;
PENNINGTON;929;91;112;54;63;239;8,79;24,35;21,71;20,77;25,44;0;20,03;00:10:10;2,74;2,24;5,78;6,8;25,74;12,06;9;1;16;20;1;20;58,68;40,96;0;
PISANO;392;39;16;25;23;41;3,6;20,75;0;8,47;6,44;0;4,83;00:10:10;1,64;2,16;6,43;5,82;10,33;4,07;1;1;6;5;0;5;15,42;21,03;0;
PITZALIS;528;52;37;34;29;76;4,86;21,08;23,1;13,2;12,97;0;14,14;00:10:10;2,46;2,5;6,38;5,47;14,44;6,92;3;4;12;8;1;8;5,45;25,94;0;
VALLOCCHIA;816;80;113;66;68;233;8,07;30,02;0;27,31;26,56;0;20,45;00:10:10;3,26;3,35;8,11;8,36;28,57;13,79;13;7;22;26;0;26;98,78;47,03;0;
VERDE;946;93;97;72;59;240;9,1;26,38;0;22,41;26,49;0;27,2;00:10:10;2,8;2,37;7,59;6,22;25,34;10,2;10;1;15;25;0;25;73,63;42,53;0;
ZUGARO;713;70;68;56;53;181;6,99;28,75;0;24,17;18,61;0;22,24;00:10:10;2,61;3,39;7,86;7,43;25,37;9,55;10;9;23;27;0;27;45,96;42,68;0;
