;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1426;75;82;90;88;323;7,22;24,79;0,63;35,06;31,22;0;19,09;00:19:05;2,18;2,46;6,29;6,16;22,53;5,71;12,5;9,3;32;42,5;0;42,5;68,27;38,55;0;
DALLA BERNARDINA ;1239;65;90;73;65;221;6,09;21,69;2,01;27,02;21,85;0;17,88;00:19:10;1,76;2,18;5,92;5,23;17,81;7,27;4;7;26;26;0;26;66,52;31,3;0;
DEMARCUS ;1368;71;84;111;116;369;7,32;32,5;0;43,49;44,67;0;20;00:19:10;3,27;3,18;8,08;8,46;26,98;6,11;28;12;45;70;0;70;80,19;45,84;0;
DORATIOTTO ;1412;74;27;73;56;227;6,76;18,51;0;26,01;14,01;0;9,25;00:19:10;0,99;1,84;5,14;3,98;16,04;1,9;2;7;32;21;0;21;26,78;29,47;0;
LA ROSA ;1329;69;51;82;82;307;6,64;23,64;0;31,29;25,68;0;16,98;00:19:10;1,93;2,35;6,17;6,19;23,13;3,81;7;5;22;30;0;30;47,18;39,06;0;
MANCA;1482;81;151;106;102;406;7,91;26,94;0;46,85;39,57;0;27,59;00:18:24;2,67;3,16;7,15;6,85;27,39;10,21;16;18;46;57;0;57;123,85;45,12;0;
MARTINIELLO;1561;81;136;102;109;431;7,96;26,25;0;39,59;38,6;0;19,43;00:19:10;2,47;2,54;6,51;7;27,62;8,74;14;13;36;55;0;55;119,45;44,64;0;
MICELI;1435;75;42;80;79;273;7,09;22,4;2,01;30,4;26,62;0;17,74;00:19:10;1,85;2,12;5,59;5,52;19,06;2,93;10;3;24;30;0;30;25,53;34,14;0;
PARIGI;1297;68;57;78;78;282;6,58;25,63;0;34,38;30,9;0;15,15;00:19:10;2,38;2,65;6,01;6;21,76;4,36;13;11;31;43;0;43;56,62;37,9;0;
VERDE;1539;80;108;96;94;327;7,81;25,69;2,25;33,45;33,63;0;31,2;00:19:10;2,18;2,17;6,23;6,12;21,27;7,05;19;6;28;49;0;49;57,61;37,64;0;
ZUGARO;1596;83;79;98;100;390;8,04;24,77;0;38,11;36,63;0;15,7;00:19:10;2,3;2,39;6,15;6,24;24,44;4,95;12;11;30;44;0;44;78,95;40,67;0;
