;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;786;80;93;60;52;166;7,74;25,97;0,55;24,28;16,96;0;14,7;00:09:51;2,23;3,17;7,86;6,78;19,07;8,44;6,73;6,64;24,36;24,64;0;24,64;76,52;34,98;0;
DALLA BERNARDINA ;629;61;2;44;34;57;5,69;20,8;0;16,97;12,09;0;1,72;00:10:20;1,92;2,7;6,93;5,48;9,12;0,36;4;4;18;19;0;19;2,25;19;0;
DEMARCUS ;853;82;87;79;68;201;8,41;31,78;0;29,32;23,74;0;25,83;00:10:20;2,78;3,44;9,3;8,02;23,62;10,19;9;11;31;30;0;30;67,39;43,47;0;
DORATIOTTO ;772;75;27;69;56;134;7,34;26,99;0;28,26;16,7;0;13,96;00:10:20;2,16;3,66;8,88;7,31;17,41;3,51;8;9;30;24;0;24;20,7;34,07;0;
LA ROSA ;783;76;46;57;54;128;7,34;25,16;0;21,56;15,86;0;12,04;00:10:20;2,02;2,75;7,27;6,95;16,4;5,9;6;4;18;23;0;23;25,59;30,71;0;
MANCA;857;83;76;70;62;177;8,25;28,5;4,05;32,38;14,96;0;24,54;00:10:20;1,74;3,78;8,18;7,18;20,6;8,87;8;8;30;30;0;30;49,83;39,06;0;
MICELI;669;65;0;48;40;67;6,07;21,14;0;18,14;12,52;0;3,24;00:10:20;1,87;2,71;7,19;5,94;9,96;0,07;3;4;19;21;0;21;0,45;20,81;0;
PARIGI;853;83;32;65;57;159;8,04;25,87;0;23,36;18,42;0;10,49;00:10:20;2,16;2,74;7,58;6,63;18,59;3,78;6;6;26;21;0;21;32,23;34,74;0;
PENNINGTON;780;153;611;20;7;430;13,15;10,78;0;6,36;0,85;0;9,06;00:05:05;0,11;0,82;2,55;0,92;55,14;78,35;0;3;7;0;0;0;527,14;70,08;0;
VALLOCCHIA;900;87;38;78;63;175;8,65;28,26;0;33,03;22,51;0;18,8;00:10:19;2,5;3,67;8,64;6,99;19,48;4,26;10;7;35;32;0;32;37,22;37,91;0;
VERDE;841;81;62;82;82;207;8,43;33,92;2,01;32,93;35,17;0;27,49;00:10:20;4,18;3,91;9,7;9,81;24,58;7,35;14;6;32;43;0;43;52,15;44,45;0;
ZUGARO;704;68;40;53;45;93;6,57;24,74;0;24,78;13,72;0;14,53;00:10:20;1,95;3,52;7,51;6,42;13,19;5,71;6;11;22;28;0;28;26,78;28,26;0;
