;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;700;55;13;65;57;108;5,54;29,31;0;25,41;21,27;0;6,42;00:12:39;3,02;3,6;9,22;8,13;15,04;1,55;7,78;7,56;28,56;31;0;31;12,69;29,36;0;
BIANCU;648;51;7;65;54;98;5,15;30,16;0;26,98;17,55;0;9,92;00:12:39;2,71;4,17;9,97;8,31;15,08;1,08;10;11;27;31;0;31;7,03;30,77;0;
DALLA BERNARDINA ;648;51;0;60;60;90;5,12;29,32;0;19,82;21,77;0;1,66;00:12:39;3,36;3,06;9,26;9,28;13,86;0;5;3;23;33;0;33;0;26,45;0;
DEMARCUS ;900;71;88;100;78;278;7,38;34,14;0;41,99;31,77;0;20,06;00:12:39;3,53;4,67;11,11;8,68;30,92;9,82;14;14;45;51;0;51;87,77;50,98;0;
DORATIOTTO ;671;53;1;56;44;78;5,13;24,95;0;23,76;11,1;0;4,77;00:12:39;1,65;3,54;8,3;6,55;11,55;0,21;2;6;21;23;0;23;1,38;25,29;0;
GOZZI;524;41;1;42;38;66;4,06;26,68;0;17,3;13,65;0;2,05;00:12:39;2,6;3,3;8,09;7,16;12,61;0,17;6;4;18;21;0;21;0,9;25,97;0;
LA ROSA ;853;67;0;61;58;62;6,4;22,63;0;19,97;18,58;0;0,57;00:12:39;2,18;2,34;7,2;6,75;7,28;0;3;5;27;22;0;22;0;15,75;0;
LELLA ;655;52;3;59;57;93;5,22;30,46;0;23,99;20,39;0;5,07;00:12:39;3,11;3,66;8,98;8,7;14,26;0,5;5;2;21;33;0;33;3,27;29,62;0;
MASTINO;697;55;0;71;60;97;5,57;30,76;0;24,93;23,62;0;3,36;00:12:39;3,39;3,58;10,12;8,63;13,87;0;11;6;40;42;0;42;0;27,83;0;
MICELI;695;55;0;55;50;56;5,24;23,44;0;15,26;16,82;0;0,92;00:12:39;2,42;2,2;7,94;7,23;8;0;3;0;18;20;0;20;0;16,41;0;
MURONI;686;54;0;56;53;77;5,3;26,53;0;21,22;15,76;0;4,59;00:12:39;2,3;3,09;8,2;7,66;11,21;0,07;1;8;25;22;0;22;0,45;23,75;0;
OGUNSEYE;721;57;5;84;67;113;5,92;34,42;0;35,48;28,39;0;5,05;00:12:39;3,94;4,92;11,71;9,28;15,62;0,65;9;14;46;38;0;38;4,68;31,66;0;
PARIGI;656;52;0;54;46;90;4,99;24,38;0;18,73;14,59;0;2,57;00:12:39;2,22;2,85;8,3;7,01;13,68;0;6;6;22;19;0;19;0;26,38;0;
PENNINGTON;745;59;4;67;60;121;5,97;31,28;0;24,36;26,36;0;6,76;00:12:39;3,54;3,27;9,05;8,08;16,31;0,55;12;10;25;31;0;31;4,11;31,85;0;
PISANO;584;46;8;59;52;81;4,7;31,83;0;24,51;20,06;0;7,66;00:12:39;3,44;4,2;10,18;8,86;13,83;1,29;9;9;25;28;0;28;7,52;29,05;0;
PITZALIS;599;47;0;49;50;73;4,65;27,12;0;16,88;16,98;0;3,03;00:12:39;2,84;2,82;8,26;8,39;12,15;0;6;2;16;18;0;18;0;24,05;0;
VALLOCCHIA;667;53;0;63;59;104;5,47;34,19;0;28,39;26,97;0;7,99;00:12:39;4,04;4,26;9,38;8,88;15,66;0,07;14;8;33;41;0;41;0,45;32,22;0;
VERDE;820;65;107;74;58;220;6,42;28,03;0;30,04;21,51;0;16,57;00:12:39;2,62;3,66;8,97;7,13;26,8;13,01;10;7;30;28;0;28;106,72;44,63;0;
ZUGARO;833;66;4;91;81;150;6,98;37,22;0;43,79;36,96;0;12,92;00:12:39;4,44;5,26;10,91;9,73;18,01;0,5;14;21;52;57;0;57;4,16;35,79;0;
