;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;1524;82;190;84;80;336;7,68;20,64;28,73;30,89;27,65;0;37,54;00:18:33;1,82;2,02;5,46;5,2;21,79;12,29;7,78;6,94;24,61;26,33;0,94;26,33;110,7;35,6;0;
BIANCU;1647;89;345;84;83;453;8,29;20,68;35,93;33,97;28,23;0;41,55;00:18:33;1,71;2,06;5,09;5,04;27,52;20,93;7;6;21;25;0;25;205,28;41,56;0;
DALLA BERNARDINA ;1431;77;94;82;69;207;7,12;19,24;4,78;28,89;20,64;0;22,61;00:18:33;1,44;2,02;5,76;4,83;14,44;6,55;2;6;26;19;0;19;59,95;26,34;0;
DEMARCUS ;1536;83;125;95;86;329;7,8;21,78;32,25;29,87;26,81;0;30,2;00:18:33;1,75;1,95;6,18;5,58;21,41;8,16;8;5;33;25;1;25;52,73;35,28;0;
DORATIOTTO ;929;50;100;44;46;192;4,57;18,03;0;16,3;15,55;0;12,88;00:18:33;1,67;1,75;4,73;4,97;20,61;10,8;4;5;11;15;0;15;68,39;33,96;0;
GOZZI;1262;68;73;66;62;181;6,32;19,99;6,11;24,76;22,07;0;17,57;00:18:33;1,75;1,96;5,25;4,89;14,32;5,82;5;5;16;27;0;27;30,66;25,45;0;
LA ROSA ;1842;99;251;82;79;469;9,18;19,5;65,25;25,99;31,84;0;38,37;00:18:33;1,73;1,41;4,45;4,29;25,44;13,61;9;6;24;27;2;27;146,68;38,42;0;
LELLA ;1875;101;280;131;125;457;9,71;24,19;55,29;56,33;37,9;0;69,74;00:18:33;2,02;3;6,97;6,65;24,38;14,93;10;12;41;39;2;39;168,02;41,37;0;
MASTINO;1351;73;124;73;73;271;6,79;20,52;0;29,54;30,45;0;23,97;00:18:33;2,25;2,19;5,44;5,42;20,08;9,17;10;6;20;28;0;28;108,77;34,12;0;
MICELI;1848;100;193;88;94;486;9,29;20,52;16,28;29,42;29,31;0;21,38;00:18:33;1,59;1,59;4,78;5,1;26,31;10,43;10;8;23;34;1;34;120,13;40,94;0;
MURONI;1571;85;130;91;76;270;7,91;20,72;40,04;35,94;28,75;0;46,89;00:18:33;1,83;2,29;5,76;4,83;17,16;8,25;11;9;33;28;2;28;51,64;31,08;0;
OGUNSEYE;1645;89;153;86;94;363;8,29;20,9;15,12;26,26;34,26;0;31,17;00:18:33;2,08;1,6;5,21;5,74;22,06;9,31;9;9;24;34;1;34;123,71;36,59;0;
PARIGI;1287;69;249;81;81;383;6,72;25,15;37,03;30,26;36,04;0;52,81;00:18:33;2,8;2,35;6,27;6,3;29,73;19,31;14;8;24;28;1;28;133,42;44,73;0;
PENNINGTON;1652;89;319;84;86;449;8,23;19,52;14,62;23,63;23,53;0;43,52;00:18:33;1,42;1,43;5,07;5,18;27,19;19,34;7;3;23;27;0;27;213,75;42,14;0;
PISANO;1560;84;348;104;89;416;7,97;22,6;81,86;43,54;30,88;0;74,02;00:18:33;1,98;2,79;6,7;5,71;26,65;22,34;7;12;35;24;4;24;161,13;42,06;0;
PITZALIS;1542;83;185;74;69;290;7,6;18,22;64,01;29,43;17,78;0;49,35;00:18:33;1,15;1,91;4,83;4,47;18,79;12,01;3;7;19;20;2;20;76,03;30,73;0;
VALLOCCHIA;1608;87;182;105;101;359;8,33;24,23;0;41,35;38,49;0;42,51;00:18:33;2,39;2,57;6,51;6,27;22,33;11,34;13;6;30;36;0;36;130,73;38,11;0;
VERDE;1526;82;144;86;68;271;7,63;19,9;35,98;33,02;25,86;0;40,6;00:18:33;1,69;2,16;5,64;4,45;17,75;9,43;6;8;26;22;1;22;65,05;31,43;0;
ZUGARO;1326;71;125;49;52;213;6,41;15,85;12,5;17,51;19,23;0;16,53;00:18:33;1,45;1,32;3,69;3,91;16,03;9,45;5;4;14;16;0;16;76,53;26,46;0;
