;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;755;157;563;29;10;468;13,46;11,03;0,15;8,39;1,18;0;12,49;00:04:49;0,16;1,11;3,78;1,36;62,05;74,55;0;2,56;10,67;1;0;1;414,54;74,39;0;
BIANCU;755;157;550;29;8;467;13,32;9,86;0;8,91;0,15;0;12,01;00:04:49;0,02;1,18;3,9;1,1;61,92;72,85;0;3;11;1;0;1;436,28;73,44;0;
DALLA BERNARDINA ;760;158;599;29;12;510;13,43;10,11;0;7,46;2,17;0;8,27;00:04:49;0,29;0,98;3,88;1,56;67,2;78,81;0;2;13;2;0;2;396,11;77,48;0;
DORATIOTTO ;747;155;542;30;7;482;13,18;9,82;0;9,05;0,1;0;10,55;00:04:49;0,01;1,21;4,02;0,89;64,46;72,5;0;2;14;1;0;1;418,38;75,55;0;
GOZZI;757;157;607;36;16;487;13,88;14,18;0,67;11,97;5,4;0;25,61;00:04:49;0,71;1,58;4,75;2,14;64,26;80,22;0;4;13;3;0;3;373,51;77,66;0;
LA ROSA ;756;157;566;28;10;457;13,58;11,89;0;9,37;0,48;0;15,28;00:04:49;0,06;1,24;3,73;1,34;60,42;74,87;0;2;8;1;0;1;427,2;74,04;0;
LELLA ;769;159;557;26;9;459;13,75;11,41;0;7,35;1,01;0;11,58;00:04:49;0,13;0,96;3,36;1,22;59,75;72,5;0;4;9;0;0;0;414,64;72,77;0;
OGUNSEYE;741;154;542;24;11;454;13,14;10,39;0;5,43;0,18;0;3,85;00:04:49;0,02;0,73;3,22;1,42;61,29;73,18;0;2;9;0;0;0;434,5;73,88;0;
PENNINGTON;762;158;568;29;12;439;13,75;12,36;0,67;7,88;0,73;0;18,04;00:04:49;0,1;1,03;3,85;1,56;57,65;74,59;0;2;10;0;0;0;423,92;72,22;0;
PITZALIS;749;155;535;25;8;460;13,13;9,21;0;8,04;0,37;0;7,2;00:04:49;0,05;1,07;3,33;1,01;61,48;71,42;0;2;9;1;0;1;406,37;72,44;0;
