;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;3517;47;457;292;233;720;4,6;26,65;10,01;127,7;84,97;0;129,36;01:14:52;2,43;3,6;8,32;6,61;20,87;13,6;33,2;41,5;110;92,9;0,1;92,9;287,54;37,64;0;
DALLA BERNARDINA ;3641;49;444;276;215;701;4,66;24,06;4,05;117,86;73,61;0;125,12;01:14:58;2,02;3,24;7,58;5,89;19,26;12,19;32;33;95;86;0;86;264,38;35,49;0;
DORATIOTTO ;1613;22;450;153;119;493;2,2;32,35;0;64,3;53,2;0;111,02;01:14:58;3,3;3,99;9,51;7,39;30,54;27,88;23;16;50;31;0;31;278,01;49,54;0;
GOZZI;3996;53;442;381;323;892;5,39;30,66;0;172,12;118,73;0;142,67;01:14:58;2,97;4,31;9,54;8,09;22,33;11,05;46;52;145;137;0;137;298,3;40,46;0;
LA ROSA ;4335;58;688;414;328;930;5,84;30,41;46,38;200,88;119,88;0;218,22;01:14:58;2,77;4,63;9,56;7,56;21,46;15,87;42;74;145;129;0;129;398,32;40,39;0;
MASTINO;3814;51;569;333;248;792;4,98;26,58;15,11;142,22;84,41;0;162,98;01:14:58;2,21;3,73;8,72;6,5;20,77;14,92;39;53;120;102;0;102;334,6;38,37;0;
MICELI;2822;38;265;214;168;466;3,59;23,32;0;81,45;54,07;0;67,93;01:14:58;1,92;2,89;7,57;5,94;16,51;9,4;19;23;81;66;0;66;181,18;31,16;0;
MURONI;3464;46;316;261;194;633;4,42;23,66;0;113;60,59;0;93,82;01:14:58;1,75;3,26;7,54;5,59;18,28;9,12;21;39;103;68;0;68;234,3;34,31;0;
PISANO;3212;43;249;232;192;567;4,12;22,91;0,67;89,36;67,38;0;56,26;01:14:05;2,1;2,78;7,22;5,96;17,64;7,76;29;34;106;95;0;95;215,93;32,21;0;
PITZALIS;4013;54;522;330;283;857;5,26;27,04;30,52;141,34;117,8;0;135,13;01:14:58;2,94;3,52;8,23;7,06;21,35;13,01;48;38;133;119;1;119;333,29;37,24;0;
ZUGARO;4256;57;627;327;261;872;5,52;25,51;3,37;154,44;99,99;0;180,42;01:14:58;2,35;3,63;7,68;6,13;20,49;14,72;33;53;122;96;0;96;337,07;37,11;0;
