;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;703;58;10;67;58;96;5,86;28,95;0;26,98;23,79;0;7,77;00:12:04;3,22;3,74;9,37;7,99;12,86;1,39;8,22;6,44;26,78;30;0;30;9,82;26,01;0;
DALLA BERNARDINA ;536;44;16;38;27;33;4,06;18,09;0;16,15;7,78;0;2,43;00:12:04;1,45;3,01;7,13;5,07;6,09;2,98;1;4;18;12;0;12;15,98;13,31;0;
DEMARCUS ;765;63;19;89;75;151;6,71;36,64;0;36,3;32,78;0;16,32;00:12:04;4,28;4,74;11,68;9,77;19,8;2,46;15;9;33;36;0;36;18,85;37,69;0;
MANCA;711;59;0;66;53;73;5,78;26,58;0;26,58;20,16;0;3,77;00:12:04;2,83;3,74;9,26;7,45;10,24;0,06;4;9;26;27;0;27;0,44;22,23;0;
MASTINO;721;60;9;94;76;129;6,49;40,31;0;38,98;37,39;0;15,06;00:12:04;5,19;5,41;13;10,55;17,94;1,25;16;10;39;42;0;42;6,78;36,87;0;
MICELI;601;50;0;42;36;30;4,64;20,41;0;11,8;11,14;0;0,32;00:12:04;1,85;1,96;6,99;5,97;5,03;0;2;1;14;20;0;20;0;11,02;0;
PARIGI;796;66;27;88;84;152;7,03;37,57;0;39,83;36,21;0;15,8;00:12:04;4,55;5;11,03;10,56;19,07;3,35;15;13;43;44;0;44;26,7;36,98;0;
PENNINGTON;768;64;7;70;67;122;6,36;29,07;0;26,25;26,09;0;6,58;00:12:04;3,4;3,42;9,11;8,75;15,94;0,96;8;5;27;31;0;31;7,34;30,25;0;
VERDE;572;47;0;37;28;31;4,33;17,96;0;15,22;7,73;0;0,53;00:12:04;1,35;2,66;6,5;4,91;5,48;0;0;2;12;11;0;11;0;12,34;0;
ZUGARO;851;71;12;82;75;138;7,31;33,89;0;31,71;34,85;0;9,16;00:12:04;4,09;3,72;9,67;8,85;16,15;1,44;13;5;29;47;0;47;12,29;33,36;0;
